name;avg;med;std;minimum;maximum;per90;per95;per99;per99
run_0_t2;294.56271470977356;277.0;164.05208083930037;40.0;1553.0;509.0;585.0;1106.1070000000182;1106.1070000000182
run_0_t4;265.02279675809086;250.0;151.7336119824816;30.0;1124.0;471.0;541.0;909.0;909.0
run_0_t5;280.0770398123339;267.0;151.7778569378808;36.0;1040.0;489.0;544.0;922.0;922.0
run_0_t1;287.4993440581676;269.0;157.60393850081357;40.0;1449.0;496.0;565.0;1065.0;1065.0
run_0_t3;300.8341578929814;283.0;155.05761929017035;46.0;1182.0;509.0;578.0;949.1070000000182;949.1070000000182
run_0_t7;322.64504096857036;299.0;173.01308674134913;44.0;1778.0;538.0;640.0;1195.0;1195.0
run_0_t6;331.46183863830925;306.0;175.62035457628562;44.0;1819.0;549.0;650.0;1329.2140000000363;1329.2140000000363
run_1_t7;330.75104228045404;307.0;174.17280987500357;45.0;1897.0;548.0;651.0;1162.1070000000182;1162.1070000000182
run_1_t2;299.6681101092866;279.0;189.37187005498373;44.0;3571.0;509.0;587.0;1748.0;1748.0
run_1_t1;337.9991661756368;310.0;183.96226086252975;45.0;2137.0;556.0;666.0;1510.1070000000182;1510.1070000000182
run_1_t5;258.71900118958945;240.0;179.37612466057877;31.0;2257.0;479.0;559.0;1652.0;1652.0
run_1_t6;327.23313173313176;301.0;186.07580058295656;45.0;2022.0;545.0;656.0;1657.3210000000545;1657.3210000000545
run_1_t3;235.66334063392887;219.0;166.84823528621473;29.0;2796.0;439.0;491.0;2077.535000000091;2077.535000000091
run_1_t4;297.0508632861574;277.0;165.67082982578535;41.0;1991.0;508.0;587.0;1306.1070000000182;1306.1070000000182
run_2_t7;353.1369862252215;327.0;179.07787596971767;52.0;1372.0;575.0;687.0;1182.0;1182.0
run_2_t5;289.233715410186;272.0;157.58667235940104;42.0;1238.0;501.0;573.0;957.1070000000182;957.1070000000182
run_2_t6;296.644701879996;271.0;270.22222106108455;39.0;5333.0;501.0;569.0;4438.535000000091;4438.535000000091
run_2_t3;310.17502529267233;292.0;165.93263738654008;47.0;1326.0;525.0;608.0;1088.0;1088.0
run_2_t2;360.3130343424461;329.0;187.00444277593124;55.0;1670.0;594.0;711.0;1249.0;1249.0
run_2_t1;271.83948325124794;259.0;160.0463813052028;36.0;1361.0;486.0;559.0;1026.0;1026.0
run_2_t4;361.41747918218505;338.0;184.65538595665345;55.0;1939.0;594.0;695.0;1338.2140000000363;1338.2140000000363
