name;avg;med;std;minimum;maximum;per90;per95;per99;per99
run_0_t2;175.27426903835465;139.0;140.03719505687124;1;1337;365.0;453.0;928.1010000000242;928.1010000000242
run_0_t5;185.3333129516398;146.0;149.34317119443247;1;1707;392.0;474.0;957.0;957.0
run_0_t6;160.36893274041134;118.0;153.97514956846388;1;2523;337.0;440.0;1642.505000000121;1642.505000000121
run_0_t4;116.8801834352418;77.0;111.9269732431693;1;1130;246.0;337.0;741.0;741.0
run_0_t1;188.70672040022234;147.0;153.924611017911;1;1695;403.0;483.0;976.1010000000242;976.1010000000242
run_0_t3;135.54487493051695;88.0;118.41519085327523;2;1129;275.0;371.0;821.0;821.0
run_0_t7;57422.807882156754;264.0;94442.10296033055;2;319615;230486.50000000003;275194.24999999994;318747.0;318747.0
run_1_t6;188.19898832684825;148.0;154.65693671663766;1;1233;401.0;484.0;997.0;997.0
run_1_t1;156.54051695386326;98.0;224.43759995572282;1;4645;299.0;417.0;3773.505000000121;3773.505000000121
run_1_t5;158.67835464146748;121.0;131.06251893869475;1;1161;325.0;427.0;865.0;865.0
run_1_t7;55663.44863813229;272.0;92659.37043009797;2;315547;225887.50000000003;270733.24999999994;314660.5050000001;314660.5050000001
run_1_t3;137.4367370761534;90.0;132.1375052535579;1;1725;294.0;401.0;924.2020000000484;924.2020000000484
run_1_t2;170.68667037242912;132.0;140.82314105014203;2;1369;351.0;449.0;983.0;983.0
run_1_t4;130.26346303501944;86.0;115.53903016325107;1;1155;266.0;358.0;767.2020000000484;767.2020000000484
run_2_t5;176.23456920511396;145.0;135.20230699041892;1;949;368.0;453.0;731.0;731.0
run_2_t3;118.2004280155642;84.0;107.51233914904769;2;898;242.0;326.0;660.1010000000242;660.1010000000242
run_2_t2;153.96311284046692;120.0;123.10462817738681;2;949;306.0;408.0;719.0;719.0
run_2_t4;120.34251250694831;85.0;108.4170717699186;1;900;245.0;333.0;660.0;660.0
run_2_t6;192.11892162312395;133.0;322.0401702420553;1;6268;366.0;464.0;5374.505000000121;5374.505000000121
run_2_t7;59367.06429127293;274.0;95817.45391879506;2;321823;234071.50000000003;278003.24999999994;320938.5050000001;320938.5050000001
run_2_t1;224.094963868816;140.0;538.4447123297746;1;9167;380.0;480.0;8278.505000000121;8278.505000000121
