name;avg;med;std;minimum;maximum;per90;per95;per99;per99
run_0_t2;144.024072500708;89.0;162.10673604042265;-224.0;915.0;286.0;302.0;915.0;915.0
run_0_t5;104.57349192863211;61.0;111.66675967504952;-165.0;607.0;244.0;295.0;607.0;607.0
run_0_t6;282.67006513735487;140.0;477.7864988029383;-114.0;2879.0;419.0;739.0;2879.0;2879.0
run_0_t4;106.38855848201642;67.0;120.76266527685593;-205.0;1173.0;261.0;353.0;1173.0;1173.0
run_0_t1;589.1580288870008;88.0;2561.3039047304383;-339.0;15857.0;344.0;616.0;15857.0;15857.0
run_0_t3;191.23760974228264;133.0;138.89229994589755;18.0;703.0;380.0;490.0;703.0;703.0
run_0_t7;-567.7411498159162;88.0;1648.533435192415;-5952.0;611.0;256.0;294.0;599.1700000000028;599.1700000000028
run_1_t6;198.85499858397054;141.0;168.61344838334273;-282.0;786.0;472.0;527.0;700.6300000000329;700.6300000000329
run_1_t1;219.69300481450014;203.0;142.29857324338323;-179.0;750.0;389.0;488.0;750.0;750.0
run_1_t5;296.7638062871708;257.0;236.01411248026085;-148.0;1257.0;553.0;646.5;1257.0;1257.0
run_1_t7;-1440.2107051826679;85.0;2217.8682663559857;-5075.0;719.0;378.0;511.0;719.0;719.0
run_1_t3;196.1424525630133;153.0;170.82281703312827;-357.0;802.0;378.0;432.0;802.0;802.0
run_1_t2;222.29113565562164;193.0;157.11172529812325;-199.0;739.0;430.0;540.0;739.0;739.0
run_1_t4;235.01699235344094;137.0;359.0954489883279;-202.0;2183.0;389.0;613.0;2183.0;2183.0
run_2_t5;641.7881619937694;172.0;2531.5406728494213;-166.0;15522.0;466.0;572.0;15522.0;15522.0
run_2_t3;181.00623052959503;150.0;137.88967374271903;-166.0;650.0;346.0;406.0;650.0;650.0
run_2_t2;311.36278674596434;92.0;1084.450143586732;-155.0;7021.0;293.0;489.0;7021.0;7021.0
run_2_t4;267.3681676578873;182.0;256.7217248405565;-156.0;1367.0;573.0;872.0;1346.0;1346.0
run_2_t6;78.9110733503257;42.0;103.80599467494012;-197.0;476.0;247.0;271.0;476.0;476.0
run_2_t7;298.5703766638346;246.0;211.34912298712143;-190.0;744.0;650.0;676.0;742.0;742.0
run_2_t1;187.18549985839707;138.0;174.09010734823556;-177.0;1141.0;373.0;552.0;1141.0;1141.0
