name;avg;med;std;minimum;maximum;per90;per95;per99;per99
run_0_t2;964.1073350325687;242.0;4005.942417180375;-155.0;24428.0;550.0;1108.0;24428.0;24428.0
run_0_t5;252.8442367601246;223.0;185.8825332065757;-509.0;1047.0;489.0;610.0;1047.0;1047.0
run_0_t6;231.31549136222034;249.0;379.45111894528054;-1638.0;1199.0;596.0;723.0;959.5100000000084;959.5100000000084
run_0_t4;325.71849334466157;315.0;172.91784684222694;-6.0;1427.0;532.0;638.0;1368.0;1368.0
run_0_t1;715.6924384027187;269.0;2561.6991271436477;-113.0;15973.0;644.0;863.0;15965.580000000005;15965.580000000005
run_0_t3;314.24667233078446;295.0;189.07952752277438;60.0;937.0;593.0;758.0;932.760000000002;932.760000000002
run_0_t7;2007.488813367318;392.0;2713.309128566398;-151.0;8564.0;7110.0;7675.0;8564.0;8564.0
run_1_t6;374.04276408949306;328.0;286.93507019280236;-99.0;1676.0;647.0;792.0;1676.0;1676.0
run_1_t1;386.18549985839707;369.0;161.0380229349912;60.0;1136.0;599.0;638.5;1136.0;1136.0
run_1_t5;457.155196828094;410.0;265.67575146073784;-152.0;1330.0;782.0;903.0;1330.0;1330.0
run_1_t7;1394.8745397904277;442.0;1483.9937755089807;-170.0;4430.0;3991.0;4358.0;4430.0;4430.0
run_1_t3;634.029453412631;369.0;1404.785732855934;0.0;8753.0;804.0;890.0;8753.0;8753.0
run_1_t2;351.5783064287737;361.0;187.21298591506502;-124.0;936.0;587.0;687.5;910.0;910.0
run_1_t4;609.7850467289719;399.0;1218.5283782595102;64.0;7844.0;724.0;908.0;7844.0;7844.0
run_2_t5;804.6383460775984;379.0;2527.085076563121;-21.0;15766.0;700.0;746.0;15766.0;15766.0
run_2_t3;327.0342679127726;312.0;194.78146760611784;-102.0;1210.0;577.0;692.0;939.0;939.0
run_2_t2;432.97451146983855;249.0;1095.3252728433583;-195.0;6954.0;537.0;623.0;6954.0;6954.0
run_2_t4;380.7065986972529;317.0;258.290490250406;52.0;1389.0;689.0;898.0;1377.3400000000056;1377.3400000000056
run_2_t6;183.94279241008212;129.0;156.75250434806523;-173.0;929.0;384.0;485.0;913.0;913.0
run_2_t7;877.2874539790428;299.0;1324.3323890770341;-54.0;5331.0;3274.0;4409.0;5331.0;5331.0
run_2_t1;532.4958935145851;320.0;1179.9392657366272;-126.0;7319.0;715.0;856.0;7319.0;7319.0
