name;avg;med;std;minimum;maximum;per90;per95;per99;per99
run_0_t3;581.8857142857142;522.0;285.45520253283394;123.0;1404.0;931.5999999999999;1015.0999999999995;1395.2280000000003;1395.2280000000003
run_0_t4;2905.057142857143;522.0;9518.916375731182;188.0;51763.0;2052.2000000000007;10395.49999999993;50940.67600000003;50940.67600000003
run_0_t2;3131.2571428571428;463.0;10505.477456594746;120.0;55884.0;898.0;15116.299999999932;55065.552000000025;55065.552000000025
run_0_t5;658.5142857142857;595.0;384.6685676511346;137.0;1647.0;1248.6000000000001;1373.6999999999994;1642.2060000000001;1642.2060000000001
run_0_t1;559.5428571428571;518.0;398.84542962743586;73.0;2299.0;861.8000000000002;1125.0;2259.5600000000013;2259.5600000000013
run_0_t7;538.1428571428571;502.0;278.56408781536817;127.0;1360.0;835.6000000000001;989.6999999999991;1355.2400000000002;1355.2400000000002
run_0_t6;622.8857142857142;481.0;388.7041307016042;94.0;1593.0;1048.0000000000002;1502.3999999999996;1592.2520000000002;1592.2520000000002
run_1_t6;501.4;481.0;232.85350391547533;120.0;1094.0;768.4000000000001;1018.0999999999999;1092.0620000000001;1092.0620000000001
run_1_t4;536.5142857142857;463.0;485.0205516369426;135.0;3004.0;769.4000000000001;1015.3999999999991;2944.194000000002;2944.194000000002
run_1_t3;4551.228571428572;575.0;14190.595284172672;136.0;70603.0;1308.4000000000005;30849.999999999935;69797.84600000003;69797.84600000003
run_1_t2;595.8571428571429;521.0;450.755184922696;116.0;2482.0;1036.8000000000002;1415.2999999999997;2447.660000000001;2447.660000000001
run_1_t7;1058.0;529.0;1592.16451052378;143.0;7452.0;1190.6000000000001;4972.199999999994;7411.336000000001;7411.336000000001
run_1_t1;942.8571428571429;448.0;1576.5604359374447;147.0;9647.0;1343.4;1876.199999999997;9407.164000000008;9407.164000000008
run_1_t5;797.9142857142857;618.0;810.2002000009829;134.0;5014.0;1378.8000000000002;1570.5999999999997;4899.352000000004;4899.352000000004
run_2_t6;822.2;490.0;1479.1831684123117;119.0;9153.0;1181.6000000000001;1536.5999999999974;8916.224000000007;8916.224000000007
run_2_t7;567.4857142857143;321.0;1042.4989310423728;110.0;6518.0;678.6;991.9999999999998;6331.068000000006;6331.068000000006
run_2_t1;4159.628571428571;570.0;13164.611721441941;158.0;67337.0;1856.600000000002;25202.999999999927;66492.06600000004;66492.06600000004
run_2_t3;4622.8;351.0;14774.921284392685;85.0;72831.0;1681.400000000001;32478.49999999993;72032.71400000002;72032.71400000002
run_2_t5;568.9142857142857;511.0;284.7498522692276;153.0;1566.0;880.6;965.0999999999997;1548.1160000000004;1548.1160000000004
run_2_t4;398.51428571428573;340.0;214.8633281784455;142.0;932.0;721.8000000000003;882.2999999999997;932.0;932.0
run_2_t2;631.7142857142857;434.0;503.1133681631704;92.0;1958.0;1481.4;1653.1999999999996;1951.0640000000003;1951.0640000000003
