name;avg;med;std;minimum;maximum;per90;per95;per99;per99
run_0_t3;203.00010005781118;161.0;173.40592563184737;2;1849;431.0;528.0;1224.0;1224.0
run_0_t4;131.5995630808912;87.0;117.37318956481016;1;1142;268.0;359.0;832.0;832.0
run_0_t2;183.88311024147285;157.0;136.58272754704856;2;1221;374.0;457.0;797.0;797.0
run_0_t5;198.64678480900076;163.0;172.04817409535374;1;1535;431.0;524.0;1177.0;1177.0
run_0_t1;172.62995842042068;112.0;447.8242096581395;1;8107;276.0;387.0;7207.525000000052;7207.525000000052
run_0_t7;235.75638702361366;208.0;177.31822891671897;1;2204;462.0;538.0;1504.210000000021;1504.210000000021
run_0_t6;253.05980677724907;223.0;196.93353177032685;2;2474;494.0;596.0;1579.420000000042;1579.420000000042
run_1_t6;245.47870992128784;209.0;198.99158893888114;1;2258;497.0;612.0;1539.420000000042;1539.420000000042
run_1_t4;212.61603926713212;140.0;523.1715628529242;1;9015;365.0;459.0;8120.525000000052;8120.525000000052
run_1_t3;232.59162516120426;198.0;179.90868037861023;1;1799;468.0;565.0;1274.1050000000105;1274.1050000000105
run_1_t2;114.61182572152799;74.0;108.21347833279518;1;1475;242.0;303.0;738.1050000000105;738.1050000000105
run_1_t7;226.19051563125362;184.0;285.26947861921974;1;5545;428.0;509.0;4650.525000000052;4650.525000000052
run_1_t1;204.07737248187843;137.5;503.2807114291855;2;8802;346.0;437.0;7902.525000000052;7902.525000000052
run_1_t5;346.60034130831144;250.0;493.9704806500611;2;6980;664.0;869.0;6435.210000000021;6435.210000000021
run_2_t6;213.45831480410905;133.0;508.72960502799964;1;8692;400.0;510.0;7793.315000000031;7793.315000000031
run_2_t7;198.5761106417041;172.0;152.66611757565883;2;1597;402.0;473.0;1286.0;1286.0
run_2_t1;188.27351914439453;124.0;304.79256781792316;1;5661;371.0;482.0;4990.630000000063;4990.630000000063
run_2_t3;175.13242095432918;88.0;571.9303445381964;1;9615;264.0;372.0;8716.525000000052;8716.525000000052
run_2_t5;188.32136901320763;149.0;192.21333232267946;2;3249;404.0;497.0;2350.5250000000524;2350.5250000000524
run_2_t4;161.3766287188153;128.0;139.35996170162352;2;1172;342.0;435.0;974.0;974.0
run_2_t2;293.7297660870725;214.0;337.27107284145274;1;4741;606.0;840.0;3841.5250000000524;3841.5250000000524
