timestamp,value,producedElements
1602264935357,10.000000,5000
1602264935862,0.000000,5101
1602264960357,10.000000,10000
1602264960861,0.000000,10101
1602264985357,10.000000,15000
1602264985861,0.000000,15101
1602265010356,10.000000,20000
1602265010861,0.000000,20101
1602265035356,10.000000,25000
1602265035863,0.000000,25101
1602265060356,10.000000,30000
1602265060861,0.000000,30101
1602265085356,10.000000,35000
1602265085863,0.000000,35101
1602265110356,10.000000,40000
1602265110861,0.000000,40101
1602265135356,10.000000,45000
1602265135861,0.000000,45101
1602265160357,10.000000,50000
1602265160862,0.000000,50101
1602265185356,10.000000,55000
1602265185862,0.000000,55101
1602265210356,10.000000,60000
1602265210867,0.000000,60101
1602265235356,10.000000,65000
1602265235862,0.000000,65101
1602265260356,10.000000,70000
1602265260861,0.000000,70101
1602265285357,10.000000,75000
1602265285861,0.000000,75101
1602265310356,10.000000,80000
1602265310861,0.000000,80101
1602265335357,10.000000,85000
1602265335861,0.000000,85101
1602265360358,10.000000,90000
1602265360861,0.000000,90101
1602265385357,10.000000,95000
1602265385861,0.000000,95101
