Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1602264955074,1602264953870,0,"Was 10.183386 expected a value between 0 and 1.",5000,5000,1602264935361,1602264935361,"10.18338"
1602264955100,1602264954433,1,"Was 10.486269 expected a value between 0 and 1.",5001,5001,1602264935406,1602264935406,"10.48626"
1602264955100,1602264954467,2,"Was 10.486269 expected a value between 0 and 1.",5002,5002,1602264935406,1602264935406,"10.48626"
1602264955100,1602264954516,3,"Was 10.520065 expected a value between 0 and 1.",5003,5003,1602264935406,1602264935406,"10.52006"
1602264955100,1602264954589,4,"Was 10.544926 expected a value between 0 and 1.",5004,5004,1602264935406,1602264935406,"10.54492"
1602264955293,1602264955272,5,"Was 10.544926 expected a value between 0 and 1.",5005,5005,1602264935407,1602264935407,"10.54492"
1602264955392,1602264955365,6,"Was 10.890056 expected a value between 0 and 1.",5006,5006,1602264935407,1602264935407,"10.89005"
1602264955464,1602264955388,7,"Was 10.890056 expected a value between 0 and 1.",5007,5007,1602264935407,1602264935407,"10.89005"
1602264955464,1602264955405,8,"Was 10.711292 expected a value between 0 and 1.",5008,5008,1602264935407,1602264935407,"10.71129"
1602264955476,1602264955429,9,"Was 10.711292 expected a value between 0 and 1.",5009,5009,1602264935407,1602264935407,"10.71129"
1602264955525,1602264955493,10,"Was 10.697925 expected a value between 0 and 1.",5010,5010,1602264935412,1602264935412,"10.69792"
1602264955605,1602264955549,11,"Was 10.662015 expected a value between 0 and 1.",5011,5011,1602264935416,1602264935416,"10.66201"
1602264955718,1602264955677,12,"Was 10.508708 expected a value between 0 and 1.",5012,5012,1602264935421,1602264935421,"10.50870"
1602264955739,1602264955702,13,"Was 10.400328 expected a value between 0 and 1.",5013,5013,1602264935426,1602264935426,"10.40032"
1602264955772,1602264955728,14,"Was 10.400328 expected a value between 0 and 1.",5014,5014,1602264935431,1602264935431,"10.40032"
1602264956283,1602264955939,15,"Was 10.400328 expected a value between 0 and 1.",5015,5015,1602264935436,1602264935436,"10.40032"
1602264956400,1602264956290,16,"Was 10.088856 expected a value between 0 and 1.",5016,5016,1602264935446,1602264935446,"10.08885"
1602264956400,1602264956323,17,"Was 10.349805 expected a value between 0 and 1.",5017,5017,1602264935447,1602264935447,"10.34980"
1602264956428,1602264956351,18,"Was 10.545047 expected a value between 0 and 1.",5018,5018,1602264935451,1602264935451,"10.54504"
1602264956659,1602264956408,19,"Was 10.56862 expected a value between 0 and 1.",5019,5019,1602264935458,1602264935458,"10.5686"
1602264956678,1602264956435,20,"Was 10.398808 expected a value between 0 and 1.",5020,5020,1602264935461,1602264935461,"10.39880"
1602264957626,1602264956504,21,"Was 10.552625 expected a value between 0 and 1.",5021,5021,1602264935467,1602264935467,"10.55262"
1602264957903,1602264957610,22,"Was 10.552625 expected a value between 0 and 1.",5022,5022,1602264935472,1602264935472,"10.55262"
1602264957903,1602264957633,23,"Was 10.398808 expected a value between 0 and 1.",5023,5023,1602264935482,1602264935482,"10.39880"
1602264957903,1602264957652,24,"Was 10.398808 expected a value between 0 and 1.",5024,5024,1602264935482,1602264935482,"10.39880"
1602264957903,1602264957669,25,"Was 10.552625 expected a value between 0 and 1.",5025,5025,1602264935488,1602264935488,"10.55262"
1602264957903,1602264957694,26,"Was 10.577164 expected a value between 0 and 1.",5026,5026,1602264935494,1602264935494,"10.57716"
1602264957903,1602264957708,27,"Was 10.577164 expected a value between 0 and 1.",5027,5027,1602264935496,1602264935496,"10.57716"
1602264957903,1602264957745,28,"Was 10.740089 expected a value between 0 and 1.",5028,5028,1602264935506,1602264935506,"10.74008"
1602264958034,1602264957771,29,"Was 10.740089 expected a value between 0 and 1.",5029,5029,1602264935507,1602264935507,"10.74008"
1602264958034,1602264957789,30,"Was 10.51545 expected a value between 0 and 1.",5030,5030,1602264935519,1602264935519,"10.5154"
1602264958034,1602264957803,31,"Was 10.51545 expected a value between 0 and 1.",5031,5031,1602264935519,1602264935519,"10.5154"
1602264958034,1602264957830,32,"Was 10.43147 expected a value between 0 and 1.",5032,5032,1602264935521,1602264935521,"10.4314"
1602264958034,1602264957846,33,"Was 10.43147 expected a value between 0 and 1.",5033,5033,1602264935527,1602264935527,"10.4314"
1602264958034,1602264957860,34,"Was 10.43147 expected a value between 0 and 1.",5034,5034,1602264935531,1602264935531,"10.4314"
1602264958434,1602264958328,35,"Was 10.43147 expected a value between 0 and 1.",5035,5035,1602264935536,1602264935536,"10.4314"
1602264958434,1602264958349,36,"Was 10.260897 expected a value between 0 and 1.",5036,5036,1602264935543,1602264935543,"10.26089"
1602264958434,1602264958367,37,"Was 10.260897 expected a value between 0 and 1.",5037,5037,1602264935546,1602264935546,"10.26089"
1602264958434,1602264958383,38,"Was 10.260897 expected a value between 0 and 1.",5038,5038,1602264935551,1602264935551,"10.26089"
1602264958489,1602264958448,39,"Was 10.260897 expected a value between 0 and 1.",5039,5039,1602264935556,1602264935556,"10.26089"
1602264958505,1602264958465,40,"Was 10.440346 expected a value between 0 and 1.",5040,5040,1602264935562,1602264935562,"10.44034"
1602264958764,1602264958492,41,"Was 10.48825 expected a value between 0 and 1.",5041,5041,1602264935566,1602264935566,"10.4882"
1602264959752,1602264959271,42,"Was 10.731002 expected a value between 0 and 1.",5042,5042,1602264935571,1602264935571,"10.73100"
1602264960165,1602264959987,43,"Was 10.48825 expected a value between 0 and 1.",5043,5043,1602264935579,1602264935579,"10.4882"
1602264962017,1602264961795,44,"Was 10.48825 expected a value between 0 and 1.",5044,5044,1602264935583,1602264935583,"10.4882"
1602264962017,1602264961864,45,"Was 10.48825 expected a value between 0 and 1.",5045,5045,1602264935591,1602264935591,"10.4882"
1602264962585,1602264961966,46,"Was 10.760837 expected a value between 0 and 1.",5046,5046,1602264935591,1602264935591,"10.76083"
1602264962585,1602264962374,47,"Was 10.380255 expected a value between 0 and 1.",5047,5047,1602264935597,1602264935597,"10.38025"
1602264962585,1602264962392,48,"Was 10.726903 expected a value between 0 and 1.",5048,5048,1602264935601,1602264935601,"10.72690"
1602264962585,1602264962409,49,"Was 10.733372 expected a value between 0 and 1.",5049,5049,1602264935606,1602264935606,"10.73337"
1602264962585,1602264962439,50,"Was 10.726903 expected a value between 0 and 1.",5050,5050,1602264935611,1602264935611,"10.72690"
1602264962604,1602264962473,51,"Was 10.726903 expected a value between 0 and 1.",5051,5051,1602264935616,1602264935616,"10.72690"
1602264962626,1602264962583,52,"Was 10.726903 expected a value between 0 and 1.",5052,5052,1602264935621,1602264935621,"10.72690"
1602264962702,1602264962620,53,"Was 10.733372 expected a value between 0 and 1.",5053,5053,1602264935626,1602264935626,"10.73337"
1602264962720,1602264962683,54,"Was 10.517735 expected a value between 0 and 1.",5054,5054,1602264935632,1602264935632,"10.51773"
1602264962738,1602264962701,55,"Was 10.794448 expected a value between 0 and 1.",5055,5055,1602264935637,1602264935637,"10.79444"
1602264962759,1602264962722,56,"Was 10.8271675 expected a value between 0 and 1.",5056,5056,1602264935641,1602264935641,"10.827167"
1602264962781,1602264962740,57,"Was 10.8271675 expected a value between 0 and 1.",5057,5057,1602264935646,1602264935646,"10.827167"
1602264962789,1602264962754,58,"Was 10.598985 expected a value between 0 and 1.",5058,5058,1602264935652,1602264935652,"10.59898"
1602264962798,1602264962768,59,"Was 10.598985 expected a value between 0 and 1.",5059,5059,1602264935656,1602264935656,"10.59898"
1602264962823,1602264962791,60,"Was 10.395528 expected a value between 0 and 1.",5060,5060,1602264935662,1602264935662,"10.39552"
1602264962832,1602264962804,61,"Was 10.395528 expected a value between 0 and 1.",5061,5061,1602264935668,1602264935668,"10.39552"
1602264962849,1602264962819,62,"Was 10.395528 expected a value between 0 and 1.",5062,5062,1602264935675,1602264935675,"10.39552"
1602264962887,1602264962833,63,"Was 10.395528 expected a value between 0 and 1.",5063,5063,1602264935676,1602264935676,"10.39552"
1602264962898,1602264962845,64,"Was 10.37428 expected a value between 0 and 1.",5064,5064,1602264935681,1602264935681,"10.3742"
1602264962898,1602264962856,65,"Was 10.37428 expected a value between 0 and 1.",5065,5065,1602264935686,1602264935686,"10.3742"
1602264962920,1602264962871,66,"Was 10.37428 expected a value between 0 and 1.",5066,5066,1602264935691,1602264935691,"10.3742"
1602264962920,1602264962884,67,"Was 10.438234 expected a value between 0 and 1.",5067,5067,1602264935699,1602264935699,"10.43823"
1602264962934,1602264962897,68,"Was 10.37428 expected a value between 0 and 1.",5068,5068,1602264935701,1602264935701,"10.3742"
1602264962957,1602264962909,69,"Was 10.342194 expected a value between 0 and 1.",5069,5069,1602264935706,1602264935706,"10.34219"
1602264962957,1602264962921,70,"Was 10.342194 expected a value between 0 and 1.",5070,5070,1602264935711,1602264935711,"10.34219"
1602264962972,1602264962932,71,"Was 10.342194 expected a value between 0 and 1.",5071,5071,1602264935716,1602264935716,"10.34219"
1602264962996,1602264962943,72,"Was 10.342194 expected a value between 0 and 1.",5072,5072,1602264935721,1602264935721,"10.34219"
1602264963230,1602264962958,73,"Was 10.234276 expected a value between 0 and 1.",5073,5073,1602264935726,1602264935726,"10.23427"
1602264963230,1602264962969,74,"Was 10.283659 expected a value between 0 and 1.",5074,5074,1602264935731,1602264935731,"10.28365"
1602264963248,1602264962979,75,"Was 10.359876 expected a value between 0 and 1.",5075,5075,1602264935736,1602264935736,"10.35987"
1602264963254,1602264962991,76,"Was 10.889064 expected a value between 0 and 1.",5076,5076,1602264935742,1602264935742,"10.88906"
1602264963254,1602264963003,77,"Was 10.467122 expected a value between 0 and 1.",5077,5077,1602264935746,1602264935746,"10.46712"
1602264963287,1602264963015,78,"Was 10.524721 expected a value between 0 and 1.",5078,5078,1602264935751,1602264935751,"10.52472"
1602264963287,1602264963029,79,"Was 10.524721 expected a value between 0 and 1.",5079,5079,1602264935757,1602264935757,"10.52472"
1602264963287,1602264963044,80,"Was 10.467122 expected a value between 0 and 1.",5080,5080,1602264935761,1602264935761,"10.46712"
1602264963287,1602264963059,81,"Was 10.467122 expected a value between 0 and 1.",5081,5081,1602264935766,1602264935766,"10.46712"
1602264963287,1602264963072,82,"Was 10.524721 expected a value between 0 and 1.",5082,5082,1602264935771,1602264935771,"10.52472"
1602264963287,1602264963094,83,"Was 10.578176 expected a value between 0 and 1.",5083,5083,1602264935776,1602264935776,"10.57817"
1602264963287,1602264963108,84,"Was 10.578176 expected a value between 0 and 1.",5084,5084,1602264935781,1602264935781,"10.57817"
1602264963287,1602264963123,85,"Was 10.711497 expected a value between 0 and 1.",5085,5085,1602264935786,1602264935786,"10.71149"
1602264963287,1602264963134,86,"Was 10.578176 expected a value between 0 and 1.",5086,5086,1602264935791,1602264935791,"10.57817"
1602264963287,1602264963146,87,"Was 10.578176 expected a value between 0 and 1.",5087,5087,1602264935796,1602264935796,"10.57817"
1602264963287,1602264963164,88,"Was 10.456059 expected a value between 0 and 1.",5088,5088,1602264935802,1602264935802,"10.45605"
1602264963287,1602264963175,89,"Was 10.090578 expected a value between 0 and 1.",5089,5089,1602264935806,1602264935806,"10.09057"
1602264963287,1602264963193,90,"Was 10.090578 expected a value between 0 and 1.",5090,5090,1602264935812,1602264935812,"10.09057"
1602264963469,1602264963206,91,"Was 10.090578 expected a value between 0 and 1.",5091,5091,1602264935817,1602264935817,"10.09057"
1602264963469,1602264963221,92,"Was 10.090578 expected a value between 0 and 1.",5092,5092,1602264935821,1602264935821,"10.09057"
1602264963490,1602264963242,93,"Was 10.242861 expected a value between 0 and 1.",5093,5093,1602264935826,1602264935826,"10.24286"
1602264963490,1602264963254,94,"Was 10.447207 expected a value between 0 and 1.",5094,5094,1602264935833,1602264935833,"10.44720"
1602264963565,1602264963513,95,"Was 10.471656 expected a value between 0 and 1.",5095,5095,1602264935837,1602264935837,"10.47165"
1602264963586,1602264963541,96,"Was 10.471656 expected a value between 0 and 1.",5096,5096,1602264935841,1602264935841,"10.47165"
1602264963612,1602264963554,97,"Was 10.471656 expected a value between 0 and 1.",5097,5097,1602264935848,1602264935848,"10.47165"
1602264963628,1602264963575,98,"Was 10.471656 expected a value between 0 and 1.",5098,5098,1602264935852,1602264935852,"10.47165"
1602264963628,1602264963590,99,"Was 10.332516 expected a value between 0 and 1.",5099,5099,1602264935857,1602264935857,"10.33251"
1602264963644,1602264963603,100,"Was 10.053543 expected a value between 0 and 1.",5100,5100,1602264935862,1602264935862,"10.05354"
1602264966945,1602264966837,101,"Was 10.3407955 expected a value between 0 and 1.",10000,10000,1602264960363,1602264960363,"10.340795"
1602264966945,1602264966866,102,"Was 10.3407955 expected a value between 0 and 1.",10001,10001,1602264960374,1602264960374,"10.340795"
1602264966945,1602264966884,103,"Was 10.446991 expected a value between 0 and 1.",10002,10002,1602264960375,1602264960375,"10.44699"
1602264966945,1602264966896,104,"Was 10.540995 expected a value between 0 and 1.",10003,10003,1602264960379,1602264960379,"10.54099"
1602264966949,1602264966918,105,"Was 10.703407 expected a value between 0 and 1.",10004,10004,1602264960383,1602264960383,"10.70340"
1602264967032,1602264966984,106,"Was 10.703407 expected a value between 0 and 1.",10005,10005,1602264960386,1602264960386,"10.70340"
1602264967160,1602264967128,107,"Was 10.703407 expected a value between 0 and 1.",10006,10006,1602264960391,1602264960391,"10.70340"
1602264967393,1602264967143,108,"Was 10.662351 expected a value between 0 and 1.",10007,10007,1602264960396,1602264960396,"10.66235"
1602264967414,1602264967160,109,"Was 10.603986 expected a value between 0 and 1.",10008,10008,1602264960403,1602264960403,"10.60398"
1602264967414,1602264967175,110,"Was 10.545782 expected a value between 0 and 1.",10009,10009,1602264960411,1602264960411,"10.54578"
1602264967414,1602264967187,111,"Was 10.545782 expected a value between 0 and 1.",10010,10010,1602264960411,1602264960411,"10.54578"
1602264967855,1602264967666,112,"Was 10.545782 expected a value between 0 and 1.",10011,10011,1602264960417,1602264960417,"10.54578"
1602264967855,1602264967682,113,"Was 10.53558 expected a value between 0 and 1.",10012,10012,1602264960422,1602264960422,"10.5355"
1602264967855,1602264967729,114,"Was 10.53558 expected a value between 0 and 1.",10013,10013,1602264960427,1602264960427,"10.5355"
1602264967855,1602264967741,115,"Was 10.610795 expected a value between 0 and 1.",10014,10014,1602264960435,1602264960435,"10.61079"
1602264967866,1602264967760,116,"Was 10.693117 expected a value between 0 and 1.",10015,10015,1602264960439,1602264960439,"10.69311"
1602264967866,1602264967789,117,"Was 10.610795 expected a value between 0 and 1.",10016,10016,1602264960443,1602264960443,"10.61079"
1602264967886,1602264967803,118,"Was 10.840103 expected a value between 0 and 1.",10017,10017,1602264960446,1602264960446,"10.84010"
1602264967907,1602264967819,119,"Was 10.840103 expected a value between 0 and 1.",10018,10018,1602264960454,1602264960454,"10.84010"
1602264967907,1602264967845,120,"Was 10.816015 expected a value between 0 and 1.",10019,10019,1602264960459,1602264960459,"10.81601"
1602264967909,1602264967864,121,"Was 10.816015 expected a value between 0 and 1.",10020,10020,1602264960462,1602264960462,"10.81601"
1602264968143,1602264967893,122,"Was 10.816015 expected a value between 0 and 1.",10021,10021,1602264960467,1602264960467,"10.81601"
1602264968161,1602264967907,123,"Was 10.71098 expected a value between 0 and 1.",10022,10022,1602264960473,1602264960473,"10.7109"
1602264968198,1602264968136,124,"Was 10.71098 expected a value between 0 and 1.",10023,10023,1602264960476,1602264960476,"10.7109"
1602264968198,1602264968150,125,"Was 10.71098 expected a value between 0 and 1.",10024,10024,1602264960483,1602264960483,"10.7109"
1602264968205,1602264968160,126,"Was 10.71098 expected a value between 0 and 1.",10025,10025,1602264960486,1602264960486,"10.7109"
1602264968257,1602264968179,127,"Was 10.771783 expected a value between 0 and 1.",10026,10026,1602264960493,1602264960493,"10.77178"
1602264968266,1602264968197,128,"Was 10.771783 expected a value between 0 and 1.",10027,10027,1602264960496,1602264960496,"10.77178"
1602264968266,1602264968213,129,"Was 10.771783 expected a value between 0 and 1.",10028,10028,1602264960501,1602264960501,"10.77178"
1602264968274,1602264968228,130,"Was 10.381557 expected a value between 0 and 1.",10029,10029,1602264960506,1602264960506,"10.38155"
1602264968292,1602264968245,131,"Was 10.381557 expected a value between 0 and 1.",10030,10030,1602264960511,1602264960511,"10.38155"
1602264968292,1602264968260,132,"Was 10.350396 expected a value between 0 and 1.",10031,10031,1602264960516,1602264960516,"10.35039"
1602264968310,1602264968274,133,"Was 10.320671 expected a value between 0 and 1.",10032,10032,1602264960521,1602264960521,"10.32067"
1602264968329,1602264968296,134,"Was 10.320671 expected a value between 0 and 1.",10033,10033,1602264960526,1602264960526,"10.32067"
1602264968366,1602264968310,135,"Was 10.320671 expected a value between 0 and 1.",10034,10034,1602264960533,1602264960533,"10.32067"
1602264968385,1602264968339,136,"Was 10.237452 expected a value between 0 and 1.",10035,10035,1602264960536,1602264960536,"10.23745"
1602264968400,1602264968365,137,"Was 10.320671 expected a value between 0 and 1.",10036,10036,1602264960542,1602264960542,"10.32067"
1602264968417,1602264968377,138,"Was 10.237452 expected a value between 0 and 1.",10037,10037,1602264960546,1602264960546,"10.23745"
1602264968633,1602264968389,139,"Was 10.180305 expected a value between 0 and 1.",10038,10038,1602264960551,1602264960551,"10.18030"
1602264968658,1602264968403,140,"Was 10.237452 expected a value between 0 and 1.",10039,10039,1602264960557,1602264960557,"10.23745"
1602264968658,1602264968414,141,"Was 10.655626 expected a value between 0 and 1.",10040,10040,1602264960561,1602264960561,"10.65562"
1602264968658,1602264968474,142,"Was 10.655626 expected a value between 0 and 1.",10041,10041,1602264960566,1602264960566,"10.65562"
1602264968658,1602264968512,143,"Was 10.686474 expected a value between 0 and 1.",10042,10042,1602264960572,1602264960572,"10.68647"
1602264968988,1602264968522,144,"Was 10.686474 expected a value between 0 and 1.",10043,10043,1602264960577,1602264960577,"10.68647"
1602264968988,1602264968757,145,"Was 10.780865 expected a value between 0 and 1.",10044,10044,1602264960583,1602264960583,"10.78086"
1602264969108,1602264969070,146,"Was 10.780865 expected a value between 0 and 1.",10045,10045,1602264960586,1602264960586,"10.78086"
1602264969125,1602264969086,147,"Was 10.2915945 expected a value between 0 and 1.",10046,10046,1602264960592,1602264960592,"10.291594"
1602264969683,1602264969106,148,"Was 10.238445 expected a value between 0 and 1.",10047,10047,1602264960596,1602264960596,"10.23844"
1602264969801,1602264969124,149,"Was 10.2915945 expected a value between 0 and 1.",10048,10048,1602264960601,1602264960601,"10.291594"
1602264969801,1602264969137,150,"Was 10.2915945 expected a value between 0 and 1.",10049,10049,1602264960607,1602264960607,"10.291594"
1602264969801,1602264969385,151,"Was 10.238445 expected a value between 0 and 1.",10050,10050,1602264960611,1602264960611,"10.23844"
1602264969801,1602264969407,152,"Was 10.641431 expected a value between 0 and 1.",10051,10051,1602264960616,1602264960616,"10.64143"
1602264969801,1602264969423,153,"Was 10.641431 expected a value between 0 and 1.",10052,10052,1602264960622,1602264960622,"10.64143"
1602264969801,1602264969437,154,"Was 10.226821 expected a value between 0 and 1.",10053,10053,1602264960626,1602264960626,"10.22682"
1602264969801,1602264969454,155,"Was 10.222085 expected a value between 0 and 1.",10054,10054,1602264960631,1602264960631,"10.22208"
1602264969801,1602264969467,156,"Was 10.226821 expected a value between 0 and 1.",10055,10055,1602264960637,1602264960637,"10.22682"
1602264969801,1602264969488,157,"Was 10.226821 expected a value between 0 and 1.",10056,10056,1602264960642,1602264960642,"10.22682"
1602264969801,1602264969502,158,"Was 10.226821 expected a value between 0 and 1.",10057,10057,1602264960646,1602264960646,"10.22682"
1602264969801,1602264969517,159,"Was 10.742459 expected a value between 0 and 1.",10058,10058,1602264960651,1602264960651,"10.74245"
1602264969801,1602264969533,160,"Was 10.742459 expected a value between 0 and 1.",10059,10059,1602264960657,1602264960657,"10.74245"
1602264969801,1602264969546,161,"Was 10.739727 expected a value between 0 and 1.",10060,10060,1602264960661,1602264960661,"10.73972"
1602264969801,1602264969562,162,"Was 10.623637 expected a value between 0 and 1.",10061,10061,1602264960666,1602264960666,"10.62363"
1602264969801,1602264969573,163,"Was 10.623637 expected a value between 0 and 1.",10062,10062,1602264960671,1602264960671,"10.62363"
1602264969801,1602264969586,164,"Was 10.612616 expected a value between 0 and 1.",10063,10063,1602264960676,1602264960676,"10.61261"
1602264969801,1602264969597,165,"Was 10.326457 expected a value between 0 and 1.",10064,10064,1602264960682,1602264960682,"10.32645"
1602264969801,1602264969608,166,"Was 10.326457 expected a value between 0 and 1.",10065,10065,1602264960686,1602264960686,"10.32645"
1602264969801,1602264969624,167,"Was 10.326457 expected a value between 0 and 1.",10066,10066,1602264960691,1602264960691,"10.32645"
1602264969801,1602264969637,168,"Was 10.807642 expected a value between 0 and 1.",10067,10067,1602264960696,1602264960696,"10.80764"
1602264969801,1602264969649,169,"Was 10.807642 expected a value between 0 and 1.",10068,10068,1602264960701,1602264960701,"10.80764"
1602264969801,1602264969661,170,"Was 10.816472 expected a value between 0 and 1.",10069,10069,1602264960706,1602264960706,"10.81647"
1602264969985,1602264969714,171,"Was 10.816472 expected a value between 0 and 1.",10070,10070,1602264960712,1602264960712,"10.81647"
1602264969985,1602264969805,172,"Was 10.750615 expected a value between 0 and 1.",10071,10071,1602264960716,1602264960716,"10.75061"
1602264969985,1602264969843,173,"Was 10.71885 expected a value between 0 and 1.",10072,10072,1602264960723,1602264960723,"10.7188"
1602264969985,1602264969858,174,"Was 10.392899 expected a value between 0 and 1.",10073,10073,1602264960727,1602264960727,"10.39289"
1602264969985,1602264969874,175,"Was 10.392899 expected a value between 0 and 1.",10074,10074,1602264960731,1602264960731,"10.39289"
1602264969985,1602264969926,176,"Was 10.258395 expected a value between 0 and 1.",10075,10075,1602264960737,1602264960737,"10.25839"
1602264969985,1602264969938,177,"Was 10.392899 expected a value between 0 and 1.",10076,10076,1602264960741,1602264960741,"10.39289"
1602264970002,1602264969969,178,"Was 10.516034 expected a value between 0 and 1.",10077,10077,1602264960746,1602264960746,"10.51603"
1602264970023,1602264969980,179,"Was 10.516034 expected a value between 0 and 1.",10078,10078,1602264960751,1602264960751,"10.51603"
