timestamp,value,producedElements
1602264935653,10.000000,5000
1602264936158,0.000000,5101
1602264960654,10.000000,10000
1602264961158,0.000000,10101
1602264985654,10.000000,15000
1602264986158,0.000000,15101
1602265010654,10.000000,20000
1602265011158,0.000000,20101
1602265035653,10.000000,25000
1602265036159,0.000000,25101
1602265060653,10.000000,30000
1602265061158,0.000000,30101
1602265085653,10.000000,35000
1602265086158,0.000000,35101
1602265110654,10.000000,40000
1602265111159,0.000000,40101
1602265135653,10.000000,45000
1602265136158,0.000000,45101
1602265160653,10.000000,50000
1602265161158,0.000000,50101
1602265185653,10.000000,55000
1602265186158,0.000000,55101
1602265210654,10.000000,60000
1602265211159,0.000000,60101
1602265235654,10.000000,65000
1602265236158,0.000000,65101
1602265260654,10.000000,70000
1602265261158,0.000000,70101
1602265285653,10.000000,75000
1602265286158,0.000000,75101
1602265310653,10.000000,80000
1602265311186,0.000000,80101
1602265335653,10.000000,85000
1602265336159,0.000000,85101
1602265360653,10.000000,90000
1602265361158,0.000000,90101
1602265385653,10.000000,95000
1602265386158,0.000000,95101
1602265410653,10.000000,100000
1602265411158,0.000000,100101
