timestamp,value,producedElements
1602264937476,10.000000,5000
1602264937982,0.000000,5101
1602264962475,10.000000,10000
1602264962980,0.000000,10101
1602264987475,10.000000,15000
1602264987980,0.000000,15101
1602265012476,10.000000,20000
1602265012980,0.000000,20101
1602265037475,10.000000,25000
1602265037981,0.000000,25101
1602265062475,10.000000,30000
1602265062981,0.000000,30101
1602265087475,10.000000,35000
1602265087980,0.000000,35101
1602265112475,10.000000,40000
1602265112980,0.000000,40101
1602265137475,10.000000,45000
1602265137981,0.000000,45101
1602265162475,10.000000,50000
1602265162980,0.000000,50101
1602265187475,10.000000,55000
1602265187980,0.000000,55101
1602265212475,10.000000,60000
1602265212980,0.000000,60101
1602265237476,10.000000,65000
1602265237981,0.000000,65101
1602265262475,10.000000,70000
1602265262981,0.000000,70101
1602265287475,10.000000,75000
1602265287980,0.000000,75101
1602265312477,10.000000,80000
1602265312980,0.000000,80101
1602265337475,10.000000,85000
1602265337980,0.000000,85101
1602265362476,10.000000,90000
1602265362980,0.000000,90101
1602265387475,10.000000,95000
1602265387980,0.000000,95101
1602265412476,10.000000,100000
1602265412981,0.000000,100101
