timestamp,value,producedElements
1602264937722,10.000000,5000
1602264938226,0.000000,5101
1602264962722,10.000000,10000
1602264963227,0.000000,10101
1602264987721,10.000000,15000
1602264988227,0.000000,15101
1602265012721,10.000000,20000
1602265013226,0.000000,20101
1602265037721,10.000000,25000
1602265038226,0.000000,25101
1602265062721,10.000000,30000
1602265063226,0.000000,30101
1602265087721,10.000000,35000
1602265088226,0.000000,35101
1602265112722,10.000000,40000
1602265113226,0.000000,40101
1602265137722,10.000000,45000
1602265138226,0.000000,45101
1602265162722,10.000000,50000
1602265163226,0.000000,50101
1602265187721,10.000000,55000
1602265188226,0.000000,55101
1602265212722,10.000000,60000
1602265213226,0.000000,60101
1602265237721,10.000000,65000
1602265238228,0.000000,65101
1602265262721,10.000000,70000
1602265263226,0.000000,70101
1602265287721,10.000000,75000
1602265288226,0.000000,75101
1602265312721,10.000000,80000
1602265313226,0.000000,80101
1602265337721,10.000000,85000
1602265338226,0.000000,85101
1602265362721,10.000000,90000
1602265363227,0.000000,90101
1602265387721,10.000000,95000
1602265388226,0.000000,95101
1602265412721,10.000000,100000
1602265413226,0.000000,100101
1602265437722,10.000000,105000
1602265438226,0.000000,105101
