Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1602264940313,1602264938712,0,"Was 10.06481 expected a value between 0 and 1.",5000,5000,1602264935682,1602264935682,"10.0648"
1602264940326,1602264939253,1,"Was 10.151206 expected a value between 0 and 1.",5001,5001,1602264935694,1602264935694,"10.15120"
1602264941118,1602264940860,2,"Was 10.301979 expected a value between 0 and 1.",5002,5002,1602264935694,1602264935694,"10.30197"
1602264941483,1602264941389,3,"Was 10.324573 expected a value between 0 and 1.",5003,5003,1602264935696,1602264935696,"10.32457"
1602264941533,1602264941484,4,"Was 10.324573 expected a value between 0 and 1.",5004,5004,1602264935701,1602264935701,"10.32457"
1602264941533,1602264941499,5,"Was 10.324573 expected a value between 0 and 1.",5005,5005,1602264935707,1602264935707,"10.32457"
1602264941656,1602264941552,6,"Was 10.433786 expected a value between 0 and 1.",5006,5006,1602264935712,1602264935712,"10.43378"
1602264943233,1602264943047,7,"Was 10.433786 expected a value between 0 and 1.",5007,5007,1602264935716,1602264935716,"10.43378"
1602264943233,1602264943164,8,"Was 10.433786 expected a value between 0 and 1.",5008,5008,1602264935721,1602264935721,"10.43378"
1602264943233,1602264943183,9,"Was 10.458686 expected a value between 0 and 1.",5009,5009,1602264935727,1602264935727,"10.45868"
1602264943240,1602264943198,10,"Was 10.485533 expected a value between 0 and 1.",5010,5010,1602264935732,1602264935732,"10.48553"
1602264943356,1602264943284,11,"Was 10.485533 expected a value between 0 and 1.",5011,5011,1602264935736,1602264935736,"10.48553"
1602264943372,1602264943300,12,"Was 10.485533 expected a value between 0 and 1.",5012,5012,1602264935741,1602264935741,"10.48553"
1602264943545,1602264943518,13,"Was 10.791968 expected a value between 0 and 1.",5013,5013,1602264935748,1602264935748,"10.79196"
1602264943589,1602264943540,14,"Was 10.563168 expected a value between 0 and 1.",5014,5014,1602264935752,1602264935752,"10.56316"
1602264943811,1602264943782,15,"Was 10.461232 expected a value between 0 and 1.",5015,5015,1602264935756,1602264935756,"10.46123"
1602264943840,1602264943812,16,"Was 10.461232 expected a value between 0 and 1.",5016,5016,1602264935761,1602264935761,"10.46123"
1602264943864,1602264943826,17,"Was 10.563168 expected a value between 0 and 1.",5017,5017,1602264935766,1602264935766,"10.56316"
1602264943872,1602264943848,18,"Was 10.563168 expected a value between 0 and 1.",5018,5018,1602264935771,1602264935771,"10.56316"
1602264943881,1602264943855,19,"Was 10.461232 expected a value between 0 and 1.",5019,5019,1602264935776,1602264935776,"10.46123"
1602264943906,1602264943870,20,"Was 10.393735 expected a value between 0 and 1.",5020,5020,1602264935781,1602264935781,"10.39373"
1602264944145,1602264943885,21,"Was 10.453569 expected a value between 0 and 1.",5021,5021,1602264935786,1602264935786,"10.45356"
1602264944281,1602264943982,22,"Was 10.393735 expected a value between 0 and 1.",5022,5022,1602264935791,1602264935791,"10.39373"
1602264944402,1602264944354,23,"Was 10.393735 expected a value between 0 and 1.",5023,5023,1602264935796,1602264935796,"10.39373"
1602264944430,1602264944371,24,"Was 10.311565 expected a value between 0 and 1.",5024,5024,1602264935801,1602264935801,"10.31156"
1602264944682,1602264944414,25,"Was 10.412857 expected a value between 0 and 1.",5025,5025,1602264935806,1602264935806,"10.41285"
1602264944720,1602264944439,26,"Was 10.311565 expected a value between 0 and 1.",5026,5026,1602264935811,1602264935811,"10.31156"
1602264944720,1602264944479,27,"Was 10.33588 expected a value between 0 and 1.",5027,5027,1602264935816,1602264935816,"10.3358"
1602264944720,1602264944497,28,"Was 10.33588 expected a value between 0 and 1.",5028,5028,1602264935821,1602264935821,"10.3358"
1602264944720,1602264944511,29,"Was 10.412857 expected a value between 0 and 1.",5029,5029,1602264935826,1602264935826,"10.41285"
1602264944720,1602264944528,30,"Was 10.476268 expected a value between 0 and 1.",5030,5030,1602264935831,1602264935831,"10.47626"
1602264944720,1602264944539,31,"Was 10.650907 expected a value between 0 and 1.",5031,5031,1602264935836,1602264935836,"10.65090"
1602264944720,1602264944593,32,"Was 10.650907 expected a value between 0 and 1.",5032,5032,1602264935841,1602264935841,"10.65090"
1602264944720,1602264944609,33,"Was 10.650907 expected a value between 0 and 1.",5033,5033,1602264935846,1602264935846,"10.65090"
1602264944720,1602264944628,34,"Was 10.60953 expected a value between 0 and 1.",5034,5034,1602264935852,1602264935852,"10.6095"
1602264944720,1602264944644,35,"Was 10.590017 expected a value between 0 and 1.",5035,5035,1602264935856,1602264935856,"10.59001"
1602264944734,1602264944668,36,"Was 10.341635 expected a value between 0 and 1.",5036,5036,1602264935861,1602264935861,"10.34163"
1602264944945,1602264944689,37,"Was 10.341635 expected a value between 0 and 1.",5037,5037,1602264935866,1602264935866,"10.34163"
1602264945027,1602264944725,38,"Was 10.259647 expected a value between 0 and 1.",5038,5038,1602264935873,1602264935873,"10.25964"
1602264945027,1602264944741,39,"Was 10.341635 expected a value between 0 and 1.",5039,5039,1602264935876,1602264935876,"10.34163"
1602264945027,1602264944760,40,"Was 10.341635 expected a value between 0 and 1.",5040,5040,1602264935882,1602264935882,"10.34163"
1602264945027,1602264944785,41,"Was 10.588095 expected a value between 0 and 1.",5041,5041,1602264935886,1602264935886,"10.58809"
1602264945027,1602264944803,42,"Was 10.295727 expected a value between 0 and 1.",5042,5042,1602264935892,1602264935892,"10.29572"
1602264945027,1602264944827,43,"Was 10.325571 expected a value between 0 and 1.",5043,5043,1602264935896,1602264935896,"10.32557"
1602264945027,1602264944846,44,"Was 10.325571 expected a value between 0 and 1.",5044,5044,1602264935901,1602264935901,"10.32557"
1602264945027,1602264944863,45,"Was 10.331072 expected a value between 0 and 1.",5045,5045,1602264935906,1602264935906,"10.33107"
1602264945027,1602264944880,46,"Was 10.331072 expected a value between 0 and 1.",5046,5046,1602264935912,1602264935912,"10.33107"
1602264945027,1602264944894,47,"Was 10.331072 expected a value between 0 and 1.",5047,5047,1602264935916,1602264935916,"10.33107"
1602264945027,1602264944906,48,"Was 10.544807 expected a value between 0 and 1.",5048,5048,1602264935921,1602264935921,"10.54480"
1602264945038,1602264944925,49,"Was 10.623912 expected a value between 0 and 1.",5049,5049,1602264935926,1602264935926,"10.62391"
1602264945319,1602264944947,50,"Was 10.623912 expected a value between 0 and 1.",5050,5050,1602264935931,1602264935931,"10.62391"
