Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1603765915459,1603765914814,1,"Was 10.526102 expected a value between 0 and 1.",5000,5000,1603765912811,1603765912811,"10.52610"
1603765915459,1603765915092,2,"Was 10.526102 expected a value between 0 and 1.",5001,5001,1603765912820,1603765912820,"10.52610"
1603765915459,1603765915140,3,"Was 10.526102 expected a value between 0 and 1.",5002,5002,1603765912822,1603765912822,"10.52610"
1603765915459,1603765915153,4,"Was 10.733067 expected a value between 0 and 1.",5003,5003,1603765912826,1603765912826,"10.73306"
1603765915459,1603765915212,5,"Was 10.733067 expected a value between 0 and 1.",5004,5004,1603765912832,1603765912832,"10.73306"
1603765915547,1603765915383,6,"Was 10.687384 expected a value between 0 and 1.",5005,5005,1603765912836,1603765912836,"10.68738"
1603765915656,1603765915491,7,"Was 10.687384 expected a value between 0 and 1.",5006,5006,1603765912841,1603765912841,"10.68738"
1603765916000,1603765915652,8,"Was 10.624852 expected a value between 0 and 1.",5007,5007,1603765912846,1603765912846,"10.62485"
1603765916000,1603765915653,9,"Was 10.624852 expected a value between 0 and 1.",5008,5008,1603765912851,1603765912851,"10.62485"
1603765916000,1603765915660,10,"Was 10.687384 expected a value between 0 and 1.",5009,5009,1603765912856,1603765912856,"10.68738"
1603765916000,1603765915662,11,"Was 10.624852 expected a value between 0 and 1.",5010,5010,1603765912861,1603765912861,"10.62485"
1603765916000,1603765915665,12,"Was 10.859111 expected a value between 0 and 1.",5011,5011,1603765912869,1603765912869,"10.85911"
1603765916000,1603765915667,13,"Was 10.859111 expected a value between 0 and 1.",5012,5012,1603765912871,1603765912871,"10.85911"
1603765916000,1603765915672,14,"Was 10.625249 expected a value between 0 and 1.",5013,5013,1603765912876,1603765912876,"10.62524"
1603765916000,1603765915807,15,"Was 10.625249 expected a value between 0 and 1.",5014,5014,1603765912881,1603765912881,"10.62524"
1603765916000,1603765915808,16,"Was 10.625249 expected a value between 0 and 1.",5015,5015,1603765912886,1603765912886,"10.62524"
1603765916000,1603765915863,17,"Was 10.355518 expected a value between 0 and 1.",5016,5016,1603765912891,1603765912891,"10.35551"
1603765916000,1603765915870,18,"Was 10.355518 expected a value between 0 and 1.",5017,5017,1603765912897,1603765912897,"10.35551"
1603765916000,1603765915873,19,"Was 10.673517 expected a value between 0 and 1.",5018,5018,1603765912901,1603765912901,"10.67351"
1603765916000,1603765915874,20,"Was 10.673517 expected a value between 0 and 1.",5019,5019,1603765912906,1603765912906,"10.67351"
1603765916000,1603765915875,21,"Was 10.673517 expected a value between 0 and 1.",5020,5020,1603765912911,1603765912911,"10.67351"
1603765916000,1603765915876,22,"Was 10.673517 expected a value between 0 and 1.",5021,5021,1603765912916,1603765912916,"10.67351"
1603765916180,1603765915896,23,"Was 10.610101 expected a value between 0 and 1.",5022,5022,1603765912922,1603765912922,"10.61010"
1603765916180,1603765915902,24,"Was 10.451453 expected a value between 0 and 1.",5023,5023,1603765912926,1603765912926,"10.45145"
1603765916267,1603765915995,25,"Was 10.40104 expected a value between 0 and 1.",5024,5024,1603765912933,1603765912933,"10.4010"
1603765916267,1603765915996,26,"Was 10.40104 expected a value between 0 and 1.",5025,5025,1603765912936,1603765912936,"10.4010"
1603765916267,1603765916003,27,"Was 10.451453 expected a value between 0 and 1.",5026,5026,1603765912941,1603765912941,"10.45145"
1603765916267,1603765916005,28,"Was 10.5308 expected a value between 0 and 1.",5027,5027,1603765912946,1603765912946,"10.530"
1603765916267,1603765916007,29,"Was 10.5308 expected a value between 0 and 1.",5028,5028,1603765912951,1603765912951,"10.530"
1603765916267,1603765916139,30,"Was 10.5308 expected a value between 0 and 1.",5029,5029,1603765912956,1603765912956,"10.530"
1603765916267,1603765916144,31,"Was 10.5308 expected a value between 0 and 1.",5030,5030,1603765912962,1603765912962,"10.530"
1603765916267,1603765916147,32,"Was 10.299845 expected a value between 0 and 1.",5031,5031,1603765912966,1603765912966,"10.29984"
1603765916267,1603765916148,33,"Was 10.299845 expected a value between 0 and 1.",5032,5032,1603765912971,1603765912971,"10.29984"
1603765916267,1603765916149,34,"Was 10.685215 expected a value between 0 and 1.",5033,5033,1603765912976,1603765912976,"10.68521"
1603765916267,1603765916150,35,"Was 10.685215 expected a value between 0 and 1.",5034,5034,1603765912981,1603765912981,"10.68521"
1603765916267,1603765916154,36,"Was 10.141871 expected a value between 0 and 1.",5035,5035,1603765912986,1603765912986,"10.14187"
1603765916267,1603765916155,37,"Was 10.112226 expected a value between 0 and 1.",5036,5036,1603765912991,1603765912991,"10.11222"
1603765916267,1603765916156,38,"Was 10.112226 expected a value between 0 and 1.",5037,5037,1603765912996,1603765912996,"10.11222"
1603765916267,1603765916160,39,"Was 10.105651 expected a value between 0 and 1.",5038,5038,1603765913001,1603765913001,"10.10565"
1603765916267,1603765916162,40,"Was 10.112226 expected a value between 0 and 1.",5039,5039,1603765913008,1603765913008,"10.11222"
1603765916267,1603765916175,41,"Was 10.351781 expected a value between 0 and 1.",5040,5040,1603765913012,1603765913012,"10.35178"
1603765916291,1603765916185,42,"Was 10.351781 expected a value between 0 and 1.",5041,5041,1603765913016,1603765913016,"10.35178"
1603765916291,1603765916189,43,"Was 10.374725 expected a value between 0 and 1.",5042,5042,1603765913021,1603765913021,"10.37472"
1603765916291,1603765916190,44,"Was 10.530631 expected a value between 0 and 1.",5043,5043,1603765913026,1603765913026,"10.53063"
1603765916291,1603765916192,45,"Was 10.374725 expected a value between 0 and 1.",5044,5044,1603765913031,1603765913031,"10.37472"
