timestamp,value,producedElements
1603769518996,10.000000,5000
1603769519500,0.000000,5101
1603769543996,10.000000,10000
1603769544501,0.000000,10101
1603769568997,10.000000,15000
1603769569500,0.000000,15101
1603769593995,10.000000,20000
1603769594500,0.000000,20101
1603769618995,10.000000,25000
1603769619500,0.000000,25101
1603769643995,10.000000,30000
1603769644500,0.000000,30101
1603769668995,10.000000,35000
1603769669500,0.000000,35101
1603769693996,10.000000,40000
1603769694500,0.000000,40101
1603769718995,10.000000,45000
1603769719500,0.000000,45101
1603769743996,10.000000,50000
1603769744500,0.000000,50101
1603769768995,10.000000,55000
1603769769500,0.000000,55101
1603769793995,10.000000,60000
1603769794500,0.000000,60101
1603769818995,10.000000,65000
1603769819500,0.000000,65101
1603769843995,10.000000,70000
1603769844501,0.000000,70101
1603769868995,10.000000,75000
1603769869500,0.000000,75101
1603769893995,10.000000,80000
1603769894500,0.000000,80101
1603769918995,10.000000,85000
1603769919500,0.000000,85101
1603769943996,10.000000,90000
1603769944500,0.000000,90101
1603769968995,10.000000,95000
1603769969500,0.000000,95101
1603769993995,10.000000,100000
1603769994500,0.000000,100101
1603770018995,10.000000,105000
1603770019501,0.000000,105101
1603770043996,10.000000,110000
1603770044500,0.000000,110101
1603770068996,10.000000,115000
1603770069500,0.000000,115101
1603770093995,10.000000,120000
1603770094500,0.000000,120101
1603770118995,10.000000,125000
1603770119500,0.000000,125101
1603770143996,10.000000,130000
1603770144500,0.000000,130101
1603770168995,10.000000,135000
1603770169500,0.000000,135101
1603770193995,10.000000,140000
1603770194500,0.000000,140101
1603770218995,10.000000,145000
1603770219500,0.000000,145101
1603770243995,10.000000,150000
1603770244500,0.000000,150101
1603770268995,10.000000,155000
1603770269500,0.000000,155101
1603770293995,10.000000,160000
1603770294500,0.000000,160101
1603770318995,10.000000,165000
1603770319500,0.000000,165101
1603770343995,10.000000,170000
1603770344500,0.000000,170101
1603770368995,10.000000,175000
1603770369501,0.000000,175101
1603770393996,10.000000,180000
1603770394501,0.000000,180101
1603770418997,10.000000,185000
1603770419501,0.000000,185101
1603770443995,10.000000,190000
1603770444500,0.000000,190101
1603770468995,10.000000,195000
1603770469500,0.000000,195101
1603770493995,10.000000,200000
1603770494500,0.000000,200101
1603770518995,10.000000,205000
1603770519500,0.000000,205101
1603770543995,10.000000,210000
1603770544500,0.000000,210101
1603770568995,10.000000,215000
1603770569500,0.000000,215101
1603770593996,10.000000,220000
1603770594500,0.000000,220101
1603770618996,10.000000,225000
1603770619500,0.000000,225101
1603770643995,10.000000,230000
1603770644500,0.000000,230101
1603770668995,10.000000,235000
1603770669500,0.000000,235101
1603770693995,10.000000,240000
