Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1603769520626,1603769520168,1,"Was 10.462273 expected a value between 0 and 1.",5000,5000,1603769519361,1603769519361,"10.46227"
1603769520626,1603769520170,2,"Was 10.462273 expected a value between 0 and 1.",5001,5001,1603769519366,1603769519366,"10.46227"
1603769520626,1603769520184,3,"Was 10.462273 expected a value between 0 and 1.",5002,5002,1603769519371,1603769519371,"10.46227"
1603769520626,1603769520186,4,"Was 10.462273 expected a value between 0 and 1.",5003,5003,1603769519376,1603769519376,"10.46227"
1603769520626,1603769520187,5,"Was 10.449995 expected a value between 0 and 1.",5004,5004,1603769519381,1603769519381,"10.44999"
1603769520626,1603769520191,6,"Was 10.630773 expected a value between 0 and 1.",5005,5005,1603769519386,1603769519386,"10.63077"
1603769520626,1603769520192,7,"Was 10.630773 expected a value between 0 and 1.",5006,5006,1603769519392,1603769519392,"10.63077"
1603769520626,1603769520193,8,"Was 10.499919 expected a value between 0 and 1.",5007,5007,1603769519396,1603769519396,"10.49991"
1603769520626,1603769520194,9,"Was 10.499919 expected a value between 0 and 1.",5008,5008,1603769519402,1603769519402,"10.49991"
1603769520626,1603769520195,10,"Was 10.499919 expected a value between 0 and 1.",5009,5009,1603769519406,1603769519406,"10.49991"
1603769520626,1603769520196,11,"Was 10.138888 expected a value between 0 and 1.",5010,5010,1603769519412,1603769519412,"10.13888"
1603769520626,1603769520197,12,"Was 10.138888 expected a value between 0 and 1.",5011,5011,1603769519416,1603769519416,"10.13888"
1603769520922,1603769520209,13,"Was 10.138888 expected a value between 0 and 1.",5012,5012,1603769519421,1603769519421,"10.13888"
1603769520922,1603769520210,14,"Was 10.138888 expected a value between 0 and 1.",5013,5013,1603769519426,1603769519426,"10.13888"
1603769520922,1603769520226,15,"Was 10.60028 expected a value between 0 and 1.",5014,5014,1603769519431,1603769519431,"10.6002"
1603769520922,1603769520227,16,"Was 10.864827 expected a value between 0 and 1.",5015,5015,1603769519436,1603769519436,"10.86482"
1603769520922,1603769520243,17,"Was 10.60028 expected a value between 0 and 1.",5016,5016,1603769519441,1603769519441,"10.6002"
