timestamp,value,producedElements
1602257689639,10.000000,5000
1602257690144,0.000000,5101
1602257714649,10.000000,10000
1602257715144,0.000000,10101
1602257739640,10.000000,15000
1602257740144,0.000000,15101
1602257764639,10.000000,20000
1602257765144,0.000000,20101
1602257789640,10.000000,25000
1602257790144,0.000000,25101
1602257814639,10.000000,30000
1602257815144,0.000000,30101
1602257839639,10.000000,35000
1602257840144,0.000000,35101
1602257864639,10.000000,40000
1602257865145,0.000000,40101
1602257889639,10.000000,45000
1602257890144,0.000000,45101
1602257914640,10.000000,50000
1602257915144,0.000000,50101
1602257939640,10.000000,55000
1602257940145,0.000000,55101
1602257964639,10.000000,60000
1602257965144,0.000000,60101
1602257989639,10.000000,65000
1602257990145,0.000000,65101
1602258014643,10.000000,70000
1602258015144,0.000000,70101
1602258039640,10.000000,75000
1602258040144,0.000000,75101
1602258064639,10.000000,80000
1602258065144,0.000000,80101
1602258089639,10.000000,85000
1602258090144,0.000000,85101
1602258114639,10.000000,90000
1602258115144,0.000000,90101
1602258139639,10.000000,95000
1602258140144,0.000000,95101
