Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1602257702574,1602257701809,0,"Was 10.172613 expected a value between 0 and 1.",5000,5000,1602257689644,1602257689644,"10.17261"
1602257702605,1602257702076,1,"Was 10.366715 expected a value between 0 and 1.",5001,5001,1602257689665,1602257689665,"10.36671"
1602257702605,1602257702144,2,"Was 10.633134 expected a value between 0 and 1.",5002,5002,1602257689666,1602257689666,"10.63313"
1602257702605,1602257702167,3,"Was 10.633134 expected a value between 0 and 1.",5003,5003,1602257689666,1602257689666,"10.63313"
1602257702605,1602257702190,4,"Was 10.633134 expected a value between 0 and 1.",5004,5004,1602257689666,1602257689666,"10.63313"
1602257702605,1602257702212,5,"Was 10.617443 expected a value between 0 and 1.",5005,5005,1602257689669,1602257689669,"10.61744"
1602257702605,1602257702225,6,"Was 10.617443 expected a value between 0 and 1.",5006,5006,1602257689675,1602257689675,"10.61744"
1602257702605,1602257702312,7,"Was 10.617443 expected a value between 0 and 1.",5007,5007,1602257689679,1602257689679,"10.61744"
1602257702605,1602257702328,8,"Was 10.45119 expected a value between 0 and 1.",5008,5008,1602257689684,1602257689684,"10.4511"
1602257702605,1602257702346,9,"Was 10.370277 expected a value between 0 and 1.",5009,5009,1602257689690,1602257689690,"10.37027"
1602257702605,1602257702367,10,"Was 10.299638 expected a value between 0 and 1.",5010,5010,1602257689696,1602257689696,"10.29963"
1602257702702,1602257702382,11,"Was 10.270056 expected a value between 0 and 1.",5011,5011,1602257689699,1602257689699,"10.27005"
1602257702702,1602257702428,12,"Was 10.270056 expected a value between 0 and 1.",5012,5012,1602257689705,1602257689705,"10.27005"
1602257702725,1602257702453,13,"Was 10.270056 expected a value between 0 and 1.",5013,5013,1602257689709,1602257689709,"10.27005"
1602257702725,1602257702469,14,"Was 10.505161 expected a value between 0 and 1.",5014,5014,1602257689715,1602257689715,"10.50516"
