Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1602257693191,1602257692025,0,"Was 10.284796 expected a value between 0 and 1.",5000,5000,1602257690439,1602257690439,"10.28479"
1602257693236,1602257692646,1,"Was 10.328866 expected a value between 0 and 1.",5001,5001,1602257690470,1602257690470,"10.32886"
1602257693236,1602257692821,2,"Was 10.817808 expected a value between 0 and 1.",5002,5002,1602257690470,1602257690470,"10.81780"
1602257693236,1602257692837,3,"Was 10.817808 expected a value between 0 and 1.",5003,5003,1602257690470,1602257690470,"10.81780"
1602257693294,1602257693019,4,"Was 10.817808 expected a value between 0 and 1.",5004,5004,1602257690470,1602257690470,"10.81780"
1602257693494,1602257693167,5,"Was 10.620383 expected a value between 0 and 1.",5005,5005,1602257690470,1602257690470,"10.62038"
1602257693557,1602257693534,6,"Was 10.59981 expected a value between 0 and 1.",5006,5006,1602257690471,1602257690471,"10.5998"
1602257693576,1602257693545,7,"Was 10.59981 expected a value between 0 and 1.",5007,5007,1602257690473,1602257690473,"10.5998"
1602257693589,1602257693565,8,"Was 10.620383 expected a value between 0 and 1.",5008,5008,1602257690478,1602257690478,"10.62038"
1602257693855,1602257693598,9,"Was 10.698821 expected a value between 0 and 1.",5009,5009,1602257690483,1602257690483,"10.69882"
1602257693880,1602257693613,10,"Was 10.698821 expected a value between 0 and 1.",5010,5010,1602257690489,1602257690489,"10.69882"
1602257693880,1602257693646,11,"Was 10.698821 expected a value between 0 and 1.",5011,5011,1602257690493,1602257690493,"10.69882"
1602257694129,1602257694073,12,"Was 10.480591 expected a value between 0 and 1.",5012,5012,1602257690500,1602257690500,"10.48059"
1602257694142,1602257694110,13,"Was 10.480591 expected a value between 0 and 1.",5013,5013,1602257690503,1602257690503,"10.48059"
1602257694171,1602257694125,14,"Was 10.480591 expected a value between 0 and 1.",5014,5014,1602257690509,1602257690509,"10.48059"
1602257695042,1602257694218,15,"Was 10.464411 expected a value between 0 and 1.",5015,5015,1602257690515,1602257690515,"10.46441"
1602257695286,1602257694983,16,"Was 10.464411 expected a value between 0 and 1.",5016,5016,1602257690518,1602257690518,"10.46441"
1602257695286,1602257695037,17,"Was 10.488311 expected a value between 0 and 1.",5017,5017,1602257690523,1602257690523,"10.48831"
1602257695286,1602257695061,18,"Was 10.464411 expected a value between 0 and 1.",5018,5018,1602257690529,1602257690529,"10.46441"
1602257695360,1602257695323,19,"Was 10.464411 expected a value between 0 and 1.",5019,5019,1602257690537,1602257690537,"10.46441"
1602257695462,1602257695368,20,"Was 10.502396 expected a value between 0 and 1.",5020,5020,1602257690538,1602257690538,"10.50239"
1602257695462,1602257695383,21,"Was 10.6136265 expected a value between 0 and 1.",5021,5021,1602257690543,1602257690543,"10.613626"
1602257695462,1602257695411,22,"Was 10.6136265 expected a value between 0 and 1.",5022,5022,1602257690552,1602257690552,"10.613626"
1602257695704,1602257695429,23,"Was 10.625965 expected a value between 0 and 1.",5023,5023,1602257690553,1602257690553,"10.62596"
1602257695717,1602257695483,24,"Was 10.625965 expected a value between 0 and 1.",5024,5024,1602257690560,1602257690560,"10.62596"
1602257695884,1602257695597,25,"Was 10.625965 expected a value between 0 and 1.",5025,5025,1602257690563,1602257690563,"10.62596"
1602257695912,1602257695625,26,"Was 10.512642 expected a value between 0 and 1.",5026,5026,1602257690568,1602257690568,"10.51264"
1602257695912,1602257695643,27,"Was 10.512642 expected a value between 0 and 1.",5027,5027,1602257690574,1602257690574,"10.51264"
1602257695912,1602257695663,28,"Was 10.512642 expected a value between 0 and 1.",5028,5028,1602257690578,1602257690578,"10.51264"
1602257695912,1602257695816,29,"Was 10.512642 expected a value between 0 and 1.",5029,5029,1602257690584,1602257690584,"10.51264"
1602257695936,1602257695865,30,"Was 10.79592 expected a value between 0 and 1.",5030,5030,1602257690589,1602257690589,"10.7959"
1602257696279,1602257696219,31,"Was 10.79592 expected a value between 0 and 1.",5031,5031,1602257690594,1602257690594,"10.7959"
1602257696309,1602257696254,32,"Was 10.79592 expected a value between 0 and 1.",5032,5032,1602257690599,1602257690599,"10.7959"
1602257696553,1602257696280,33,"Was 10.665489 expected a value between 0 and 1.",5033,5033,1602257690603,1602257690603,"10.66548"
1602257696680,1602257696302,34,"Was 10.665489 expected a value between 0 and 1.",5034,5034,1602257690608,1602257690608,"10.66548"
1602257696680,1602257696329,35,"Was 10.659635 expected a value between 0 and 1.",5035,5035,1602257690613,1602257690613,"10.65963"
1602257696680,1602257696356,36,"Was 10.659635 expected a value between 0 and 1.",5036,5036,1602257690618,1602257690618,"10.65963"
1602257696680,1602257696375,37,"Was 10.57548 expected a value between 0 and 1.",5037,5037,1602257690623,1602257690623,"10.5754"
1602257696680,1602257696404,38,"Was 10.57548 expected a value between 0 and 1.",5038,5038,1602257690629,1602257690629,"10.5754"
1602257696680,1602257696420,39,"Was 10.57548 expected a value between 0 and 1.",5039,5039,1602257690634,1602257690634,"10.5754"
1602257696680,1602257696439,40,"Was 10.57548 expected a value between 0 and 1.",5040,5040,1602257690638,1602257690638,"10.5754"
1602257696680,1602257696491,41,"Was 10.57548 expected a value between 0 and 1.",5041,5041,1602257690643,1602257690643,"10.5754"
1602257696680,1602257696517,42,"Was 10.479252 expected a value between 0 and 1.",5042,5042,1602257690648,1602257690648,"10.47925"
1602257696914,1602257696534,43,"Was 10.479252 expected a value between 0 and 1.",5043,5043,1602257690655,1602257690655,"10.47925"
1602257696914,1602257696620,44,"Was 10.62461 expected a value between 0 and 1.",5044,5044,1602257690658,1602257690658,"10.6246"
1602257696955,1602257696688,45,"Was 10.62461 expected a value between 0 and 1.",5045,5045,1602257690663,1602257690663,"10.6246"
1602257696955,1602257696709,46,"Was 10.62461 expected a value between 0 and 1.",5046,5046,1602257690668,1602257690668,"10.6246"
1602257696955,1602257696747,47,"Was 10.62461 expected a value between 0 and 1.",5047,5047,1602257690673,1602257690673,"10.6246"
1602257696955,1602257696763,48,"Was 10.510726 expected a value between 0 and 1.",5048,5048,1602257690678,1602257690678,"10.51072"
1602257696955,1602257696778,49,"Was 10.492341 expected a value between 0 and 1.",5049,5049,1602257690683,1602257690683,"10.49234"
1602257696955,1602257696794,50,"Was 10.492341 expected a value between 0 and 1.",5050,5050,1602257690691,1602257690691,"10.49234"
1602257697221,1602257696811,51,"Was 10.492341 expected a value between 0 and 1.",5051,5051,1602257690693,1602257690693,"10.49234"
1602257697221,1602257697065,52,"Was 10.38044 expected a value between 0 and 1.",5052,5052,1602257690700,1602257690700,"10.3804"
1602257697221,1602257697143,53,"Was 10.297418 expected a value between 0 and 1.",5053,5053,1602257690712,1602257690712,"10.29741"
1602257697221,1602257697164,54,"Was 10.147791 expected a value between 0 and 1.",5054,5054,1602257690712,1602257690712,"10.14779"
1602257697236,1602257697180,55,"Was 10.297418 expected a value between 0 and 1.",5055,5055,1602257690714,1602257690714,"10.29741"
1602257697266,1602257697198,56,"Was 10.278513 expected a value between 0 and 1.",5056,5056,1602257690725,1602257690725,"10.27851"
