Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1602257706289,1602257705515,0,"Was 10.232039 expected a value between 0 and 1.",5000,5000,1602257690385,1602257690385,"10.23203"
1602257706289,1602257705744,1,"Was 10.232039 expected a value between 0 and 1.",5001,5001,1602257690456,1602257690456,"10.23203"
1602257706332,1602257705862,2,"Was 10.269358 expected a value between 0 and 1.",5002,5002,1602257690457,1602257690457,"10.26935"
1602257706332,1602257705880,3,"Was 10.462824 expected a value between 0 and 1.",5003,5003,1602257690457,1602257690457,"10.46282"
1602257706332,1602257705927,4,"Was 10.440087 expected a value between 0 and 1.",5004,5004,1602257690457,1602257690457,"10.44008"
1602257706332,1602257705942,5,"Was 10.46046 expected a value between 0 and 1.",5005,5005,1602257690458,1602257690458,"10.4604"
1602257706332,1602257705962,6,"Was 10.46046 expected a value between 0 and 1.",5006,5006,1602257690474,1602257690474,"10.4604"
1602257706332,1602257705979,7,"Was 10.46046 expected a value between 0 and 1.",5007,5007,1602257690474,1602257690474,"10.4604"
1602257706332,1602257705994,8,"Was 10.440087 expected a value between 0 and 1.",5008,5008,1602257690475,1602257690475,"10.44008"
1602257706332,1602257706052,9,"Was 10.46046 expected a value between 0 and 1.",5009,5009,1602257690475,1602257690475,"10.4604"
1602257706569,1602257706114,10,"Was 10.490984 expected a value between 0 and 1.",5010,5010,1602257690475,1602257690475,"10.49098"
1602257706569,1602257706187,11,"Was 10.490984 expected a value between 0 and 1.",5011,5011,1602257690475,1602257690475,"10.49098"
1602257707081,1602257706904,12,"Was 10.300033 expected a value between 0 and 1.",5012,5012,1602257690476,1602257690476,"10.30003"
1602257707081,1602257706936,13,"Was 10.490984 expected a value between 0 and 1.",5013,5013,1602257690476,1602257690476,"10.49098"
1602257707081,1602257706958,14,"Was 10.300033 expected a value between 0 and 1.",5014,5014,1602257690476,1602257690476,"10.30003"
