timestamp,value,producedElements
1602257690271,10.000000,5000
1602257690777,0.000000,5101
1602257715272,10.000000,10000
1602257715777,0.000000,10101
1602257740271,10.000000,15000
1602257740777,0.000000,15101
1602257765271,10.000000,20000
1602257765776,0.000000,20101
1602257790271,10.000000,25000
1602257790776,0.000000,25101
1602257815271,10.000000,30000
1602257815776,0.000000,30101
1602257840272,10.000000,35000
1602257840776,0.000000,35101
1602257865271,10.000000,40000
1602257865776,0.000000,40101
1602257890272,10.000000,45000
1602257890776,0.000000,45101
1602257915272,10.000000,50000
1602257915777,0.000000,50101
1602257940271,10.000000,55000
1602257940776,0.000000,55101
1602257965271,10.000000,60000
1602257965776,0.000000,60101
1602257990271,10.000000,65000
1602257990777,0.000000,65101
1602258015271,10.000000,70000
1602258015776,0.000000,70101
1602258040271,10.000000,75000
1602258040776,0.000000,75101
1602258065272,10.000000,80000
1602258065776,0.000000,80101
1602258090272,10.000000,85000
1602258090776,0.000000,85101
1602258115271,10.000000,90000
1602258115776,0.000000,90101
1602258140271,10.000000,95000
1602258140776,0.000000,95101
1602258165271,10.000000,100000
1602258165776,0.000000,100101
1602258190271,10.000000,105000
1602258190776,0.000000,105101
1602258215272,10.000000,110000
1602258215776,0.000000,110101
