Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1603790073113,1603790071814,1,"Was 10.052814 expected a value between 0 and 1.",5000,5000,1603790070419,1603790070419,"10.05281"
1603790073113,1603790071830,2,"Was 10.196575 expected a value between 0 and 1.",5001,5001,1603790070424,1603790070424,"10.19657"
1603790073113,1603790071831,3,"Was 10.509278 expected a value between 0 and 1.",5002,5002,1603790070429,1603790070429,"10.50927"
1603790073167,1603790072377,4,"Was 10.634547 expected a value between 0 and 1.",5003,5003,1603790070436,1603790070436,"10.63454"
1603790073167,1603790072378,5,"Was 10.634547 expected a value between 0 and 1.",5004,5004,1603790070439,1603790070439,"10.63454"
1603790073167,1603790072379,6,"Was 10.509278 expected a value between 0 and 1.",5005,5005,1603790070444,1603790070444,"10.50927"
1603790073167,1603790072380,7,"Was 10.634547 expected a value between 0 and 1.",5006,5006,1603790070449,1603790070449,"10.63454"
1603790073167,1603790072530,8,"Was 10.145738 expected a value between 0 and 1.",5007,5007,1603790070454,1603790070454,"10.14573"
1603790073167,1603790072531,9,"Was 10.115096 expected a value between 0 and 1.",5008,5008,1603790070460,1603790070460,"10.11509"
1603790073167,1603790072532,10,"Was 10.115096 expected a value between 0 and 1.",5009,5009,1603790070464,1603790070464,"10.11509"
1603790073167,1603790072968,11,"Was 10.102368 expected a value between 0 and 1.",5010,5010,1603790070469,1603790070469,"10.10236"
1603790073167,1603790073038,12,"Was 10.102368 expected a value between 0 and 1.",5011,5011,1603790070474,1603790070474,"10.10236"
1603790073196,1603790073039,13,"Was 10.203532 expected a value between 0 and 1.",5012,5012,1603790070479,1603790070479,"10.20353"
1603790073196,1603790073063,14,"Was 10.280986 expected a value between 0 and 1.",5013,5013,1603790070484,1603790070484,"10.28098"
1603790073377,1603790073311,15,"Was 10.27246 expected a value between 0 and 1.",5014,5014,1603790070489,1603790070489,"10.2724"
1603790073581,1603790073470,16,"Was 10.280986 expected a value between 0 and 1.",5015,5015,1603790070494,1603790070494,"10.28098"
1603790073636,1603790073589,17,"Was 10.450628 expected a value between 0 and 1.",5016,5016,1603790070500,1603790070500,"10.45062"
1603790073679,1603790073622,18,"Was 10.450628 expected a value between 0 and 1.",5017,5017,1603790070504,1603790070504,"10.45062"
1603790073952,1603790073751,19,"Was 10.765693 expected a value between 0 and 1.",5018,5018,1603790070509,1603790070509,"10.76569"
1603790074041,1603790073768,20,"Was 10.765693 expected a value between 0 and 1.",5019,5019,1603790070514,1603790070514,"10.76569"
1603790074041,1603790073819,21,"Was 10.638792 expected a value between 0 and 1.",5020,5020,1603790070522,1603790070522,"10.63879"
1603790074041,1603790073834,22,"Was 10.487958 expected a value between 0 and 1.",5021,5021,1603790070524,1603790070524,"10.48795"
