timestamp,value,producedElements
1603790071337,10.000000,5000
1603790071842,0.000000,5101
1603790096337,10.000000,10000
1603790096843,0.000000,10101
1603790121341,10.000000,15000
1603790121842,0.000000,15101
1603790146338,10.000000,20000
1603790146842,0.000000,20101
1603790171342,10.000000,25000
1603790171844,0.000000,25101
1603790196337,10.000000,30000
1603790196842,0.000000,30101
1603790221337,10.000000,35000
1603790221842,0.000000,35101
1603790246337,10.000000,40000
1603790246843,0.000000,40101
1603790271337,10.000000,45000
1603790271842,0.000000,45101
1603790296337,10.000000,50000
1603790296842,0.000000,50101
1603790321337,10.000000,55000
1603790321842,0.000000,55101
1603790346338,10.000000,60000
1603790346842,0.000000,60101
1603790371337,10.000000,65000
1603790371842,0.000000,65101
1603790396337,10.000000,70000
1603790396843,0.000000,70101
1603790421337,10.000000,75000
1603790421842,0.000000,75101
1603790446337,10.000000,80000
1603790446842,0.000000,80101
1603790471337,10.000000,85000
1603790471842,0.000000,85101
1603790496337,10.000000,90000
1603790496842,0.000000,90101
1603790521337,10.000000,95000
1603790521844,0.000000,95101
1603790546337,10.000000,100000
1603790546842,0.000000,100101
1603790571337,10.000000,105000
1603790571842,0.000000,105101
1603790596337,10.000000,110000
1603790596842,0.000000,110101
1603790621337,10.000000,115000
1603790621842,0.000000,115101
1603790646340,10.000000,120000
1603790646842,0.000000,120101
1603790671337,10.000000,125000
1603790671842,0.000000,125101
1603790696337,10.000000,130000
1603790696842,0.000000,130101
1603790721337,10.000000,135000
1603790721842,0.000000,135101
1603790746337,10.000000,140000
1603790746843,0.000000,140101
1603790771337,10.000000,145000
1603790771842,0.000000,145101
1603790796337,10.000000,150000
1603790796842,0.000000,150101
1603790821338,10.000000,155000
1603790821843,0.000000,155101
1603790846338,10.000000,160000
1603790846842,0.000000,160101
1603790871337,10.000000,165000
1603790871842,0.000000,165101
1603790896337,10.000000,170000
1603790896842,0.000000,170101
1603790921337,10.000000,175000
1603790921842,0.000000,175101
1603790946337,10.000000,180000
1603790946842,0.000000,180101
1603790971338,10.000000,185000
1603790971842,0.000000,185101
1603790996337,10.000000,190000
1603790996842,0.000000,190101
1603791021337,10.000000,195000
1603791021843,0.000000,195101
1603791046338,10.000000,200000
1603791046842,0.000000,200101
1603791071337,10.000000,205000
1603791071842,0.000000,205101
1603791096337,10.000000,210000
1603791096842,0.000000,210101
1603791121337,10.000000,215000
1603791121842,0.000000,215101
1603791146337,10.000000,220000
1603791146842,0.000000,220101
1603791171340,10.000000,225000
1603791171845,0.000000,225101
1603791196337,10.000000,230000
1603791196843,0.000000,230101
1603791221337,10.000000,235000
1603791221842,0.000000,235101
1603791246337,10.000000,240000
