Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1603790073756,1603790073039,1,"Was 10.261066 expected a value between 0 and 1.",5000,5000,1603790071821,1603790071821,"10.26106"
1603790073756,1603790073053,2,"Was 10.306046 expected a value between 0 and 1.",5001,5001,1603790071825,1603790071825,"10.30604"
1603790073756,1603790073054,3,"Was 10.306046 expected a value between 0 and 1.",5002,5002,1603790071830,1603790071830,"10.30604"
1603790073756,1603790073057,4,"Was 10.306046 expected a value between 0 and 1.",5003,5003,1603790071835,1603790071835,"10.30604"
1603790073756,1603790073065,5,"Was 10.746445 expected a value between 0 and 1.",5004,5004,1603790071840,1603790071840,"10.74644"
1603790073756,1603790073073,6,"Was 10.746445 expected a value between 0 and 1.",5005,5005,1603790071845,1603790071845,"10.74644"
1603790074038,1603790073085,7,"Was 10.746445 expected a value between 0 and 1.",5006,5006,1603790071850,1603790071850,"10.74644"
1603790074038,1603790073088,8,"Was 10.537653 expected a value between 0 and 1.",5007,5007,1603790071855,1603790071855,"10.53765"
1603790074038,1603790073101,9,"Was 10.455316 expected a value between 0 and 1.",5008,5008,1603790071860,1603790071860,"10.45531"
1603790074038,1603790073110,10,"Was 10.330952 expected a value between 0 and 1.",5009,5009,1603790071865,1603790071865,"10.33095"
1603790074038,1603790073111,11,"Was 10.455316 expected a value between 0 and 1.",5010,5010,1603790071870,1603790071870,"10.45531"
1603790074038,1603790073126,12,"Was 10.455316 expected a value between 0 and 1.",5011,5011,1603790071875,1603790071875,"10.45531"
1603790074038,1603790073127,13,"Was 10.467255 expected a value between 0 and 1.",5012,5012,1603790071880,1603790071880,"10.46725"
1603790074038,1603790073128,14,"Was 10.467255 expected a value between 0 and 1.",5013,5013,1603790071886,1603790071886,"10.46725"
1603790074038,1603790073136,15,"Was 10.572515 expected a value between 0 and 1.",5014,5014,1603790071890,1603790071890,"10.57251"
1603790074038,1603790073137,16,"Was 10.547977 expected a value between 0 and 1.",5015,5015,1603790071895,1603790071895,"10.54797"
1603790074038,1603790073138,17,"Was 10.467255 expected a value between 0 and 1.",5016,5016,1603790071900,1603790071900,"10.46725"
1603790074038,1603790073139,18,"Was 10.463013 expected a value between 0 and 1.",5017,5017,1603790071905,1603790071905,"10.46301"
1603790074038,1603790073141,19,"Was 10.416407 expected a value between 0 and 1.",5018,5018,1603790071910,1603790071910,"10.41640"
1603790074038,1603790073142,20,"Was 10.416407 expected a value between 0 and 1.",5019,5019,1603790071915,1603790071915,"10.41640"
1603790074038,1603790073143,21,"Was 10.416407 expected a value between 0 and 1.",5020,5020,1603790071922,1603790071922,"10.41640"
1603790074038,1603790073144,22,"Was 10.507506 expected a value between 0 and 1.",5021,5021,1603790071926,1603790071926,"10.50750"
1603790074038,1603790073145,23,"Was 10.507506 expected a value between 0 and 1.",5022,5022,1603790071931,1603790071931,"10.50750"
1603790074038,1603790073146,24,"Was 10.520634 expected a value between 0 and 1.",5023,5023,1603790071935,1603790071935,"10.52063"
1603790074038,1603790073147,25,"Was 10.520634 expected a value between 0 and 1.",5024,5024,1603790071940,1603790071940,"10.52063"
1603790074038,1603790073148,26,"Was 10.515108 expected a value between 0 and 1.",5025,5025,1603790071945,1603790071945,"10.51510"
1603790074038,1603790073149,27,"Was 10.685604 expected a value between 0 and 1.",5026,5026,1603790071950,1603790071950,"10.68560"
1603790074038,1603790073150,28,"Was 10.685604 expected a value between 0 and 1.",5027,5027,1603790071955,1603790071955,"10.68560"
1603790074038,1603790073150,29,"Was 10.685604 expected a value between 0 and 1.",5028,5028,1603790071960,1603790071960,"10.68560"
1603790074038,1603790073151,30,"Was 10.515108 expected a value between 0 and 1.",5029,5029,1603790071965,1603790071965,"10.51510"
1603790074038,1603790073152,31,"Was 10.685604 expected a value between 0 and 1.",5030,5030,1603790071971,1603790071971,"10.68560"
1603790074038,1603790073153,32,"Was 10.818535 expected a value between 0 and 1.",5031,5031,1603790071975,1603790071975,"10.81853"
1603790074038,1603790073154,33,"Was 10.818535 expected a value between 0 and 1.",5032,5032,1603790071980,1603790071980,"10.81853"
1603790074038,1603790073155,34,"Was 10.672175 expected a value between 0 and 1.",5033,5033,1603790071985,1603790071985,"10.67217"
1603790074038,1603790073164,35,"Was 10.672175 expected a value between 0 and 1.",5034,5034,1603790071990,1603790071990,"10.67217"
1603790074038,1603790073182,36,"Was 10.672175 expected a value between 0 and 1.",5035,5035,1603790071995,1603790071995,"10.67217"
1603790074038,1603790073185,37,"Was 10.284792 expected a value between 0 and 1.",5036,5036,1603790072000,1603790072000,"10.28479"
1603790074038,1603790073188,38,"Was 10.28333 expected a value between 0 and 1.",5037,5037,1603790072005,1603790072005,"10.2833"
1603790074038,1603790073193,39,"Was 10.284792 expected a value between 0 and 1.",5038,5038,1603790072011,1603790072011,"10.28479"
1603790074038,1603790073194,40,"Was 10.36062 expected a value between 0 and 1.",5039,5039,1603790072015,1603790072015,"10.3606"
1603790074038,1603790073201,41,"Was 10.36062 expected a value between 0 and 1.",5040,5040,1603790072020,1603790072020,"10.3606"
1603790074038,1603790073202,42,"Was 10.53238 expected a value between 0 and 1.",5041,5041,1603790072025,1603790072025,"10.5323"
1603790074038,1603790073203,43,"Was 10.53238 expected a value between 0 and 1.",5042,5042,1603790072030,1603790072030,"10.5323"
1603790074038,1603790073203,44,"Was 10.661171 expected a value between 0 and 1.",5043,5043,1603790072035,1603790072035,"10.66117"
1603790074038,1603790073230,45,"Was 10.53238 expected a value between 0 and 1.",5044,5044,1603790072040,1603790072040,"10.5323"
1603790074038,1603790073231,46,"Was 10.661171 expected a value between 0 and 1.",5045,5045,1603790072045,1603790072045,"10.66117"
1603790074038,1603790073231,47,"Was 10.504437 expected a value between 0 and 1.",5046,5046,1603790072050,1603790072050,"10.50443"
1603790074038,1603790073238,48,"Was 10.640376 expected a value between 0 and 1.",5047,5047,1603790072055,1603790072055,"10.64037"
1603790074038,1603790073239,49,"Was 10.603315 expected a value between 0 and 1.",5048,5048,1603790072060,1603790072060,"10.60331"
1603790074038,1603790073239,50,"Was 10.640376 expected a value between 0 and 1.",5049,5049,1603790072065,1603790072065,"10.64037"
1603790074038,1603790073240,51,"Was 10.640376 expected a value between 0 and 1.",5050,5050,1603790072070,1603790072070,"10.64037"
1603790074038,1603790073241,52,"Was 10.854766 expected a value between 0 and 1.",5051,5051,1603790072076,1603790072076,"10.85476"
1603790074038,1603790073242,53,"Was 10.854766 expected a value between 0 and 1.",5052,5052,1603790072080,1603790072080,"10.85476"
1603790074038,1603790073243,54,"Was 10.854766 expected a value between 0 and 1.",5053,5053,1603790072085,1603790072085,"10.85476"
1603790074038,1603790073282,55,"Was 10.769185 expected a value between 0 and 1.",5054,5054,1603790072090,1603790072090,"10.76918"
1603790074038,1603790073299,56,"Was 10.690687 expected a value between 0 and 1.",5055,5055,1603790072095,1603790072095,"10.69068"
1603790074038,1603790073301,57,"Was 10.690687 expected a value between 0 and 1.",5056,5056,1603790072100,1603790072100,"10.69068"
1603790074038,1603790073302,58,"Was 10.403508 expected a value between 0 and 1.",5057,5057,1603790072105,1603790072105,"10.40350"
1603790074038,1603790073306,59,"Was 10.403508 expected a value between 0 and 1.",5058,5058,1603790072110,1603790072110,"10.40350"
1603790074038,1603790073307,60,"Was 10.558329 expected a value between 0 and 1.",5059,5059,1603790072116,1603790072116,"10.55832"
1603790074038,1603790073307,61,"Was 10.558329 expected a value between 0 and 1.",5060,5060,1603790072120,1603790072120,"10.55832"
1603790074038,1603790073314,62,"Was 10.419097 expected a value between 0 and 1.",5061,5061,1603790072125,1603790072125,"10.41909"
1603790074038,1603790073315,63,"Was 10.558329 expected a value between 0 and 1.",5062,5062,1603790072130,1603790072130,"10.55832"
1603790074038,1603790073317,64,"Was 10.733785 expected a value between 0 and 1.",5063,5063,1603790072135,1603790072135,"10.73378"
1603790074038,1603790073318,65,"Was 10.645602 expected a value between 0 and 1.",5064,5064,1603790072140,1603790072140,"10.64560"
1603790074038,1603790073319,66,"Was 10.723294 expected a value between 0 and 1.",5065,5065,1603790072147,1603790072147,"10.72329"
1603790074038,1603790073320,67,"Was 10.723294 expected a value between 0 and 1.",5066,5066,1603790072150,1603790072150,"10.72329"
1603790074038,1603790073321,68,"Was 10.645602 expected a value between 0 and 1.",5067,5067,1603790072155,1603790072155,"10.64560"
1603790074038,1603790073322,69,"Was 10.645602 expected a value between 0 and 1.",5068,5068,1603790072160,1603790072160,"10.64560"
1603790074038,1603790073323,70,"Was 10.579269 expected a value between 0 and 1.",5069,5069,1603790072165,1603790072165,"10.57926"
1603790074038,1603790073323,71,"Was 10.579269 expected a value between 0 and 1.",5070,5070,1603790072170,1603790072170,"10.57926"
1603790074038,1603790073324,72,"Was 10.688899 expected a value between 0 and 1.",5071,5071,1603790072175,1603790072175,"10.68889"
1603790074038,1603790073325,73,"Was 10.716913 expected a value between 0 and 1.",5072,5072,1603790072180,1603790072180,"10.71691"
1603790074038,1603790073326,74,"Was 10.716913 expected a value between 0 and 1.",5073,5073,1603790072186,1603790072186,"10.71691"
1603790074038,1603790073330,75,"Was 10.716913 expected a value between 0 and 1.",5074,5074,1603790072190,1603790072190,"10.71691"
1603790074038,1603790073331,76,"Was 10.716913 expected a value between 0 and 1.",5075,5075,1603790072195,1603790072195,"10.71691"
1603790074038,1603790073332,77,"Was 10.716913 expected a value between 0 and 1.",5076,5076,1603790072200,1603790072200,"10.71691"
1603790074038,1603790073333,78,"Was 10.373139 expected a value between 0 and 1.",5077,5077,1603790072205,1603790072205,"10.37313"
1603790074038,1603790073334,79,"Was 10.373139 expected a value between 0 and 1.",5078,5078,1603790072210,1603790072210,"10.37313"
1603790074038,1603790073335,80,"Was 10.373139 expected a value between 0 and 1.",5079,5079,1603790072215,1603790072215,"10.37313"
1603790074038,1603790073336,81,"Was 10.298771 expected a value between 0 and 1.",5080,5080,1603790072220,1603790072220,"10.29877"
