timestamp,value,producedElements
1602276271139,10.000000,5000
1602276271643,0.000000,5101
1602276296139,10.000000,10000
1602276296643,0.000000,10101
1602276321139,10.000000,15000
1602276321643,0.000000,15101
1602276346139,10.000000,20000
1602276346643,0.000000,20101
1602276371138,10.000000,25000
1602276371643,0.000000,25101
1602276396139,10.000000,30000
1602276396643,0.000000,30101
1602276421139,10.000000,35000
1602276421643,0.000000,35101
1602276446138,10.000000,40000
1602276446643,0.000000,40101
1602276471141,10.000000,45000
1602276471643,0.000000,45101
1602276496138,10.000000,50000
1602276496643,0.000000,50101
1602276521140,10.000000,55000
1602276521643,0.000000,55101
1602276546138,10.000000,60000
1602276546643,0.000000,60101
1602276571138,10.000000,65000
1602276571643,0.000000,65101
1602276596139,10.000000,70000
1602276596643,0.000000,70101
1602276621139,10.000000,75000
1602276621643,0.000000,75101
1602276646139,10.000000,80000
1602276646644,0.000000,80101
1602276671138,10.000000,85000
1602276671643,0.000000,85101
1602276696139,10.000000,90000
1602276696643,0.000000,90101
1602276721140,10.000000,95000
1602276721643,0.000000,95101
1602276746138,10.000000,100000
1602276746643,0.000000,100101
