Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1602276278362,1602276275953,0,"Was 10.059032 expected a value between 0 and 1.",5000,5000,1602276271143,1602276271143,"10.05903"
1602276278591,1602276277033,1,"Was 10.21 expected a value between 0 and 1.",5001,5001,1602276271148,1602276271148,"10.2"
1602276278591,1602276277074,2,"Was 10.21 expected a value between 0 and 1.",5002,5002,1602276271154,1602276271154,"10.2"
1602276278591,1602276277160,3,"Was 10.21 expected a value between 0 and 1.",5003,5003,1602276271160,1602276271160,"10.2"
1602276278591,1602276277196,4,"Was 10.322393 expected a value between 0 and 1.",5004,5004,1602276271165,1602276271165,"10.32239"
1602276278591,1602276277213,5,"Was 10.322393 expected a value between 0 and 1.",5005,5005,1602276271168,1602276271168,"10.32239"
1602276278591,1602276277267,6,"Was 10.322393 expected a value between 0 and 1.",5006,5006,1602276271173,1602276271173,"10.32239"
1602276278591,1602276277494,7,"Was 10.510882 expected a value between 0 and 1.",5007,5007,1602276271180,1602276271180,"10.51088"
1602276278591,1602276277508,8,"Was 10.544452 expected a value between 0 and 1.",5008,5008,1602276271183,1602276271183,"10.54445"
1602276278591,1602276277548,9,"Was 10.544452 expected a value between 0 and 1.",5009,5009,1602276271188,1602276271188,"10.54445"
1602276278591,1602276277628,10,"Was 10.63332 expected a value between 0 and 1.",5010,5010,1602276271193,1602276271193,"10.6333"
1602276278591,1602276277761,11,"Was 10.544452 expected a value between 0 and 1.",5011,5011,1602276271198,1602276271198,"10.54445"
1602276278591,1602276277776,12,"Was 10.63332 expected a value between 0 and 1.",5012,5012,1602276271203,1602276271203,"10.6333"
1602276278591,1602276277835,13,"Was 10.63332 expected a value between 0 and 1.",5013,5013,1602276271210,1602276271210,"10.6333"
1602276278591,1602276277920,14,"Was 10.63332 expected a value between 0 and 1.",5014,5014,1602276271213,1602276271213,"10.6333"
1602276278591,1602276277994,15,"Was 10.4423065 expected a value between 0 and 1.",5015,5015,1602276271218,1602276271218,"10.442306"
1602276278591,1602276278043,16,"Was 10.6717615 expected a value between 0 and 1.",5016,5016,1602276271225,1602276271225,"10.671761"
