Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1603790071881,1603790071293,1,"Was 10.297946 expected a value between 0 and 1.",5000,5000,1603790070505,1603790070505,"10.29794"
1603790071881,1603790071304,2,"Was 10.641592 expected a value between 0 and 1.",5001,5001,1603790070509,1603790070509,"10.64159"
1603790071881,1603790071329,3,"Was 10.641592 expected a value between 0 and 1.",5002,5002,1603790070514,1603790070514,"10.64159"
1603790071881,1603790071387,4,"Was 10.781371 expected a value between 0 and 1.",5003,5003,1603790070520,1603790070520,"10.78137"
1603790071881,1603790071393,5,"Was 10.781371 expected a value between 0 and 1.",5004,5004,1603790070525,1603790070525,"10.78137"
1603790071881,1603790071398,6,"Was 10.781371 expected a value between 0 and 1.",5005,5005,1603790070530,1603790070530,"10.78137"
1603790071881,1603790071400,7,"Was 10.868262 expected a value between 0 and 1.",5006,5006,1603790070534,1603790070534,"10.86826"
1603790071881,1603790071404,8,"Was 10.454079 expected a value between 0 and 1.",5007,5007,1603790070539,1603790070539,"10.45407"
1603790071881,1603790071405,9,"Was 10.299955 expected a value between 0 and 1.",5008,5008,1603790070545,1603790070545,"10.29995"
1603790071881,1603790071406,10,"Was 10.111547 expected a value between 0 and 1.",5009,5009,1603790070549,1603790070549,"10.11154"
1603790071881,1603790071407,11,"Was 10.111547 expected a value between 0 and 1.",5010,5010,1603790070554,1603790070554,"10.11154"
1603790071881,1603790071411,12,"Was 10.111547 expected a value between 0 and 1.",5011,5011,1603790070559,1603790070559,"10.11154"
1603790071881,1603790071413,13,"Was 10.132038 expected a value between 0 and 1.",5012,5012,1603790070564,1603790070564,"10.13203"
1603790071881,1603790071417,14,"Was 10.272772 expected a value between 0 and 1.",5013,5013,1603790070570,1603790070570,"10.27277"
1603790071881,1603790071443,15,"Was 10.596646 expected a value between 0 and 1.",5014,5014,1603790070574,1603790070574,"10.59664"
1603790071881,1603790071449,16,"Was 10.596646 expected a value between 0 and 1.",5015,5015,1603790070579,1603790070579,"10.59664"
1603790071881,1603790071453,17,"Was 10.623943 expected a value between 0 and 1.",5016,5016,1603790070584,1603790070584,"10.62394"
1603790071881,1603790071454,18,"Was 10.623943 expected a value between 0 and 1.",5017,5017,1603790070593,1603790070593,"10.62394"
1603790071881,1603790071459,19,"Was 10.623943 expected a value between 0 and 1.",5018,5018,1603790070595,1603790070595,"10.62394"
1603790071881,1603790071462,20,"Was 10.623943 expected a value between 0 and 1.",5019,5019,1603790070602,1603790070602,"10.62394"
1603790071881,1603790071476,21,"Was 10.759886 expected a value between 0 and 1.",5020,5020,1603790070604,1603790070604,"10.75988"
1603790071881,1603790071480,22,"Was 10.310061 expected a value between 0 and 1.",5021,5021,1603790070611,1603790070611,"10.31006"
1603790071881,1603790071482,23,"Was 10.358953 expected a value between 0 and 1.",5022,5022,1603790070614,1603790070614,"10.35895"
1603790071881,1603790071485,24,"Was 10.358953 expected a value between 0 and 1.",5023,5023,1603790070619,1603790070619,"10.35895"
1603790071881,1603790071493,25,"Was 10.387774 expected a value between 0 and 1.",5024,5024,1603790070625,1603790070625,"10.38777"
1603790071881,1603790071495,26,"Was 10.387774 expected a value between 0 and 1.",5025,5025,1603790070630,1603790070630,"10.38777"
1603790071881,1603790071497,27,"Was 10.387774 expected a value between 0 and 1.",5026,5026,1603790070635,1603790070635,"10.38777"
1603790071881,1603790071506,28,"Was 10.81275 expected a value between 0 and 1.",5027,5027,1603790070641,1603790070641,"10.8127"
1603790071881,1603790071507,29,"Was 10.81275 expected a value between 0 and 1.",5028,5028,1603790070644,1603790070644,"10.8127"
1603790071881,1603790071508,30,"Was 10.81275 expected a value between 0 and 1.",5029,5029,1603790070649,1603790070649,"10.8127"
1603790071907,1603790071512,31,"Was 10.622308 expected a value between 0 and 1.",5030,5030,1603790070657,1603790070657,"10.62230"
1603790071907,1603790071513,32,"Was 10.622308 expected a value between 0 and 1.",5031,5031,1603790070661,1603790070661,"10.62230"
1603790071907,1603790071516,33,"Was 10.599934 expected a value between 0 and 1.",5032,5032,1603790070664,1603790070664,"10.59993"
1603790071907,1603790071517,34,"Was 10.599934 expected a value between 0 and 1.",5033,5033,1603790070669,1603790070669,"10.59993"
1603790071907,1603790071517,35,"Was 10.622308 expected a value between 0 and 1.",5034,5034,1603790070677,1603790070677,"10.62230"
1603790071907,1603790071518,36,"Was 10.599934 expected a value between 0 and 1.",5035,5035,1603790070679,1603790070679,"10.59993"
1603790071907,1603790071519,37,"Was 10.260933 expected a value between 0 and 1.",5036,5036,1603790070684,1603790070684,"10.26093"
1603790071907,1603790071534,38,"Was 10.260933 expected a value between 0 and 1.",5037,5037,1603790070693,1603790070693,"10.26093"
1603790072067,1603790071608,39,"Was 10.260933 expected a value between 0 and 1.",5038,5038,1603790070694,1603790070694,"10.26093"
1603790072067,1603790071618,40,"Was 10.260933 expected a value between 0 and 1.",5039,5039,1603790070699,1603790070699,"10.26093"
1603790072067,1603790071618,41,"Was 10.404764 expected a value between 0 and 1.",5040,5040,1603790070704,1603790070704,"10.40476"
1603790072067,1603790071627,42,"Was 10.883036 expected a value between 0 and 1.",5041,5041,1603790070710,1603790070710,"10.88303"
1603790072067,1603790071639,43,"Was 10.899507 expected a value between 0 and 1.",5042,5042,1603790070717,1603790070717,"10.89950"
1603790072067,1603790071639,44,"Was 10.899507 expected a value between 0 and 1.",5043,5043,1603790070719,1603790070719,"10.89950"
1603790072067,1603790071640,45,"Was 10.883036 expected a value between 0 and 1.",5044,5044,1603790070724,1603790070724,"10.88303"
1603790072067,1603790071641,46,"Was 10.786872 expected a value between 0 and 1.",5045,5045,1603790070729,1603790070729,"10.78687"
1603790072067,1603790071655,47,"Was 10.633717 expected a value between 0 and 1.",5046,5046,1603790070739,1603790070739,"10.63371"
1603790072067,1603790071655,48,"Was 10.633717 expected a value between 0 and 1.",5047,5047,1603790070740,1603790070740,"10.63371"
1603790072067,1603790071656,49,"Was 10.590824 expected a value between 0 and 1.",5048,5048,1603790070744,1603790070744,"10.59082"
1603790072067,1603790071657,50,"Was 10.633717 expected a value between 0 and 1.",5049,5049,1603790070749,1603790070749,"10.63371"
1603790072067,1603790071657,51,"Was 10.633717 expected a value between 0 and 1.",5050,5050,1603790070754,1603790070754,"10.63371"
1603790072067,1603790071658,52,"Was 10.898727 expected a value between 0 and 1.",5051,5051,1603790070759,1603790070759,"10.89872"
1603790072067,1603790071659,53,"Was 10.615789 expected a value between 0 and 1.",5052,5052,1603790070764,1603790070764,"10.61578"
1603790072067,1603790071699,54,"Was 10.615789 expected a value between 0 and 1.",5053,5053,1603790070769,1603790070769,"10.61578"
1603790072067,1603790071707,55,"Was 10.615789 expected a value between 0 and 1.",5054,5054,1603790070774,1603790070774,"10.61578"
1603790072067,1603790071708,56,"Was 10.615789 expected a value between 0 and 1.",5055,5055,1603790070780,1603790070780,"10.61578"
1603790072067,1603790071709,57,"Was 10.466804 expected a value between 0 and 1.",5056,5056,1603790070784,1603790070784,"10.46680"
1603790072067,1603790071710,58,"Was 10.41865 expected a value between 0 and 1.",5057,5057,1603790070790,1603790070790,"10.4186"
1603790072067,1603790071710,59,"Was 10.3635 expected a value between 0 and 1.",5058,5058,1603790070794,1603790070794,"10.363"
1603790072067,1603790071729,60,"Was 10.3508 expected a value between 0 and 1.",5059,5059,1603790070799,1603790070799,"10.350"
1603790072067,1603790071730,61,"Was 10.3508 expected a value between 0 and 1.",5060,5060,1603790070804,1603790070804,"10.350"
1603790072067,1603790071731,62,"Was 10.271062 expected a value between 0 and 1.",5061,5061,1603790070810,1603790070810,"10.27106"
1603790072067,1603790071736,63,"Was 10.131019 expected a value between 0 and 1.",5062,5062,1603790070819,1603790070819,"10.13101"
1603790072067,1603790071737,64,"Was 10.271062 expected a value between 0 and 1.",5063,5063,1603790070819,1603790070819,"10.27106"
1603790072067,1603790071737,65,"Was 10.50118 expected a value between 0 and 1.",5064,5064,1603790070824,1603790070824,"10.5011"
1603790072067,1603790071738,66,"Was 10.620538 expected a value between 0 and 1.",5065,5065,1603790070829,1603790070829,"10.62053"
1603790072067,1603790071739,67,"Was 10.620538 expected a value between 0 and 1.",5066,5066,1603790070834,1603790070834,"10.62053"
1603790072067,1603790071740,68,"Was 10.620538 expected a value between 0 and 1.",5067,5067,1603790070839,1603790070839,"10.62053"
1603790072067,1603790071740,69,"Was 10.233734 expected a value between 0 and 1.",5068,5068,1603790070844,1603790070844,"10.23373"
1603790072067,1603790071741,70,"Was 10.233734 expected a value between 0 and 1.",5069,5069,1603790070851,1603790070851,"10.23373"
1603790072067,1603790071741,71,"Was 10.233734 expected a value between 0 and 1.",5070,5070,1603790070860,1603790070860,"10.23373"
1603790072067,1603790071742,72,"Was 10.4015255 expected a value between 0 and 1.",5071,5071,1603790070860,1603790070860,"10.401525"
1603790072067,1603790071743,73,"Was 10.409698 expected a value between 0 and 1.",5072,5072,1603790070864,1603790070864,"10.40969"
1603790072067,1603790071744,74,"Was 10.409698 expected a value between 0 and 1.",5073,5073,1603790070869,1603790070869,"10.40969"
1603790072067,1603790071744,75,"Was 10.42138 expected a value between 0 and 1.",5074,5074,1603790070874,1603790070874,"10.4213"
1603790072067,1603790071745,76,"Was 10.517337 expected a value between 0 and 1.",5075,5075,1603790070879,1603790070879,"10.51733"
1603790072067,1603790071746,77,"Was 10.409698 expected a value between 0 and 1.",5076,5076,1603790070884,1603790070884,"10.40969"
