Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1602276280551,1602276279950,0,"Was 10.1733675 expected a value between 0 and 1.",5000,5000,1602276272758,1602276272758,"10.173367"
1602276280565,1602276280135,1,"Was 10.283453 expected a value between 0 and 1.",5001,5001,1602276272764,1602276272764,"10.28345"
1602276280565,1602276280161,2,"Was 10.347125 expected a value between 0 and 1.",5002,5002,1602276272764,1602276272764,"10.34712"
1602276280565,1602276280194,3,"Was 10.347125 expected a value between 0 and 1.",5003,5003,1602276272768,1602276272768,"10.34712"
1602276280584,1602276280266,4,"Was 10.347125 expected a value between 0 and 1.",5004,5004,1602276272768,1602276272768,"10.34712"
1602276280584,1602276280335,5,"Was 10.347125 expected a value between 0 and 1.",5005,5005,1602276272769,1602276272769,"10.34712"
1602276280584,1602276280377,6,"Was 10.347125 expected a value between 0 and 1.",5006,5006,1602276272771,1602276272771,"10.34712"
1602276280603,1602276280561,7,"Was 10.518355 expected a value between 0 and 1.",5007,5007,1602276272776,1602276272776,"10.51835"
1602276280615,1602276280588,8,"Was 10.619732 expected a value between 0 and 1.",5008,5008,1602276272781,1602276272781,"10.61973"
1602276280644,1602276280600,9,"Was 10.730877 expected a value between 0 and 1.",5009,5009,1602276272790,1602276272790,"10.73087"
1602276280664,1602276280611,10,"Was 10.619732 expected a value between 0 and 1.",5010,5010,1602276272791,1602276272791,"10.61973"
1602276280685,1602276280629,11,"Was 10.730877 expected a value between 0 and 1.",5011,5011,1602276272797,1602276272797,"10.73087"
1602276280685,1602276280632,12,"Was 10.619732 expected a value between 0 and 1.",5012,5012,1602276272801,1602276272801,"10.61973"
1602276281010,1602276280661,13,"Was 10.38015 expected a value between 0 and 1.",5013,5013,1602276272806,1602276272806,"10.3801"
1602276281010,1602276280678,14,"Was 10.38015 expected a value between 0 and 1.",5014,5014,1602276272811,1602276272811,"10.3801"
1602276281010,1602276280756,15,"Was 10.38015 expected a value between 0 and 1.",5015,5015,1602276272816,1602276272816,"10.3801"
1602276281010,1602276280768,16,"Was 10.104207 expected a value between 0 and 1.",5016,5016,1602276272821,1602276272821,"10.10420"
1602276281010,1602276280792,17,"Was 10.38015 expected a value between 0 and 1.",5017,5017,1602276272826,1602276272826,"10.3801"
1602276281010,1602276280803,18,"Was 10.560062 expected a value between 0 and 1.",5018,5018,1602276272832,1602276272832,"10.56006"
1602276281035,1602276280891,19,"Was 10.604844 expected a value between 0 and 1.",5019,5019,1602276272836,1602276272836,"10.60484"
1602276281035,1602276280939,20,"Was 10.604844 expected a value between 0 and 1.",5020,5020,1602276272841,1602276272841,"10.60484"
1602276281976,1602276281853,21,"Was 10.671348 expected a value between 0 and 1.",5021,5021,1602276272846,1602276272846,"10.67134"
1602276282116,1602276281972,22,"Was 10.671348 expected a value between 0 and 1.",5022,5022,1602276272852,1602276272852,"10.67134"
1602276282170,1602276282103,23,"Was 10.26038 expected a value between 0 and 1.",5023,5023,1602276272861,1602276272861,"10.2603"
1602276282186,1602276282128,24,"Was 10.26038 expected a value between 0 and 1.",5024,5024,1602276272861,1602276272861,"10.2603"
1602276282200,1602276282174,25,"Was 10.712338 expected a value between 0 and 1.",5025,5025,1602276272866,1602276272866,"10.71233"
1602276282256,1602276282195,26,"Was 10.712338 expected a value between 0 and 1.",5026,5026,1602276272871,1602276272871,"10.71233"
1602276282289,1602276282215,27,"Was 10.744047 expected a value between 0 and 1.",5027,5027,1602276272876,1602276272876,"10.74404"
1602276282325,1602276282270,28,"Was 10.744047 expected a value between 0 and 1.",5028,5028,1602276272881,1602276272881,"10.74404"
1602276282325,1602276282281,29,"Was 10.744047 expected a value between 0 and 1.",5029,5029,1602276272886,1602276272886,"10.74404"
1602276282340,1602276282293,30,"Was 10.744047 expected a value between 0 and 1.",5030,5030,1602276272891,1602276272891,"10.74404"
1602276282340,1602276282298,31,"Was 10.744047 expected a value between 0 and 1.",5031,5031,1602276272896,1602276272896,"10.74404"
1602276282340,1602276282306,32,"Was 10.945596 expected a value between 0 and 1.",5032,5032,1602276272906,1602276272906,"10.94559"
1602276282360,1602276282310,33,"Was 10.945596 expected a value between 0 and 1.",5033,5033,1602276272906,1602276272906,"10.94559"
1602276282360,1602276282315,34,"Was 10.700648 expected a value between 0 and 1.",5034,5034,1602276272911,1602276272911,"10.70064"
1602276282373,1602276282327,35,"Was 10.628503 expected a value between 0 and 1.",5035,5035,1602276272916,1602276272916,"10.62850"
1602276282625,1602276282340,36,"Was 10.628503 expected a value between 0 and 1.",5036,5036,1602276272921,1602276272921,"10.62850"
1602276282703,1602276282352,37,"Was 10.552575 expected a value between 0 and 1.",5037,5037,1602276272927,1602276272927,"10.55257"
1602276282703,1602276282368,38,"Was 10.419975 expected a value between 0 and 1.",5038,5038,1602276272931,1602276272931,"10.41997"
1602276282703,1602276282399,39,"Was 10.419975 expected a value between 0 and 1.",5039,5039,1602276272936,1602276272936,"10.41997"
1602276282703,1602276282420,40,"Was 10.269913 expected a value between 0 and 1.",5040,5040,1602276272941,1602276272941,"10.26991"
1602276282703,1602276282431,41,"Was 10.269913 expected a value between 0 and 1.",5041,5041,1602276272946,1602276272946,"10.26991"
1602276282703,1602276282458,42,"Was 10.545001 expected a value between 0 and 1.",5042,5042,1602276272951,1602276272951,"10.54500"
1602276282703,1602276282474,43,"Was 10.545001 expected a value between 0 and 1.",5043,5043,1602276272956,1602276272956,"10.54500"
1602276282703,1602276282480,44,"Was 10.121455 expected a value between 0 and 1.",5044,5044,1602276272961,1602276272961,"10.12145"
1602276282703,1602276282486,45,"Was 10.545001 expected a value between 0 and 1.",5045,5045,1602276272966,1602276272966,"10.54500"
1602276282703,1602276282489,46,"Was 10.121455 expected a value between 0 and 1.",5046,5046,1602276272971,1602276272971,"10.12145"
1602276282703,1602276282515,47,"Was 10.121455 expected a value between 0 and 1.",5047,5047,1602276272976,1602276272976,"10.12145"
1602276282703,1602276282532,48,"Was 10.230117 expected a value between 0 and 1.",5048,5048,1602276272981,1602276272981,"10.23011"
1602276282703,1602276282541,49,"Was 10.39761 expected a value between 0 and 1.",5049,5049,1602276272989,1602276272989,"10.3976"
1602276282703,1602276282549,50,"Was 10.230117 expected a value between 0 and 1.",5050,5050,1602276272991,1602276272991,"10.23011"
1602276282703,1602276282558,51,"Was 10.261781 expected a value between 0 and 1.",5051,5051,1602276272997,1602276272997,"10.26178"
1602276282703,1602276282564,52,"Was 10.261781 expected a value between 0 and 1.",5052,5052,1602276273002,1602276273002,"10.26178"
1602276282703,1602276282576,53,"Was 10.479786 expected a value between 0 and 1.",5053,5053,1602276273006,1602276273006,"10.47978"
1602276282703,1602276282585,54,"Was 10.261781 expected a value between 0 and 1.",5054,5054,1602276273014,1602276273014,"10.26178"
1602276282703,1602276282599,55,"Was 10.706149 expected a value between 0 and 1.",5055,5055,1602276273022,1602276273022,"10.70614"
1602276282719,1602276282613,56,"Was 10.706149 expected a value between 0 and 1.",5056,5056,1602276273022,1602276273022,"10.70614"
1602276282719,1602276282624,57,"Was 10.488172 expected a value between 0 and 1.",5057,5057,1602276273026,1602276273026,"10.48817"
1602276282719,1602276282634,58,"Was 10.488172 expected a value between 0 and 1.",5058,5058,1602276273031,1602276273031,"10.48817"
1602276282719,1602276282647,59,"Was 10.566116 expected a value between 0 and 1.",5059,5059,1602276273037,1602276273037,"10.56611"
1602276283121,1602276282655,60,"Was 10.566116 expected a value between 0 and 1.",5060,5060,1602276273041,1602276273041,"10.56611"
1602276283121,1602276282668,61,"Was 10.566116 expected a value between 0 and 1.",5061,5061,1602276273047,1602276273047,"10.56611"
1602276283195,1602276282675,62,"Was 10.566116 expected a value between 0 and 1.",5062,5062,1602276273051,1602276273051,"10.56611"
1602276283195,1602276282689,63,"Was 10.577271 expected a value between 0 and 1.",5063,5063,1602276273060,1602276273060,"10.57727"
1602276283195,1602276282694,64,"Was 10.549713 expected a value between 0 and 1.",5064,5064,1602276273061,1602276273061,"10.54971"
1602276283195,1602276282710,65,"Was 10.549713 expected a value between 0 and 1.",5065,5065,1602276273066,1602276273066,"10.54971"
1602276283195,1602276282715,66,"Was 10.4664545 expected a value between 0 and 1.",5066,5066,1602276273073,1602276273073,"10.466454"
1602276283195,1602276282719,67,"Was 10.4664545 expected a value between 0 and 1.",5067,5067,1602276273077,1602276273077,"10.466454"
1602276283195,1602276282728,68,"Was 10.4664545 expected a value between 0 and 1.",5068,5068,1602276273081,1602276273081,"10.466454"
1602276283195,1602276282741,69,"Was 10.4664545 expected a value between 0 and 1.",5069,5069,1602276273086,1602276273086,"10.466454"
1602276283195,1602276282744,70,"Was 10.4664545 expected a value between 0 and 1.",5070,5070,1602276273092,1602276273092,"10.466454"
1602276283195,1602276282755,71,"Was 10.411309 expected a value between 0 and 1.",5071,5071,1602276273104,1602276273104,"10.41130"
1602276283195,1602276282759,72,"Was 10.102098 expected a value between 0 and 1.",5072,5072,1602276273105,1602276273105,"10.10209"
1602276283195,1602276282763,73,"Was 10.0867405 expected a value between 0 and 1.",5073,5073,1602276273109,1602276273109,"10.086740"
1602276283195,1602276282791,74,"Was 10.0398 expected a value between 0 and 1.",5074,5074,1602276273111,1602276273111,"10.039"
1602276283195,1602276282801,75,"Was 10.0398 expected a value between 0 and 1.",5075,5075,1602276273120,1602276273120,"10.039"
1602276283195,1602276282806,76,"Was 10.0867405 expected a value between 0 and 1.",5076,5076,1602276273121,1602276273121,"10.086740"
1602276283195,1602276282810,77,"Was 10.099312 expected a value between 0 and 1.",5077,5077,1602276273126,1602276273126,"10.09931"
1602276283195,1602276282818,78,"Was 10.311119 expected a value between 0 and 1.",5078,5078,1602276273132,1602276273132,"10.31111"
1602276283195,1602276282826,79,"Was 10.542026 expected a value between 0 and 1.",5079,5079,1602276273137,1602276273137,"10.54202"
1602276283195,1602276282828,80,"Was 10.542026 expected a value between 0 and 1.",5080,5080,1602276273141,1602276273141,"10.54202"
1602276283195,1602276282833,81,"Was 10.317087 expected a value between 0 and 1.",5081,5081,1602276273146,1602276273146,"10.31708"
1602276283195,1602276282836,82,"Was 10.317087 expected a value between 0 and 1.",5082,5082,1602276273151,1602276273151,"10.31708"
1602276283195,1602276282841,83,"Was 10.321529 expected a value between 0 and 1.",5083,5083,1602276273157,1602276273157,"10.32152"
1602276283195,1602276282944,84,"Was 10.321529 expected a value between 0 and 1.",5084,5084,1602276273161,1602276273161,"10.32152"
1602276283195,1602276282973,85,"Was 10.321529 expected a value between 0 and 1.",5085,5085,1602276273166,1602276273166,"10.32152"
1602276283195,1602276282980,86,"Was 10.321529 expected a value between 0 and 1.",5086,5086,1602276273173,1602276273173,"10.32152"
1602276283195,1602276282997,87,"Was 10.306289 expected a value between 0 and 1.",5087,5087,1602276273176,1602276273176,"10.30628"
1602276283195,1602276283020,88,"Was 10.306289 expected a value between 0 and 1.",5088,5088,1602276273181,1602276273181,"10.30628"
1602276283195,1602276283027,89,"Was 10.235904 expected a value between 0 and 1.",5089,5089,1602276273186,1602276273186,"10.23590"
1602276283195,1602276283041,90,"Was 10.306289 expected a value between 0 and 1.",5090,5090,1602276273192,1602276273192,"10.30628"
1602276283195,1602276283049,91,"Was 10.3065605 expected a value between 0 and 1.",5091,5091,1602276273197,1602276273197,"10.306560"
1602276283195,1602276283057,92,"Was 10.482991 expected a value between 0 and 1.",5092,5092,1602276273206,1602276273206,"10.48299"
1602276283195,1602276283081,93,"Was 10.482991 expected a value between 0 and 1.",5093,5093,1602276273206,1602276273206,"10.48299"
1602276283195,1602276283089,94,"Was 10.566206 expected a value between 0 and 1.",5094,5094,1602276273212,1602276273212,"10.56620"
1602276283195,1602276283104,95,"Was 10.566206 expected a value between 0 and 1.",5095,5095,1602276273217,1602276273217,"10.56620"
1602276283208,1602276283112,96,"Was 10.672849 expected a value between 0 and 1.",5096,5096,1602276273221,1602276273221,"10.67284"
1602276283208,1602276283121,97,"Was 10.672849 expected a value between 0 and 1.",5097,5097,1602276273242,1602276273242,"10.67284"
1602276283208,1602276283129,98,"Was 10.726552 expected a value between 0 and 1.",5098,5098,1602276273242,1602276273242,"10.72655"
1602276283208,1602276283150,99,"Was 10.726552 expected a value between 0 and 1.",5099,5099,1602276273242,1602276273242,"10.72655"
1602276283507,1602276283278,100,"Was 10.726552 expected a value between 0 and 1.",5100,5100,1602276273242,1602276273242,"10.72655"
1602276298109,1602276298072,101,"Was 10.310608 expected a value between 0 and 1.",10000,10000,1602276297741,1602276297741,"10.31060"
1602276298120,1602276298080,102,"Was 10.310608 expected a value between 0 and 1.",10001,10001,1602276297752,1602276297752,"10.31060"
1602276298131,1602276298085,103,"Was 10.417745 expected a value between 0 and 1.",10002,10002,1602276297752,1602276297752,"10.41774"
1602276298131,1602276298089,104,"Was 10.743403 expected a value between 0 and 1.",10003,10003,1602276297756,1602276297756,"10.74340"
1602276298146,1602276298096,105,"Was 10.417745 expected a value between 0 and 1.",10004,10004,1602276297761,1602276297761,"10.41774"
1602276298146,1602276298101,106,"Was 10.417745 expected a value between 0 and 1.",10005,10005,1602276297766,1602276297766,"10.41774"
1602276298162,1602276298124,107,"Was 10.417745 expected a value between 0 and 1.",10006,10006,1602276297771,1602276297771,"10.41774"
1602276298172,1602276298136,108,"Was 10.567592 expected a value between 0 and 1.",10007,10007,1602276297776,1602276297776,"10.56759"
1602276298426,1602276298173,109,"Was 10.185051 expected a value between 0 and 1.",10008,10008,1602276297781,1602276297781,"10.18505"
1602276298439,1602276298179,110,"Was 10.567592 expected a value between 0 and 1.",10009,10009,1602276297786,1602276297786,"10.56759"
1602276298439,1602276298184,111,"Was 10.349975 expected a value between 0 and 1.",10010,10010,1602276297791,1602276297791,"10.34997"
1602276298505,1602276298190,112,"Was 10.585614 expected a value between 0 and 1.",10011,10011,1602276297796,1602276297796,"10.58561"
1602276298505,1602276298193,113,"Was 10.349975 expected a value between 0 and 1.",10012,10012,1602276297801,1602276297801,"10.34997"
1602276298505,1602276298228,114,"Was 10.349975 expected a value between 0 and 1.",10013,10013,1602276297806,1602276297806,"10.34997"
1602276298505,1602276298233,115,"Was 10.349975 expected a value between 0 and 1.",10014,10014,1602276297811,1602276297811,"10.34997"
1602276298505,1602276298236,116,"Was 10.425351 expected a value between 0 and 1.",10015,10015,1602276297822,1602276297822,"10.42535"
1602276298505,1602276298239,117,"Was 10.318362 expected a value between 0 and 1.",10016,10016,1602276297822,1602276297822,"10.31836"
1602276298505,1602276298257,118,"Was 10.389078 expected a value between 0 and 1.",10017,10017,1602276297826,1602276297826,"10.38907"
1602276298505,1602276298304,119,"Was 10.425351 expected a value between 0 and 1.",10018,10018,1602276297831,1602276297831,"10.42535"
1602276298505,1602276298327,120,"Was 10.389078 expected a value between 0 and 1.",10019,10019,1602276297836,1602276297836,"10.38907"
1602276298505,1602276298333,121,"Was 10.389078 expected a value between 0 and 1.",10020,10020,1602276297842,1602276297842,"10.38907"
1602276298505,1602276298349,122,"Was 10.560875 expected a value between 0 and 1.",10021,10021,1602276297846,1602276297846,"10.56087"
1602276298505,1602276298369,123,"Was 10.563509 expected a value between 0 and 1.",10022,10022,1602276297852,1602276297852,"10.56350"
1602276298505,1602276298379,124,"Was 10.560875 expected a value between 0 and 1.",10023,10023,1602276297856,1602276297856,"10.56087"
1602276298505,1602276298386,125,"Was 10.560875 expected a value between 0 and 1.",10024,10024,1602276297862,1602276297862,"10.56087"
1602276298505,1602276298397,126,"Was 10.539184 expected a value between 0 and 1.",10025,10025,1602276297866,1602276297866,"10.53918"
1602276298505,1602276298402,127,"Was 10.5066 expected a value between 0 and 1.",10026,10026,1602276297872,1602276297872,"10.506"
1602276298505,1602276298404,128,"Was 10.4361 expected a value between 0 and 1.",10027,10027,1602276297876,1602276297876,"10.436"
1602276298505,1602276298407,129,"Was 10.5066 expected a value between 0 and 1.",10028,10028,1602276297881,1602276297881,"10.506"
1602276298505,1602276298409,130,"Was 10.537145 expected a value between 0 and 1.",10029,10029,1602276297888,1602276297888,"10.53714"
1602276298547,1602276298410,131,"Was 10.537145 expected a value between 0 and 1.",10030,10030,1602276297892,1602276297892,"10.53714"
1602276298547,1602276298413,132,"Was 10.537145 expected a value between 0 and 1.",10031,10031,1602276297896,1602276297896,"10.53714"
1602276298547,1602276298415,133,"Was 10.606522 expected a value between 0 and 1.",10032,10032,1602276297901,1602276297901,"10.60652"
1602276298547,1602276298417,134,"Was 10.537145 expected a value between 0 and 1.",10033,10033,1602276297906,1602276297906,"10.53714"
1602276298547,1602276298419,135,"Was 10.456869 expected a value between 0 and 1.",10034,10034,1602276297911,1602276297911,"10.45686"
1602276298547,1602276298420,136,"Was 10.182097 expected a value between 0 and 1.",10035,10035,1602276297916,1602276297916,"10.18209"
