Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1603790073678,1603790072728,1,"Was 10.743734 expected a value between 0 and 1.",5000,5000,1603790072154,1603790072154,"10.74373"
1603790073678,1603790072730,2,"Was 10.922098 expected a value between 0 and 1.",5001,5001,1603790072159,1603790072159,"10.92209"
1603790073678,1603790072731,3,"Was 10.750627 expected a value between 0 and 1.",5002,5002,1603790072164,1603790072164,"10.75062"
1603790073678,1603790072733,4,"Was 10.750627 expected a value between 0 and 1.",5003,5003,1603790072172,1603790072172,"10.75062"
1603790073678,1603790072734,5,"Was 10.750627 expected a value between 0 and 1.",5004,5004,1603790072177,1603790072177,"10.75062"
1603790073678,1603790072735,6,"Was 10.750627 expected a value between 0 and 1.",5005,5005,1603790072179,1603790072179,"10.75062"
1603790073678,1603790072736,7,"Was 10.321103 expected a value between 0 and 1.",5006,5006,1603790072184,1603790072184,"10.32110"
1603790073678,1603790072738,8,"Was 10.277557 expected a value between 0 and 1.",5007,5007,1603790072189,1603790072189,"10.27755"
1603790073678,1603790072739,9,"Was 10.219638 expected a value between 0 and 1.",5008,5008,1603790072195,1603790072195,"10.21963"
1603790073678,1603790072740,10,"Was 10.219638 expected a value between 0 and 1.",5009,5009,1603790072199,1603790072199,"10.21963"
1603790073678,1603790072742,11,"Was 10.241144 expected a value between 0 and 1.",5010,5010,1603790072204,1603790072204,"10.24114"
1603790073678,1603790072743,12,"Was 10.277557 expected a value between 0 and 1.",5011,5011,1603790072209,1603790072209,"10.27755"
1603790073678,1603790072744,13,"Was 10.430015 expected a value between 0 and 1.",5012,5012,1603790072214,1603790072214,"10.43001"
1603790073678,1603790072749,14,"Was 10.58841 expected a value between 0 and 1.",5013,5013,1603790072220,1603790072220,"10.5884"
1603790073678,1603790072758,15,"Was 10.821222 expected a value between 0 and 1.",5014,5014,1603790072224,1603790072224,"10.82122"
1603790073949,1603790072767,16,"Was 10.821222 expected a value between 0 and 1.",5015,5015,1603790072230,1603790072230,"10.82122"
1603790073949,1603790072772,17,"Was 10.782505 expected a value between 0 and 1.",5016,5016,1603790072234,1603790072234,"10.78250"
1603790073949,1603790072778,18,"Was 10.782505 expected a value between 0 and 1.",5017,5017,1603790072243,1603790072243,"10.78250"
1603790073949,1603790072779,19,"Was 10.435573 expected a value between 0 and 1.",5018,5018,1603790072244,1603790072244,"10.43557"
1603790073949,1603790072780,20,"Was 10.423837 expected a value between 0 and 1.",5019,5019,1603790072250,1603790072250,"10.42383"
1603790073949,1603790072782,21,"Was 10.34296 expected a value between 0 and 1.",5020,5020,1603790072254,1603790072254,"10.3429"
1603790073949,1603790072790,22,"Was 10.34296 expected a value between 0 and 1.",5021,5021,1603790072259,1603790072259,"10.3429"
1603790073949,1603790072791,23,"Was 10.234714 expected a value between 0 and 1.",5022,5022,1603790072264,1603790072264,"10.23471"
1603790073949,1603790072792,24,"Was 10.234714 expected a value between 0 and 1.",5023,5023,1603790072269,1603790072269,"10.23471"
1603790073949,1603790072797,25,"Was 10.34296 expected a value between 0 and 1.",5024,5024,1603790072275,1603790072275,"10.3429"
1603790073949,1603790072799,26,"Was 10.453147 expected a value between 0 and 1.",5025,5025,1603790072279,1603790072279,"10.45314"
1603790073949,1603790072800,27,"Was 10.453147 expected a value between 0 and 1.",5026,5026,1603790072284,1603790072284,"10.45314"
1603790073949,1603790072801,28,"Was 10.453147 expected a value between 0 and 1.",5027,5027,1603790072291,1603790072291,"10.45314"
1603790073949,1603790072802,29,"Was 10.437464 expected a value between 0 and 1.",5028,5028,1603790072294,1603790072294,"10.43746"
1603790073949,1603790072803,30,"Was 10.437464 expected a value between 0 and 1.",5029,5029,1603790072301,1603790072301,"10.43746"
1603790073949,1603790072804,31,"Was 10.437464 expected a value between 0 and 1.",5030,5030,1603790072304,1603790072304,"10.43746"
1603790073949,1603790072812,32,"Was 10.545285 expected a value between 0 and 1.",5031,5031,1603790072309,1603790072309,"10.54528"
1603790073949,1603790072814,33,"Was 10.551643 expected a value between 0 and 1.",5032,5032,1603790072314,1603790072314,"10.55164"
1603790073949,1603790072815,34,"Was 10.551643 expected a value between 0 and 1.",5033,5033,1603790072323,1603790072323,"10.55164"
1603790073949,1603790072826,35,"Was 10.551643 expected a value between 0 and 1.",5034,5034,1603790072324,1603790072324,"10.55164"
1603790073949,1603790072832,36,"Was 10.625298 expected a value between 0 and 1.",5035,5035,1603790072329,1603790072329,"10.62529"
1603790073949,1603790072833,37,"Was 10.625298 expected a value between 0 and 1.",5036,5036,1603790072335,1603790072335,"10.62529"
1603790073949,1603790072834,38,"Was 10.263365 expected a value between 0 and 1.",5037,5037,1603790072339,1603790072339,"10.26336"
1603790073949,1603790072875,39,"Was 10.452011 expected a value between 0 and 1.",5038,5038,1603790072345,1603790072345,"10.45201"
1603790073949,1603790072877,40,"Was 10.452011 expected a value between 0 and 1.",5039,5039,1603790072350,1603790072350,"10.45201"
1603790073949,1603790072885,41,"Was 10.263365 expected a value between 0 and 1.",5040,5040,1603790072357,1603790072357,"10.26336"
1603790073949,1603790072890,42,"Was 10.452011 expected a value between 0 and 1.",5041,5041,1603790072359,1603790072359,"10.45201"
1603790073949,1603790072910,43,"Was 10.452011 expected a value between 0 and 1.",5042,5042,1603790072364,1603790072364,"10.45201"
1603790073949,1603790072913,44,"Was 10.539639 expected a value between 0 and 1.",5043,5043,1603790072369,1603790072369,"10.53963"
1603790073949,1603790072921,45,"Was 10.409895 expected a value between 0 and 1.",5044,5044,1603790072374,1603790072374,"10.40989"
1603790073949,1603790072922,46,"Was 10.539639 expected a value between 0 and 1.",5045,5045,1603790072379,1603790072379,"10.53963"
1603790073949,1603790072922,47,"Was 10.409895 expected a value between 0 and 1.",5046,5046,1603790072384,1603790072384,"10.40989"
1603790073949,1603790072923,48,"Was 10.409895 expected a value between 0 and 1.",5047,5047,1603790072389,1603790072389,"10.40989"
1603790073949,1603790072924,49,"Was 10.409895 expected a value between 0 and 1.",5048,5048,1603790072394,1603790072394,"10.40989"
1603790073949,1603790072928,50,"Was 10.374046 expected a value between 0 and 1.",5049,5049,1603790072401,1603790072401,"10.37404"
1603790073949,1603790072939,51,"Was 10.346564 expected a value between 0 and 1.",5050,5050,1603790072404,1603790072404,"10.34656"
1603790073949,1603790072941,52,"Was 10.346564 expected a value between 0 and 1.",5051,5051,1603790072409,1603790072409,"10.34656"
1603790073949,1603790072942,53,"Was 10.346564 expected a value between 0 and 1.",5052,5052,1603790072415,1603790072415,"10.34656"
1603790073949,1603790072962,54,"Was 10.33645 expected a value between 0 and 1.",5053,5053,1603790072419,1603790072419,"10.3364"
1603790073949,1603790072970,55,"Was 10.313469 expected a value between 0 and 1.",5054,5054,1603790072424,1603790072424,"10.31346"
1603790073949,1603790072985,56,"Was 10.244403 expected a value between 0 and 1.",5055,5055,1603790072429,1603790072429,"10.24440"
1603790073949,1603790072986,57,"Was 10.244403 expected a value between 0 and 1.",5056,5056,1603790072434,1603790072434,"10.24440"
1603790073949,1603790072997,58,"Was 10.33645 expected a value between 0 and 1.",5057,5057,1603790072439,1603790072439,"10.3364"
1603790073949,1603790072998,59,"Was 10.442498 expected a value between 0 and 1.",5058,5058,1603790072445,1603790072445,"10.44249"
1603790073949,1603790072999,60,"Was 10.442498 expected a value between 0 and 1.",5059,5059,1603790072449,1603790072449,"10.44249"
1603790073949,1603790073000,61,"Was 10.561229 expected a value between 0 and 1.",5060,5060,1603790072454,1603790072454,"10.56122"
1603790073949,1603790073014,62,"Was 10.442498 expected a value between 0 and 1.",5061,5061,1603790072459,1603790072459,"10.44249"
1603790073949,1603790073015,63,"Was 10.442498 expected a value between 0 and 1.",5062,5062,1603790072464,1603790072464,"10.44249"
1603790073949,1603790073027,64,"Was 10.391742 expected a value between 0 and 1.",5063,5063,1603790072469,1603790072469,"10.39174"
1603790073949,1603790073028,65,"Was 10.445059 expected a value between 0 and 1.",5064,5064,1603790072474,1603790072474,"10.44505"
1603790073949,1603790073040,66,"Was 10.445059 expected a value between 0 and 1.",5065,5065,1603790072479,1603790072479,"10.44505"
1603790073949,1603790073041,67,"Was 10.528958 expected a value between 0 and 1.",5066,5066,1603790072485,1603790072485,"10.52895"
1603790073949,1603790073054,68,"Was 10.528958 expected a value between 0 and 1.",5067,5067,1603790072489,1603790072489,"10.52895"
1603790073949,1603790073055,69,"Was 10.665882 expected a value between 0 and 1.",5068,5068,1603790072494,1603790072494,"10.66588"
1603790073949,1603790073056,70,"Was 10.696425 expected a value between 0 and 1.",5069,5069,1603790072500,1603790072500,"10.69642"
1603790073949,1603790073057,71,"Was 10.665882 expected a value between 0 and 1.",5070,5070,1603790072507,1603790072507,"10.66588"
1603790073949,1603790073060,72,"Was 10.665882 expected a value between 0 and 1.",5071,5071,1603790072511,1603790072511,"10.66588"
1603790073949,1603790073061,73,"Was 10.665882 expected a value between 0 and 1.",5072,5072,1603790072514,1603790072514,"10.66588"
1603790073949,1603790073062,74,"Was 10.44958 expected a value between 0 and 1.",5073,5073,1603790072519,1603790072519,"10.4495"
