Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1603705980131,1603705979019,1,"Was 10.342897 expected a value between 0 and 1.",5000,5000,1603705978352,1603705978352,"10.34289"
1603705980131,1603705979021,2,"Was 10.342897 expected a value between 0 and 1.",5001,5001,1603705978357,1603705978357,"10.34289"
1603705980131,1603705979050,3,"Was 10.302669 expected a value between 0 and 1.",5002,5002,1603705978362,1603705978362,"10.30266"
1603705980131,1603705979052,4,"Was 10.342897 expected a value between 0 and 1.",5003,5003,1603705978368,1603705978368,"10.34289"
1603705980131,1603705979053,5,"Was 10.342897 expected a value between 0 and 1.",5004,5004,1603705978372,1603705978372,"10.34289"
1603705980131,1603705979065,6,"Was 10.60117 expected a value between 0 and 1.",5005,5005,1603705978377,1603705978377,"10.6011"
1603705980131,1603705979071,7,"Was 10.611975 expected a value between 0 and 1.",5006,5006,1603705978383,1603705978383,"10.61197"
1603705980131,1603705979080,8,"Was 10.611975 expected a value between 0 and 1.",5007,5007,1603705978387,1603705978387,"10.61197"
1603705980131,1603705979089,9,"Was 10.60117 expected a value between 0 and 1.",5008,5008,1603705978393,1603705978393,"10.6011"
1603705980131,1603705979123,10,"Was 10.615649 expected a value between 0 and 1.",5009,5009,1603705978399,1603705978399,"10.61564"
1603705980131,1603705979125,11,"Was 10.615649 expected a value between 0 and 1.",5010,5010,1603705978403,1603705978403,"10.61564"
1603705980131,1603705979147,12,"Was 10.356562 expected a value between 0 and 1.",5011,5011,1603705978407,1603705978407,"10.35656"
1603705980131,1603705979168,13,"Was 10.615649 expected a value between 0 and 1.",5012,5012,1603705978412,1603705978412,"10.61564"
1603705980131,1603705979169,14,"Was 10.627339 expected a value between 0 and 1.",5013,5013,1603705978417,1603705978417,"10.62733"
1603705980131,1603705979179,15,"Was 10.687619 expected a value between 0 and 1.",5014,5014,1603705978423,1603705978423,"10.68761"
1603705980131,1603705979181,16,"Was 10.697207 expected a value between 0 and 1.",5015,5015,1603705978427,1603705978427,"10.69720"
1603705980131,1603705979182,17,"Was 10.697207 expected a value between 0 and 1.",5016,5016,1603705978432,1603705978432,"10.69720"
1603705980131,1603705979183,18,"Was 10.697207 expected a value between 0 and 1.",5017,5017,1603705978437,1603705978437,"10.69720"
1603705980131,1603705979184,19,"Was 10.903234 expected a value between 0 and 1.",5018,5018,1603705978442,1603705978442,"10.90323"
1603705980131,1603705979185,20,"Was 10.869539 expected a value between 0 and 1.",5019,5019,1603705978447,1603705978447,"10.86953"
1603705980131,1603705979186,21,"Was 10.641252 expected a value between 0 and 1.",5020,5020,1603705978452,1603705978452,"10.64125"
1603705980131,1603705979188,22,"Was 10.549708 expected a value between 0 and 1.",5021,5021,1603705978457,1603705978457,"10.54970"
1603705980131,1603705979189,23,"Was 10.583676 expected a value between 0 and 1.",5022,5022,1603705978462,1603705978462,"10.58367"
1603705980131,1603705979190,24,"Was 10.528604 expected a value between 0 and 1.",5023,5023,1603705978468,1603705978468,"10.52860"
1603705980131,1603705979196,25,"Was 10.528604 expected a value between 0 and 1.",5024,5024,1603705978472,1603705978472,"10.52860"
1603705980131,1603705979197,26,"Was 10.528604 expected a value between 0 and 1.",5025,5025,1603705978477,1603705978477,"10.52860"
