Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1603705979154,1603705977972,1,"Was 10.03872 expected a value between 0 and 1.",5000,5000,1603705976710,1603705976710,"10.0387"
1603705979154,1603705977974,2,"Was 10.276357 expected a value between 0 and 1.",5001,5001,1603705976717,1603705976717,"10.27635"
1603705979537,1603705978017,3,"Was 10.302059 expected a value between 0 and 1.",5002,5002,1603705976717,1603705976717,"10.30205"
1603705979537,1603705978037,4,"Was 10.566063 expected a value between 0 and 1.",5003,5003,1603705976723,1603705976723,"10.56606"
1603705979537,1603705978038,5,"Was 10.302059 expected a value between 0 and 1.",5004,5004,1603705976727,1603705976727,"10.30205"
1603705979537,1603705978040,6,"Was 10.566063 expected a value between 0 and 1.",5005,5005,1603705976732,1603705976732,"10.56606"
1603705979537,1603705978041,7,"Was 10.578024 expected a value between 0 and 1.",5006,5006,1603705976737,1603705976737,"10.57802"
1603705979537,1603705978042,8,"Was 10.578024 expected a value between 0 and 1.",5007,5007,1603705976743,1603705976743,"10.57802"
1603705979537,1603705978045,9,"Was 10.414991 expected a value between 0 and 1.",5008,5008,1603705976747,1603705976747,"10.41499"
1603705979537,1603705978046,10,"Was 10.429973 expected a value between 0 and 1.",5009,5009,1603705976755,1603705976755,"10.42997"
1603705979537,1603705978048,11,"Was 10.429973 expected a value between 0 and 1.",5010,5010,1603705976759,1603705976759,"10.42997"
1603705979537,1603705978050,12,"Was 10.414991 expected a value between 0 and 1.",5011,5011,1603705976764,1603705976764,"10.41499"
1603705979537,1603705978050,13,"Was 10.429973 expected a value between 0 and 1.",5012,5012,1603705976768,1603705976768,"10.42997"
1603705979537,1603705978052,14,"Was 10.53454 expected a value between 0 and 1.",5013,5013,1603705976772,1603705976772,"10.5345"
1603705979537,1603705978086,15,"Was 10.53454 expected a value between 0 and 1.",5014,5014,1603705976780,1603705976780,"10.5345"
