Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1603705978338,1603705977842,1,"Was 10.263006 expected a value between 0 and 1.",5000,5000,1603705977078,1603705977078,"10.26300"
1603705978338,1603705977847,2,"Was 10.263006 expected a value between 0 and 1.",5001,5001,1603705977083,1603705977083,"10.26300"
1603705978338,1603705977854,3,"Was 10.263006 expected a value between 0 and 1.",5002,5002,1603705977088,1603705977088,"10.26300"
1603705978545,1603705977892,4,"Was 10.42428 expected a value between 0 and 1.",5003,5003,1603705977093,1603705977093,"10.4242"
1603705978545,1603705977895,5,"Was 10.825008 expected a value between 0 and 1.",5004,5004,1603705977098,1603705977098,"10.82500"
1603705978545,1603705977898,6,"Was 10.825008 expected a value between 0 and 1.",5005,5005,1603705977103,1603705977103,"10.82500"
1603705978545,1603705977911,7,"Was 10.825008 expected a value between 0 and 1.",5006,5006,1603705977108,1603705977108,"10.82500"
1603705978545,1603705977912,8,"Was 10.775967 expected a value between 0 and 1.",5007,5007,1603705977113,1603705977113,"10.77596"
1603705978545,1603705977939,9,"Was 10.825008 expected a value between 0 and 1.",5008,5008,1603705977118,1603705977118,"10.82500"
1603705978545,1603705977940,10,"Was 10.868651 expected a value between 0 and 1.",5009,5009,1603705977123,1603705977123,"10.86865"
1603705978545,1603705977941,11,"Was 10.775967 expected a value between 0 and 1.",5010,5010,1603705977130,1603705977130,"10.77596"
1603705978545,1603705977945,12,"Was 10.511861 expected a value between 0 and 1.",5011,5011,1603705977134,1603705977134,"10.51186"
1603705978545,1603705977947,13,"Was 10.511861 expected a value between 0 and 1.",5012,5012,1603705977138,1603705977138,"10.51186"
1603705978545,1603705977951,14,"Was 10.511861 expected a value between 0 and 1.",5013,5013,1603705977144,1603705977144,"10.51186"
1603705978545,1603705977971,15,"Was 10.3555765 expected a value between 0 and 1.",5014,5014,1603705977148,1603705977148,"10.355576"
1603705978545,1603705977972,16,"Was 10.511861 expected a value between 0 and 1.",5015,5015,1603705977154,1603705977154,"10.51186"
1603705978545,1603705977978,17,"Was 10.5181465 expected a value between 0 and 1.",5016,5016,1603705977158,1603705977158,"10.518146"
1603705978545,1603705977990,18,"Was 10.5181465 expected a value between 0 and 1.",5017,5017,1603705977163,1603705977163,"10.518146"
1603705978545,1603705977992,19,"Was 10.518667 expected a value between 0 and 1.",5018,5018,1603705977168,1603705977168,"10.51866"
1603705978545,1603705977994,20,"Was 10.58859 expected a value between 0 and 1.",5019,5019,1603705977173,1603705977173,"10.5885"
1603705978545,1603705977997,21,"Was 10.690851 expected a value between 0 and 1.",5020,5020,1603705977178,1603705977178,"10.69085"
1603705978545,1603705978004,22,"Was 10.690851 expected a value between 0 and 1.",5021,5021,1603705977183,1603705977183,"10.69085"
1603705978545,1603705978013,23,"Was 10.690851 expected a value between 0 and 1.",5022,5022,1603705977188,1603705977188,"10.69085"
