Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1603736808463,1603736807561,1,"Was 10.248991 expected a value between 0 and 1.",5000,5000,1603736806299,1603736806299,"10.24899"
1603736808463,1603736807563,2,"Was 10.353031 expected a value between 0 and 1.",5001,5001,1603736806304,1603736806304,"10.35303"
1603736808463,1603736807568,3,"Was 10.248991 expected a value between 0 and 1.",5002,5002,1603736806309,1603736806309,"10.24899"
1603736808463,1603736807569,4,"Was 10.3830185 expected a value between 0 and 1.",5003,5003,1603736806314,1603736806314,"10.383018"
1603736808463,1603736807570,5,"Was 10.248991 expected a value between 0 and 1.",5004,5004,1603736806320,1603736806320,"10.24899"
1603736808463,1603736807572,6,"Was 10.2145815 expected a value between 0 and 1.",5005,5005,1603736806329,1603736806329,"10.214581"
1603736808463,1603736807576,7,"Was 10.1992855 expected a value between 0 and 1.",5006,5006,1603736806329,1603736806329,"10.199285"
1603736808463,1603736807582,8,"Was 10.1992855 expected a value between 0 and 1.",5007,5007,1603736806334,1603736806334,"10.199285"
1603736808463,1603736807592,9,"Was 10.1992855 expected a value between 0 and 1.",5008,5008,1603736806339,1603736806339,"10.199285"
1603736808463,1603736807627,10,"Was 10.20612 expected a value between 0 and 1.",5009,5009,1603736806344,1603736806344,"10.2061"
1603736808734,1603736807640,11,"Was 10.20612 expected a value between 0 and 1.",5010,5010,1603736806350,1603736806350,"10.2061"
1603736808734,1603736807647,12,"Was 10.262662 expected a value between 0 and 1.",5011,5011,1603736806354,1603736806354,"10.26266"
1603736808734,1603736807648,13,"Was 10.764576 expected a value between 0 and 1.",5012,5012,1603736806359,1603736806359,"10.76457"
1603736808734,1603736807654,14,"Was 10.764576 expected a value between 0 and 1.",5013,5013,1603736806364,1603736806364,"10.76457"
1603736808734,1603736807664,15,"Was 10.764576 expected a value between 0 and 1.",5014,5014,1603736806369,1603736806369,"10.76457"
1603736808734,1603736807671,16,"Was 10.331525 expected a value between 0 and 1.",5015,5015,1603736806375,1603736806375,"10.33152"
1603736808734,1603736807673,17,"Was 10.289435 expected a value between 0 and 1.",5016,5016,1603736806379,1603736806379,"10.28943"
1603736808734,1603736807674,18,"Was 10.289435 expected a value between 0 and 1.",5017,5017,1603736806384,1603736806384,"10.28943"
