timestamp,value,producedElements
1603736805120,10.000000,5000
1603736805625,0.000000,5101
1603736830121,10.000000,10000
1603736830626,0.000000,10101
1603736855120,10.000000,15000
1603736855625,0.000000,15101
1603736880121,10.000000,20000
1603736880625,0.000000,20101
1603736905120,10.000000,25000
1603736905625,0.000000,25101
1603736930121,10.000000,30000
1603736930625,0.000000,30101
1603736955121,10.000000,35000
1603736955625,0.000000,35101
1603736980120,10.000000,40000
1603736980625,0.000000,40101
1603737005123,10.000000,45000
1603737005625,0.000000,45101
1603737030121,10.000000,50000
1603737030628,0.000000,50101
1603737055122,10.000000,55000
1603737055625,0.000000,55101
1603737080120,10.000000,60000
1603737080625,0.000000,60101
1603737105120,10.000000,65000
1603737105625,0.000000,65101
1603737130120,10.000000,70000
1603737130628,0.000000,70101
1603737155120,10.000000,75000
1603737155625,0.000000,75101
1603737180120,10.000000,80000
1603737180625,0.000000,80101
1603737205120,10.000000,85000
1603737205625,0.000000,85101
1603737230120,10.000000,90000
1603737230625,0.000000,90101
1603737255120,10.000000,95000
1603737255625,0.000000,95101
1603737280120,10.000000,100000
1603737280625,0.000000,100101
1603737305120,10.000000,105000
1603737305625,0.000000,105101
1603737330121,10.000000,110000
1603737330625,0.000000,110101
1603737355121,10.000000,115000
1603737355625,0.000000,115101
1603737380120,10.000000,120000
1603737380625,0.000000,120101
1603737405121,10.000000,125000
1603737405625,0.000000,125101
1603737430120,10.000000,130000
1603737430625,0.000000,130101
1603737455120,10.000000,135000
1603737455625,0.000000,135101
1603737480120,10.000000,140000
1603737480626,0.000000,140101
1603737505121,10.000000,145000
1603737505625,0.000000,145101
1603737530120,10.000000,150000
1603737530625,0.000000,150101
1603737555121,10.000000,155000
1603737555625,0.000000,155101
1603737580120,10.000000,160000
1603737580625,0.000000,160101
1603737605120,10.000000,165000
1603737605626,0.000000,165101
1603737630120,10.000000,170000
1603737630625,0.000000,170101
1603737655120,10.000000,175000
1603737655625,0.000000,175101
1603737680121,10.000000,180000
1603737680625,0.000000,180101
1603737705120,10.000000,185000
1603737705625,0.000000,185101
1603737730120,10.000000,190000
1603737730625,0.000000,190101
1603737755120,10.000000,195000
1603737755626,0.000000,195101
1603737780121,10.000000,200000
1603737780625,0.000000,200101
1603737805120,10.000000,205000
1603737805626,0.000000,205101
1603737830120,10.000000,210000
1603737830626,0.000000,210101
1603737855121,10.000000,215000
1603737855625,0.000000,215101
1603737880121,10.000000,220000
1603737880625,0.000000,220101
1603737905120,10.000000,225000
1603737905625,0.000000,225101
1603737930120,10.000000,230000
1603737930625,0.000000,230101
1603737955120,10.000000,235000
1603737955625,0.000000,235101
1603737980120,10.000000,240000
