Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1603736806672,1603736805860,1,"Was 10.051624 expected a value between 0 and 1.",5000,5000,1603736805130,1603736805130,"10.05162"
1603736806672,1603736805861,2,"Was 10.438818 expected a value between 0 and 1.",5001,5001,1603736805136,1603736805136,"10.43881"
1603736806672,1603736805861,3,"Was 10.438818 expected a value between 0 and 1.",5002,5002,1603736805140,1603736805140,"10.43881"
1603736806672,1603736805863,4,"Was 10.438818 expected a value between 0 and 1.",5003,5003,1603736805145,1603736805145,"10.43881"
1603736806672,1603736805864,5,"Was 10.543362 expected a value between 0 and 1.",5004,5004,1603736805150,1603736805150,"10.54336"
1603736806672,1603736805866,6,"Was 10.543362 expected a value between 0 and 1.",5005,5005,1603736805155,1603736805155,"10.54336"
1603736806672,1603736805866,7,"Was 10.543362 expected a value between 0 and 1.",5006,5006,1603736805160,1603736805160,"10.54336"
1603736806672,1603736805867,8,"Was 10.529244 expected a value between 0 and 1.",5007,5007,1603736805165,1603736805165,"10.52924"
1603736806672,1603736805869,9,"Was 10.529244 expected a value between 0 and 1.",5008,5008,1603736805170,1603736805170,"10.52924"
1603736806672,1603736805870,10,"Was 10.529244 expected a value between 0 and 1.",5009,5009,1603736805175,1603736805175,"10.52924"
1603736806672,1603736805871,11,"Was 10.529244 expected a value between 0 and 1.",5010,5010,1603736805181,1603736805181,"10.52924"
1603736806672,1603736805872,12,"Was 10.529244 expected a value between 0 and 1.",5011,5011,1603736805185,1603736805185,"10.52924"
1603736806672,1603736805873,13,"Was 10.255509 expected a value between 0 and 1.",5012,5012,1603736805190,1603736805190,"10.25550"
1603736806672,1603736805874,14,"Was 10.255509 expected a value between 0 and 1.",5013,5013,1603736805195,1603736805195,"10.25550"
1603736806672,1603736805888,15,"Was 10.255509 expected a value between 0 and 1.",5014,5014,1603736805200,1603736805200,"10.25550"
1603736806672,1603736805889,16,"Was 10.358955 expected a value between 0 and 1.",5015,5015,1603736805205,1603736805205,"10.35895"
1603736806672,1603736805890,17,"Was 10.358955 expected a value between 0 and 1.",5016,5016,1603736805210,1603736805210,"10.35895"
1603736806942,1603736805915,18,"Was 10.358955 expected a value between 0 and 1.",5017,5017,1603736805216,1603736805216,"10.35895"
1603736806942,1603736805916,19,"Was 10.400226 expected a value between 0 and 1.",5018,5018,1603736805221,1603736805221,"10.40022"
1603736806942,1603736805917,20,"Was 10.316172 expected a value between 0 and 1.",5019,5019,1603736805225,1603736805225,"10.31617"
1603736806942,1603736805919,21,"Was 10.316172 expected a value between 0 and 1.",5020,5020,1603736805230,1603736805230,"10.31617"
1603736806942,1603736805920,22,"Was 10.181798 expected a value between 0 and 1.",5021,5021,1603736805235,1603736805235,"10.18179"
1603736806942,1603736805921,23,"Was 10.359298 expected a value between 0 and 1.",5022,5022,1603736805240,1603736805240,"10.35929"
1603736806942,1603736805922,24,"Was 10.359298 expected a value between 0 and 1.",5023,5023,1603736805245,1603736805245,"10.35929"
1603736806942,1603736805922,25,"Was 10.413171 expected a value between 0 and 1.",5024,5024,1603736805250,1603736805250,"10.41317"
1603736806942,1603736805923,26,"Was 10.500183 expected a value between 0 and 1.",5025,5025,1603736805255,1603736805255,"10.50018"
1603736806942,1603736805924,27,"Was 10.7008505 expected a value between 0 and 1.",5026,5026,1603736805260,1603736805260,"10.700850"
1603736806942,1603736805925,28,"Was 10.7008505 expected a value between 0 and 1.",5027,5027,1603736805265,1603736805265,"10.700850"
1603736806942,1603736805926,29,"Was 10.7008505 expected a value between 0 and 1.",5028,5028,1603736805271,1603736805271,"10.700850"
1603736806942,1603736805927,30,"Was 10.7008505 expected a value between 0 and 1.",5029,5029,1603736805275,1603736805275,"10.700850"
1603736806942,1603736805928,31,"Was 10.632241 expected a value between 0 and 1.",5030,5030,1603736805280,1603736805280,"10.63224"
1603736806942,1603736805929,32,"Was 10.632241 expected a value between 0 and 1.",5031,5031,1603736805285,1603736805285,"10.63224"
1603736806942,1603736805930,33,"Was 10.644856 expected a value between 0 and 1.",5032,5032,1603736805290,1603736805290,"10.64485"
