Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1603736806343,1603736805588,1,"Was 10.662165 expected a value between 0 and 1.",5000,5000,1603736805230,1603736805230,"10.66216"
1603736806343,1603736805596,2,"Was 10.662165 expected a value between 0 and 1.",5001,5001,1603736805234,1603736805234,"10.66216"
1603736806539,1603736805598,3,"Was 10.463876 expected a value between 0 and 1.",5002,5002,1603736805239,1603736805239,"10.46387"
1603736806539,1603736805605,4,"Was 10.368718 expected a value between 0 and 1.",5003,5003,1603736805244,1603736805244,"10.36871"
1603736806539,1603736805606,5,"Was 10.368718 expected a value between 0 and 1.",5004,5004,1603736805249,1603736805249,"10.36871"
1603736806539,1603736805607,6,"Was 10.368718 expected a value between 0 and 1.",5005,5005,1603736805254,1603736805254,"10.36871"
1603736806539,1603736805609,7,"Was 10.513472 expected a value between 0 and 1.",5006,5006,1603736805259,1603736805259,"10.51347"
1603736806539,1603736805622,8,"Was 10.513472 expected a value between 0 and 1.",5007,5007,1603736805264,1603736805264,"10.51347"
1603736806539,1603736805623,9,"Was 10.564134 expected a value between 0 and 1.",5008,5008,1603736805270,1603736805270,"10.56413"
1603736806539,1603736805624,10,"Was 10.564134 expected a value between 0 and 1.",5009,5009,1603736805274,1603736805274,"10.56413"
1603736806539,1603736805625,11,"Was 10.624596 expected a value between 0 and 1.",5010,5010,1603736805279,1603736805279,"10.62459"
1603736806539,1603736805626,12,"Was 10.714649 expected a value between 0 and 1.",5011,5011,1603736805284,1603736805284,"10.71464"
1603736806539,1603736805627,13,"Was 10.714649 expected a value between 0 and 1.",5012,5012,1603736805292,1603736805292,"10.71464"
1603736806539,1603736805628,14,"Was 10.558377 expected a value between 0 and 1.",5013,5013,1603736805294,1603736805294,"10.55837"
1603736806539,1603736805797,15,"Was 10.714649 expected a value between 0 and 1.",5014,5014,1603736805299,1603736805299,"10.71464"
1603736806539,1603736805799,16,"Was 10.558377 expected a value between 0 and 1.",5015,5015,1603736805304,1603736805304,"10.55837"
1603736806539,1603736805811,17,"Was 10.558377 expected a value between 0 and 1.",5016,5016,1603736805309,1603736805309,"10.55837"
1603736806539,1603736805812,18,"Was 10.834005 expected a value between 0 and 1.",5017,5017,1603736805315,1603736805315,"10.83400"
1603736806539,1603736805813,19,"Was 10.834005 expected a value between 0 and 1.",5018,5018,1603736805319,1603736805319,"10.83400"
