Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1603736807762,1603736807257,1,"Was 10.258889 expected a value between 0 and 1.",5000,5000,1603736805567,1603736805567,"10.25888"
1603736807762,1603736807259,2,"Was 10.258889 expected a value between 0 and 1.",5001,5001,1603736805572,1603736805572,"10.25888"
1603736807762,1603736807260,3,"Was 10.258889 expected a value between 0 and 1.",5002,5002,1603736805577,1603736805577,"10.25888"
1603736807762,1603736807263,4,"Was 10.338233 expected a value between 0 and 1.",5003,5003,1603736805582,1603736805582,"10.33823"
1603736807932,1603736807283,5,"Was 10.547521 expected a value between 0 and 1.",5004,5004,1603736805588,1603736805588,"10.54752"
1603736807932,1603736807293,6,"Was 10.547521 expected a value between 0 and 1.",5005,5005,1603736805592,1603736805592,"10.54752"
1603736807932,1603736807295,7,"Was 10.547521 expected a value between 0 and 1.",5006,5006,1603736805597,1603736805597,"10.54752"
1603736807932,1603736807299,8,"Was 10.547521 expected a value between 0 and 1.",5007,5007,1603736805602,1603736805602,"10.54752"
1603736807932,1603736807301,9,"Was 10.547521 expected a value between 0 and 1.",5008,5008,1603736805607,1603736805607,"10.54752"
1603736807932,1603736807302,10,"Was 10.476479 expected a value between 0 and 1.",5009,5009,1603736805612,1603736805612,"10.47647"
1603736807932,1603736807307,11,"Was 10.872805 expected a value between 0 and 1.",5010,5010,1603736805618,1603736805618,"10.87280"
1603736807932,1603736807309,12,"Was 10.872805 expected a value between 0 and 1.",5011,5011,1603736805622,1603736805622,"10.87280"
1603736807932,1603736807312,13,"Was 10.777213 expected a value between 0 and 1.",5012,5012,1603736805627,1603736805627,"10.77721"
1603736807932,1603736807319,14,"Was 10.583126 expected a value between 0 and 1.",5013,5013,1603736805632,1603736805632,"10.58312"
1603736807932,1603736807344,15,"Was 10.777213 expected a value between 0 and 1.",5014,5014,1603736805651,1603736805651,"10.77721"
1603736807932,1603736807346,16,"Was 10.640871 expected a value between 0 and 1.",5015,5015,1603736805651,1603736805651,"10.64087"
1603736807932,1603736807347,17,"Was 10.640871 expected a value between 0 and 1.",5016,5016,1603736805651,1603736805651,"10.64087"
1603736807932,1603736807348,18,"Was 10.640871 expected a value between 0 and 1.",5017,5017,1603736805659,1603736805659,"10.64087"
1603736807932,1603736807351,19,"Was 10.640871 expected a value between 0 and 1.",5018,5018,1603736805659,1603736805659,"10.64087"
1603736807932,1603736807352,20,"Was 10.5511 expected a value between 0 and 1.",5019,5019,1603736805663,1603736805663,"10.551"
1603736807932,1603736807353,21,"Was 10.5511 expected a value between 0 and 1.",5020,5020,1603736805667,1603736805667,"10.551"
1603736807932,1603736807354,22,"Was 10.5511 expected a value between 0 and 1.",5021,5021,1603736805673,1603736805673,"10.551"
1603736807932,1603736807355,23,"Was 10.290712 expected a value between 0 and 1.",5022,5022,1603736805677,1603736805677,"10.29071"
1603736807932,1603736807359,24,"Was 10.25699 expected a value between 0 and 1.",5023,5023,1603736805683,1603736805683,"10.2569"
1603736807932,1603736807376,25,"Was 10.290712 expected a value between 0 and 1.",5024,5024,1603736805688,1603736805688,"10.29071"
1603736807932,1603736807377,26,"Was 10.290712 expected a value between 0 and 1.",5025,5025,1603736805701,1603736805701,"10.29071"
1603736807932,1603736807378,27,"Was 10.448204 expected a value between 0 and 1.",5026,5026,1603736805701,1603736805701,"10.44820"
1603736807932,1603736807380,28,"Was 10.448204 expected a value between 0 and 1.",5027,5027,1603736805708,1603736805708,"10.44820"
1603736807932,1603736807381,29,"Was 10.507909 expected a value between 0 and 1.",5028,5028,1603736805708,1603736805708,"10.50790"
1603736807932,1603736807382,30,"Was 10.448204 expected a value between 0 and 1.",5029,5029,1603736805713,1603736805713,"10.44820"
1603736807932,1603736807383,31,"Was 10.507909 expected a value between 0 and 1.",5030,5030,1603736805718,1603736805718,"10.50790"
1603736807932,1603736807385,32,"Was 10.507909 expected a value between 0 and 1.",5031,5031,1603736805726,1603736805726,"10.50790"
1603736807932,1603736807386,33,"Was 10.507909 expected a value between 0 and 1.",5032,5032,1603736805728,1603736805728,"10.50790"
1603736807932,1603736807387,34,"Was 10.31462 expected a value between 0 and 1.",5033,5033,1603736805735,1603736805735,"10.3146"
1603736807932,1603736807389,35,"Was 10.741975 expected a value between 0 and 1.",5034,5034,1603736805739,1603736805739,"10.74197"
1603736807932,1603736807390,36,"Was 10.31462 expected a value between 0 and 1.",5035,5035,1603736805743,1603736805743,"10.3146"
1603736807932,1603736807391,37,"Was 10.31462 expected a value between 0 and 1.",5036,5036,1603736805748,1603736805748,"10.3146"
1603736807932,1603736807392,38,"Was 10.325233 expected a value between 0 and 1.",5037,5037,1603736805752,1603736805752,"10.32523"
1603736807932,1603736807393,39,"Was 10.513338 expected a value between 0 and 1.",5038,5038,1603736805760,1603736805760,"10.51333"
1603736807932,1603736807394,40,"Was 10.513338 expected a value between 0 and 1.",5039,5039,1603736805762,1603736805762,"10.51333"
1603736807932,1603736807395,41,"Was 10.513338 expected a value between 0 and 1.",5040,5040,1603736805767,1603736805767,"10.51333"
1603736807932,1603736807396,42,"Was 10.325233 expected a value between 0 and 1.",5041,5041,1603736805772,1603736805772,"10.32523"
1603736807932,1603736807397,43,"Was 10.513338 expected a value between 0 and 1.",5042,5042,1603736805777,1603736805777,"10.51333"
1603736807932,1603736807398,44,"Was 10.225284 expected a value between 0 and 1.",5043,5043,1603736805782,1603736805782,"10.22528"
1603736807932,1603736807399,45,"Was 10.225284 expected a value between 0 and 1.",5044,5044,1603736805788,1603736805788,"10.22528"
1603736807932,1603736807400,46,"Was 10.318331 expected a value between 0 and 1.",5045,5045,1603736805792,1603736805792,"10.31833"
1603736807932,1603736807401,47,"Was 10.345681 expected a value between 0 and 1.",5046,5046,1603736805797,1603736805797,"10.34568"
1603736807932,1603736807402,48,"Was 10.318331 expected a value between 0 and 1.",5047,5047,1603736805802,1603736805802,"10.31833"
1603736807932,1603736807403,49,"Was 10.345681 expected a value between 0 and 1.",5048,5048,1603736805807,1603736805807,"10.34568"
1603736807932,1603736807404,50,"Was 10.634136 expected a value between 0 and 1.",5049,5049,1603736805812,1603736805812,"10.63413"
1603736807932,1603736807405,51,"Was 10.399375 expected a value between 0 and 1.",5050,5050,1603736805817,1603736805817,"10.39937"
1603736807932,1603736807410,52,"Was 10.399375 expected a value between 0 and 1.",5051,5051,1603736805822,1603736805822,"10.39937"
1603736807932,1603736807411,53,"Was 10.399375 expected a value between 0 and 1.",5052,5052,1603736805827,1603736805827,"10.39937"
1603736807932,1603736807424,54,"Was 10.399375 expected a value between 0 and 1.",5053,5053,1603736805840,1603736805840,"10.39937"
