Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1603749275778,1603749275312,1,"Was 10.293991 expected a value between 0 and 1.",5000,5000,1603749274532,1603749274532,"10.29399"
1603749275778,1603749275314,2,"Was 10.301783 expected a value between 0 and 1.",5001,5001,1603749274536,1603749274536,"10.30178"
1603749275778,1603749275330,3,"Was 10.426951 expected a value between 0 and 1.",5002,5002,1603749274544,1603749274544,"10.42695"
1603749275826,1603749275379,4,"Was 10.52204 expected a value between 0 and 1.",5003,5003,1603749274557,1603749274557,"10.5220"
1603749275826,1603749275384,5,"Was 10.426951 expected a value between 0 and 1.",5004,5004,1603749274558,1603749274558,"10.42695"
1603749275826,1603749275389,6,"Was 10.52204 expected a value between 0 and 1.",5005,5005,1603749274558,1603749274558,"10.5220"
1603749275826,1603749275401,7,"Was 10.573514 expected a value between 0 and 1.",5006,5006,1603749274564,1603749274564,"10.57351"
1603749275826,1603749275431,8,"Was 10.573514 expected a value between 0 and 1.",5007,5007,1603749274571,1603749274571,"10.57351"
1603749275826,1603749275434,9,"Was 10.614195 expected a value between 0 and 1.",5008,5008,1603749274571,1603749274571,"10.61419"
1603749275826,1603749275484,10,"Was 10.614195 expected a value between 0 and 1.",5009,5009,1603749274581,1603749274581,"10.61419"
1603749275826,1603749275489,11,"Was 10.822093 expected a value between 0 and 1.",5010,5010,1603749274581,1603749274581,"10.82209"
1603749276153,1603749275506,12,"Was 10.968985 expected a value between 0 and 1.",5011,5011,1603749274595,1603749274595,"10.96898"
1603749276153,1603749275507,13,"Was 10.968985 expected a value between 0 and 1.",5012,5012,1603749274595,1603749274595,"10.96898"
1603749276153,1603749275635,14,"Was 10.445465 expected a value between 0 and 1.",5013,5013,1603749274596,1603749274596,"10.44546"
1603749276153,1603749275680,15,"Was 10.445465 expected a value between 0 and 1.",5014,5014,1603749274602,1603749274602,"10.44546"
