Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1603749275141,1603749274634,1,"Was 10.473248 expected a value between 0 and 1.",4999,4999,1603749274278,1603749274278,"10.47324"
1603749275141,1603749274637,2,"Was 10.598999 expected a value between 0 and 1.",5000,5000,1603749274283,1603749274283,"10.59899"
1603749275141,1603749274639,3,"Was 10.473248 expected a value between 0 and 1.",5001,5001,1603749274288,1603749274288,"10.47324"
1603749275141,1603749274647,4,"Was 10.661123 expected a value between 0 and 1.",5002,5002,1603749274293,1603749274293,"10.66112"
1603749275141,1603749274649,5,"Was 10.661123 expected a value between 0 and 1.",5003,5003,1603749274298,1603749274298,"10.66112"
1603749275716,1603749274663,6,"Was 10.75797 expected a value between 0 and 1.",5004,5004,1603749274303,1603749274303,"10.7579"
1603749275716,1603749274669,7,"Was 10.205554 expected a value between 0 and 1.",5005,5005,1603749274308,1603749274308,"10.20555"
1603749275716,1603749274671,8,"Was 10.330889 expected a value between 0 and 1.",5006,5006,1603749274313,1603749274313,"10.33088"
1603749275716,1603749274672,9,"Was 10.205554 expected a value between 0 and 1.",5007,5007,1603749274318,1603749274318,"10.20555"
1603749275716,1603749274675,10,"Was 10.205554 expected a value between 0 and 1.",5008,5008,1603749274323,1603749274323,"10.20555"
1603749275716,1603749274676,11,"Was 10.170717 expected a value between 0 and 1.",5009,5009,1603749274329,1603749274329,"10.17071"
1603749275716,1603749274677,12,"Was 10.131095 expected a value between 0 and 1.",5010,5010,1603749274333,1603749274333,"10.13109"
1603749275716,1603749274681,13,"Was 10.131095 expected a value between 0 and 1.",5011,5011,1603749274338,1603749274338,"10.13109"
1603749275716,1603749274686,14,"Was 10.170717 expected a value between 0 and 1.",5012,5012,1603749274343,1603749274343,"10.17071"
1603749275716,1603749274706,15,"Was 10.231225 expected a value between 0 and 1.",5013,5013,1603749274348,1603749274348,"10.23122"
1603749275716,1603749274708,16,"Was 10.367093 expected a value between 0 and 1.",5014,5014,1603749274353,1603749274353,"10.36709"
1603749275716,1603749274723,17,"Was 10.367093 expected a value between 0 and 1.",5015,5015,1603749274358,1603749274358,"10.36709"
1603749275716,1603749274733,18,"Was 10.367093 expected a value between 0 and 1.",5016,5016,1603749274363,1603749274363,"10.36709"
1603749275716,1603749274735,19,"Was 10.370499 expected a value between 0 and 1.",5017,5017,1603749274368,1603749274368,"10.37049"
1603749275716,1603749274738,20,"Was 10.599271 expected a value between 0 and 1.",5018,5018,1603749274373,1603749274373,"10.59927"
1603749275716,1603749274739,21,"Was 10.599271 expected a value between 0 and 1.",5019,5019,1603749274379,1603749274379,"10.59927"
1603749275716,1603749274745,22,"Was 10.714248 expected a value between 0 and 1.",5020,5020,1603749274383,1603749274383,"10.71424"
1603749275716,1603749274748,23,"Was 10.892584 expected a value between 0 and 1.",5021,5021,1603749274388,1603749274388,"10.89258"
1603749275716,1603749274749,24,"Was 10.892584 expected a value between 0 and 1.",5022,5022,1603749274393,1603749274393,"10.89258"
1603749275716,1603749274753,25,"Was 10.892584 expected a value between 0 and 1.",5023,5023,1603749274399,1603749274399,"10.89258"
1603749275716,1603749274757,26,"Was 10.442871 expected a value between 0 and 1.",5024,5024,1603749274403,1603749274403,"10.44287"
1603749275716,1603749274758,27,"Was 10.442871 expected a value between 0 and 1.",5025,5025,1603749274408,1603749274408,"10.44287"
