Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1603900368027,1603900367587,1,"Was 10.196687 expected a value between 0 and 1.",5001,5001,1603900366651,1603900366651,"10.19668"
1603900368027,1603900367590,2,"Was 10.586592 expected a value between 0 and 1.",5002,5002,1603900366656,1603900366656,"10.58659"
1603900368027,1603900367596,3,"Was 10.586592 expected a value between 0 and 1.",5003,5003,1603900366661,1603900366661,"10.58659"
1603900368200,1603900367613,4,"Was 10.643932 expected a value between 0 and 1.",5004,5004,1603900366666,1603900366666,"10.64393"
1603900368200,1603900367614,5,"Was 10.643932 expected a value between 0 and 1.",5005,5005,1603900366671,1603900366671,"10.64393"
1603900368200,1603900367615,6,"Was 10.643932 expected a value between 0 and 1.",5006,5006,1603900366676,1603900366676,"10.64393"
1603900368200,1603900367619,7,"Was 10.518386 expected a value between 0 and 1.",5007,5007,1603900366681,1603900366681,"10.51838"
1603900368200,1603900367621,8,"Was 10.406165 expected a value between 0 and 1.",5008,5008,1603900366688,1603900366688,"10.40616"
1603900368200,1603900367623,9,"Was 10.406165 expected a value between 0 and 1.",5009,5009,1603900366694,1603900366694,"10.40616"
1603900368200,1603900367626,10,"Was 10.406165 expected a value between 0 and 1.",5010,5010,1603900366698,1603900366698,"10.40616"
1603900368200,1603900367631,11,"Was 10.241595 expected a value between 0 and 1.",5011,5011,1603900366704,1603900366704,"10.24159"
1603900368200,1603900367660,12,"Was 10.120383 expected a value between 0 and 1.",5012,5012,1603900366708,1603900366708,"10.12038"
1603900368200,1603900367664,13,"Was 10.411158 expected a value between 0 and 1.",5013,5013,1603900366712,1603900366712,"10.41115"
1603900368200,1603900367665,14,"Was 10.54075 expected a value between 0 and 1.",5014,5014,1603900366716,1603900366716,"10.5407"
1603900368200,1603900367679,15,"Was 10.624044 expected a value between 0 and 1.",5015,5015,1603900366721,1603900366721,"10.62404"
1603900368200,1603900367680,16,"Was 10.624044 expected a value between 0 and 1.",5016,5016,1603900366726,1603900366726,"10.62404"
1603900368200,1603900367681,17,"Was 10.624044 expected a value between 0 and 1.",5017,5017,1603900366731,1603900366731,"10.62404"
1603900368200,1603900367683,18,"Was 10.669005 expected a value between 0 and 1.",5018,5018,1603900366736,1603900366736,"10.66900"
1603900368200,1603900367687,19,"Was 10.337312 expected a value between 0 and 1.",5019,5019,1603900366741,1603900366741,"10.33731"
1603900368200,1603900367696,20,"Was 10.337312 expected a value between 0 and 1.",5020,5020,1603900366747,1603900366747,"10.33731"
1603900368200,1603900367698,21,"Was 10.337312 expected a value between 0 and 1.",5021,5021,1603900366752,1603900366752,"10.33731"
