Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1603900369361,1603900368571,1,"Was 10.323701 expected a value between 0 and 1.",5000,5000,1603900366778,1603900366778,"10.32370"
1603900369361,1603900368580,2,"Was 10.323701 expected a value between 0 and 1.",5001,5001,1603900366783,1603900366783,"10.32370"
1603900369361,1603900368582,3,"Was 10.616645 expected a value between 0 and 1.",5002,5002,1603900366788,1603900366788,"10.61664"
1603900369361,1603900368587,4,"Was 10.338402 expected a value between 0 and 1.",5003,5003,1603900366793,1603900366793,"10.33840"
1603900369361,1603900368590,5,"Was 10.338402 expected a value between 0 and 1.",5004,5004,1603900366798,1603900366798,"10.33840"
1603900369361,1603900368597,6,"Was 10.3814125 expected a value between 0 and 1.",5005,5005,1603900366803,1603900366803,"10.381412"
1603900369361,1603900368603,7,"Was 10.3814125 expected a value between 0 and 1.",5006,5006,1603900366808,1603900366808,"10.381412"
1603900369361,1603900368606,8,"Was 10.338402 expected a value between 0 and 1.",5007,5007,1603900366814,1603900366814,"10.33840"
1603900369361,1603900368618,9,"Was 10.049658 expected a value between 0 and 1.",5008,5008,1603900366818,1603900366818,"10.04965"
1603900369361,1603900368621,10,"Was 10.049658 expected a value between 0 and 1.",5009,5009,1603900366823,1603900366823,"10.04965"
1603900369361,1603900368623,11,"Was 10.049658 expected a value between 0 and 1.",5010,5010,1603900366828,1603900366828,"10.04965"
1603900369361,1603900368628,12,"Was 10.545771 expected a value between 0 and 1.",5011,5011,1603900366833,1603900366833,"10.54577"
1603900369361,1603900368636,13,"Was 10.546705 expected a value between 0 and 1.",5012,5012,1603900366838,1603900366838,"10.54670"
1603900369361,1603900368645,14,"Was 10.570439 expected a value between 0 and 1.",5013,5013,1603900366843,1603900366843,"10.57043"
1603900369361,1603900368674,15,"Was 10.570439 expected a value between 0 and 1.",5014,5014,1603900366848,1603900366848,"10.57043"
1603900369361,1603900368676,16,"Was 10.570439 expected a value between 0 and 1.",5015,5015,1603900366854,1603900366854,"10.57043"
1603900369361,1603900368683,17,"Was 10.330269 expected a value between 0 and 1.",5016,5016,1603900366860,1603900366860,"10.33026"
1603900369361,1603900368684,18,"Was 10.274495 expected a value between 0 and 1.",5017,5017,1603900366863,1603900366863,"10.27449"
1603900369361,1603900368691,19,"Was 10.147143 expected a value between 0 and 1.",5018,5018,1603900366868,1603900366868,"10.14714"
1603900369361,1603900368708,20,"Was 10.147143 expected a value between 0 and 1.",5019,5019,1603900366873,1603900366873,"10.14714"
1603900369361,1603900368733,21,"Was 10.147143 expected a value between 0 and 1.",5020,5020,1603900366884,1603900366884,"10.14714"
1603900369361,1603900368759,22,"Was 10.236241 expected a value between 0 and 1.",5021,5021,1603900366884,1603900366884,"10.23624"
1603900369361,1603900368760,23,"Was 10.355017 expected a value between 0 and 1.",5022,5022,1603900366888,1603900366888,"10.35501"
1603900369361,1603900368761,24,"Was 10.780964 expected a value between 0 and 1.",5023,5023,1603900366893,1603900366893,"10.78096"
1603900369361,1603900368761,25,"Was 10.780964 expected a value between 0 and 1.",5024,5024,1603900366898,1603900366898,"10.78096"
1603900369361,1603900368762,26,"Was 10.780964 expected a value between 0 and 1.",5025,5025,1603900366903,1603900366903,"10.78096"
1603900369361,1603900368775,27,"Was 10.513158 expected a value between 0 and 1.",5026,5026,1603900366908,1603900366908,"10.51315"
1603900369361,1603900368778,28,"Was 10.513158 expected a value between 0 and 1.",5027,5027,1603900366913,1603900366913,"10.51315"
1603900369361,1603900368784,29,"Was 10.513158 expected a value between 0 and 1.",5028,5028,1603900366918,1603900366918,"10.51315"
1603900369361,1603900368787,30,"Was 10.513158 expected a value between 0 and 1.",5029,5029,1603900366923,1603900366923,"10.51315"
1603900369361,1603900368788,31,"Was 10.655566 expected a value between 0 and 1.",5030,5030,1603900366929,1603900366929,"10.65556"
1603900369361,1603900368788,32,"Was 10.88698 expected a value between 0 and 1.",5031,5031,1603900366933,1603900366933,"10.8869"
1603900369361,1603900368789,33,"Was 10.792979 expected a value between 0 and 1.",5032,5032,1603900366938,1603900366938,"10.79297"
1603900369361,1603900368790,34,"Was 10.792979 expected a value between 0 and 1.",5033,5033,1603900366943,1603900366943,"10.79297"
1603900369361,1603900368801,35,"Was 10.834099 expected a value between 0 and 1.",5034,5034,1603900366948,1603900366948,"10.83409"
1603900369361,1603900368803,36,"Was 10.792979 expected a value between 0 and 1.",5035,5035,1603900366953,1603900366953,"10.79297"
1603900369361,1603900368805,37,"Was 10.1683655 expected a value between 0 and 1.",5036,5036,1603900366959,1603900366959,"10.168365"
1603900369361,1603900368815,38,"Was 10.1683655 expected a value between 0 and 1.",5037,5037,1603900366963,1603900366963,"10.168365"
1603900369361,1603900368816,39,"Was 10.717943 expected a value between 0 and 1.",5038,5038,1603900366968,1603900366968,"10.71794"
1603900369361,1603900368817,40,"Was 10.717943 expected a value between 0 and 1.",5039,5039,1603900366973,1603900366973,"10.71794"
1603900369361,1603900368818,41,"Was 10.717943 expected a value between 0 and 1.",5040,5040,1603900366978,1603900366978,"10.71794"
1603900369361,1603900368819,42,"Was 10.882251 expected a value between 0 and 1.",5041,5041,1603900366983,1603900366983,"10.88225"
1603900369361,1603900368819,43,"Was 10.882251 expected a value between 0 and 1.",5042,5042,1603900366989,1603900366989,"10.88225"
1603900369361,1603900368821,44,"Was 10.590627 expected a value between 0 and 1.",5043,5043,1603900366993,1603900366993,"10.59062"
1603900369361,1603900368821,45,"Was 10.290695 expected a value between 0 and 1.",5044,5044,1603900366998,1603900366998,"10.29069"
1603900369361,1603900368822,46,"Was 10.290695 expected a value between 0 and 1.",5045,5045,1603900367003,1603900367003,"10.29069"
1603900369361,1603900368823,47,"Was 10.290695 expected a value between 0 and 1.",5046,5046,1603900367008,1603900367008,"10.29069"
1603900369361,1603900368833,48,"Was 10.399055 expected a value between 0 and 1.",5047,5047,1603900367013,1603900367013,"10.39905"
