Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1603740884869,1603740884163,1,"Was 10.241959 expected a value between 0 and 1.",5000,5000,1603740883305,1603740883305,"10.24195"
1603740884869,1603740884165,2,"Was 10.241959 expected a value between 0 and 1.",5001,5001,1603740883310,1603740883310,"10.24195"
1603740884869,1603740884168,3,"Was 10.234911 expected a value between 0 and 1.",5002,5002,1603740883316,1603740883316,"10.23491"
1603740884869,1603740884172,4,"Was 10.234911 expected a value between 0 and 1.",5003,5003,1603740883320,1603740883320,"10.23491"
1603740884869,1603740884173,5,"Was 10.241959 expected a value between 0 and 1.",5004,5004,1603740883325,1603740883325,"10.24195"
1603740884869,1603740884193,6,"Was 10.280658 expected a value between 0 and 1.",5005,5005,1603740883330,1603740883330,"10.28065"
1603740884869,1603740884194,7,"Was 10.280658 expected a value between 0 and 1.",5006,5006,1603740883339,1603740883339,"10.28065"
1603740884869,1603740884208,8,"Was 10.467331 expected a value between 0 and 1.",5007,5007,1603740883340,1603740883340,"10.46733"
1603740884869,1603740884214,9,"Was 10.500337 expected a value between 0 and 1.",5008,5008,1603740883345,1603740883345,"10.50033"
1603740884869,1603740884215,10,"Was 10.628206 expected a value between 0 and 1.",5009,5009,1603740883350,1603740883350,"10.62820"
1603740884869,1603740884235,11,"Was 10.713325 expected a value between 0 and 1.",5010,5010,1603740883357,1603740883357,"10.71332"
1603740884869,1603740884244,12,"Was 10.713325 expected a value between 0 and 1.",5011,5011,1603740883360,1603740883360,"10.71332"
1603740884869,1603740884265,13,"Was 10.801901 expected a value between 0 and 1.",5012,5012,1603740883365,1603740883365,"10.80190"
1603740884869,1603740884266,14,"Was 10.628206 expected a value between 0 and 1.",5013,5013,1603740883371,1603740883371,"10.62820"
1603740884869,1603740884317,15,"Was 10.490507 expected a value between 0 and 1.",5014,5014,1603740883375,1603740883375,"10.49050"
1603740884869,1603740884318,16,"Was 10.490507 expected a value between 0 and 1.",5015,5015,1603740883380,1603740883380,"10.49050"
1603740884869,1603740884319,17,"Was 10.500543 expected a value between 0 and 1.",5016,5016,1603740883392,1603740883392,"10.50054"
1603740884869,1603740884320,18,"Was 10.500543 expected a value between 0 and 1.",5017,5017,1603740883392,1603740883392,"10.50054"
1603740884869,1603740884321,19,"Was 10.608745 expected a value between 0 and 1.",5018,5018,1603740883395,1603740883395,"10.60874"
1603740884869,1603740884322,20,"Was 10.608745 expected a value between 0 and 1.",5019,5019,1603740883400,1603740883400,"10.60874"
1603740884869,1603740884323,21,"Was 10.608745 expected a value between 0 and 1.",5020,5020,1603740883405,1603740883405,"10.60874"
1603740884869,1603740884339,22,"Was 10.608745 expected a value between 0 and 1.",5021,5021,1603740883410,1603740883410,"10.60874"
1603740884869,1603740884348,23,"Was 10.608745 expected a value between 0 and 1.",5022,5022,1603740883415,1603740883415,"10.60874"
1603740884869,1603740884349,24,"Was 10.329558 expected a value between 0 and 1.",5023,5023,1603740883420,1603740883420,"10.32955"
1603740884869,1603740884350,25,"Was 10.683863 expected a value between 0 and 1.",5024,5024,1603740883425,1603740883425,"10.68386"
1603740884869,1603740884351,26,"Was 10.683863 expected a value between 0 and 1.",5025,5025,1603740883430,1603740883430,"10.68386"
1603740884869,1603740884361,27,"Was 10.799798 expected a value between 0 and 1.",5026,5026,1603740883435,1603740883435,"10.79979"
1603740884869,1603740884370,28,"Was 10.729641 expected a value between 0 and 1.",5027,5027,1603740883441,1603740883441,"10.72964"
1603740884869,1603740884371,29,"Was 10.799798 expected a value between 0 and 1.",5028,5028,1603740883448,1603740883448,"10.79979"
1603740884869,1603740884386,30,"Was 10.729641 expected a value between 0 and 1.",5029,5029,1603740883450,1603740883450,"10.72964"
1603740884921,1603740884432,31,"Was 10.729641 expected a value between 0 and 1.",5030,5030,1603740883455,1603740883455,"10.72964"
1603740884921,1603740884434,32,"Was 10.729641 expected a value between 0 and 1.",5031,5031,1603740883460,1603740883460,"10.72964"
1603740884921,1603740884438,33,"Was 10.548904 expected a value between 0 and 1.",5032,5032,1603740883465,1603740883465,"10.54890"
1603740884921,1603740884447,34,"Was 10.273645 expected a value between 0 and 1.",5033,5033,1603740883470,1603740883470,"10.27364"
1603740884921,1603740884460,35,"Was 10.273645 expected a value between 0 and 1.",5034,5034,1603740883475,1603740883475,"10.27364"
1603740884921,1603740884463,36,"Was 10.233908 expected a value between 0 and 1.",5035,5035,1603740883481,1603740883481,"10.23390"
1603740884921,1603740884466,37,"Was 10.233908 expected a value between 0 and 1.",5036,5036,1603740883485,1603740883485,"10.23390"
1603740884921,1603740884466,38,"Was 10.4184 expected a value between 0 and 1.",5037,5037,1603740883490,1603740883490,"10.418"
1603740884921,1603740884467,39,"Was 10.572207 expected a value between 0 and 1.",5038,5038,1603740883495,1603740883495,"10.57220"
1603740884921,1603740884476,40,"Was 10.4184 expected a value between 0 and 1.",5039,5039,1603740883500,1603740883500,"10.418"
1603740884921,1603740884477,41,"Was 10.560063 expected a value between 0 and 1.",5040,5040,1603740883505,1603740883505,"10.56006"
1603740884921,1603740884482,42,"Was 10.560063 expected a value between 0 and 1.",5041,5041,1603740883510,1603740883510,"10.56006"
1603740884921,1603740884483,43,"Was 10.560063 expected a value between 0 and 1.",5042,5042,1603740883517,1603740883517,"10.56006"
1603740884921,1603740884487,44,"Was 10.560063 expected a value between 0 and 1.",5043,5043,1603740883520,1603740883520,"10.56006"
1603740884921,1603740884489,45,"Was 10.752834 expected a value between 0 and 1.",5044,5044,1603740883525,1603740883525,"10.75283"
1603740884921,1603740884491,46,"Was 10.752834 expected a value between 0 and 1.",5045,5045,1603740883530,1603740883530,"10.75283"
1603740884921,1603740884497,47,"Was 10.752834 expected a value between 0 and 1.",5046,5046,1603740883535,1603740883535,"10.75283"
1603740884921,1603740884498,48,"Was 10.631417 expected a value between 0 and 1.",5047,5047,1603740883540,1603740883540,"10.63141"
1603740884921,1603740884499,49,"Was 10.631417 expected a value between 0 and 1.",5048,5048,1603740883545,1603740883545,"10.63141"
1603740884921,1603740884499,50,"Was 10.631417 expected a value between 0 and 1.",5049,5049,1603740883551,1603740883551,"10.63141"
1603740884921,1603740884502,51,"Was 10.631417 expected a value between 0 and 1.",5050,5050,1603740883555,1603740883555,"10.63141"
1603740884921,1603740884503,52,"Was 10.631417 expected a value between 0 and 1.",5051,5051,1603740883560,1603740883560,"10.63141"
1603740884921,1603740884518,53,"Was 10.442206 expected a value between 0 and 1.",5052,5052,1603740883565,1603740883565,"10.44220"
1603740884921,1603740884531,54,"Was 10.442206 expected a value between 0 and 1.",5053,5053,1603740883570,1603740883570,"10.44220"
1603740884921,1603740884533,55,"Was 10.423351 expected a value between 0 and 1.",5054,5054,1603740883575,1603740883575,"10.42335"
1603740884921,1603740884572,56,"Was 10.423351 expected a value between 0 and 1.",5055,5055,1603740883580,1603740883580,"10.42335"
1603740884921,1603740884581,57,"Was 10.682695 expected a value between 0 and 1.",5056,5056,1603740883585,1603740883585,"10.68269"
1603740884921,1603740884582,58,"Was 10.682695 expected a value between 0 and 1.",5057,5057,1603740883590,1603740883590,"10.68269"
1603740884921,1603740884589,59,"Was 10.682695 expected a value between 0 and 1.",5058,5058,1603740883595,1603740883595,"10.68269"
1603740884921,1603740884595,60,"Was 10.682695 expected a value between 0 and 1.",5059,5059,1603740883600,1603740883600,"10.68269"
1603740884921,1603740884608,61,"Was 10.682695 expected a value between 0 and 1.",5060,5060,1603740883605,1603740883605,"10.68269"
1603740884921,1603740884609,62,"Was 10.663659 expected a value between 0 and 1.",5061,5061,1603740883610,1603740883610,"10.66365"
1603740884921,1603740884611,63,"Was 10.82063 expected a value between 0 and 1.",5062,5062,1603740883616,1603740883616,"10.8206"
1603740884921,1603740884615,64,"Was 10.422685 expected a value between 0 and 1.",5063,5063,1603740883620,1603740883620,"10.42268"
1603740884921,1603740884621,65,"Was 10.853034 expected a value between 0 and 1.",5064,5064,1603740883626,1603740883626,"10.85303"
1603740884921,1603740884623,66,"Was 10.422685 expected a value between 0 and 1.",5065,5065,1603740883630,1603740883630,"10.42268"
1603740884921,1603740884624,67,"Was 10.526632 expected a value between 0 and 1.",5066,5066,1603740883639,1603740883639,"10.52663"
1603740884921,1603740884625,68,"Was 10.422685 expected a value between 0 and 1.",5067,5067,1603740883640,1603740883640,"10.42268"
1603740884921,1603740884648,69,"Was 10.385921 expected a value between 0 and 1.",5068,5068,1603740883646,1603740883646,"10.38592"
1603740884921,1603740884649,70,"Was 10.385921 expected a value between 0 and 1.",5069,5069,1603740883650,1603740883650,"10.38592"
1603740884921,1603740884650,71,"Was 10.526632 expected a value between 0 and 1.",5070,5070,1603740883655,1603740883655,"10.52663"
1603740884921,1603740884653,72,"Was 10.385921 expected a value between 0 and 1.",5071,5071,1603740883660,1603740883660,"10.38592"
1603740884921,1603740884701,73,"Was 10.385921 expected a value between 0 and 1.",5072,5072,1603740883665,1603740883665,"10.38592"
1603740885247,1603740884717,74,"Was 10.190349 expected a value between 0 and 1.",5073,5073,1603740883670,1603740883670,"10.19034"
1603740885247,1603740884722,75,"Was 10.190349 expected a value between 0 and 1.",5074,5074,1603740883677,1603740883677,"10.19034"
1603740885247,1603740884728,76,"Was 10.145473 expected a value between 0 and 1.",5075,5075,1603740883680,1603740883680,"10.14547"
1603740885247,1603740884745,77,"Was 10.145473 expected a value between 0 and 1.",5076,5076,1603740883685,1603740883685,"10.14547"
1603740885328,1603740884746,78,"Was 10.267885 expected a value between 0 and 1.",5077,5077,1603740883690,1603740883690,"10.26788"
1603740885328,1603740884791,79,"Was 10.267885 expected a value between 0 and 1.",5078,5078,1603740883695,1603740883695,"10.26788"
1603740885328,1603740884793,80,"Was 10.521361 expected a value between 0 and 1.",5079,5079,1603740883700,1603740883700,"10.52136"
1603740885328,1603740884794,81,"Was 10.521361 expected a value between 0 and 1.",5080,5080,1603740883705,1603740883705,"10.52136"
1603740885328,1603740884795,82,"Was 10.854167 expected a value between 0 and 1.",5081,5081,1603740883711,1603740883711,"10.85416"
1603740885328,1603740884849,83,"Was 10.574771 expected a value between 0 and 1.",5082,5082,1603740883715,1603740883715,"10.57477"
1603740885328,1603740884861,84,"Was 10.661416 expected a value between 0 and 1.",5083,5083,1603740883721,1603740883721,"10.66141"
1603740885328,1603740884898,85,"Was 10.574771 expected a value between 0 and 1.",5084,5084,1603740883726,1603740883726,"10.57477"
1603740885328,1603740884898,86,"Was 10.574771 expected a value between 0 and 1.",5085,5085,1603740883731,1603740883731,"10.57477"
1603740885328,1603740884899,87,"Was 10.383984 expected a value between 0 and 1.",5086,5086,1603740883735,1603740883735,"10.38398"
1603740885328,1603740884908,88,"Was 10.383984 expected a value between 0 and 1.",5087,5087,1603740883742,1603740883742,"10.38398"
1603740885328,1603740884909,89,"Was 10.383984 expected a value between 0 and 1.",5088,5088,1603740883745,1603740883745,"10.38398"
1603740885328,1603740884911,90,"Was 10.701626 expected a value between 0 and 1.",5089,5089,1603740883750,1603740883750,"10.70162"
1603740885328,1603740884913,91,"Was 10.718725 expected a value between 0 and 1.",5090,5090,1603740883755,1603740883755,"10.71872"
1603740885328,1603740884913,92,"Was 10.718725 expected a value between 0 and 1.",5091,5091,1603740883760,1603740883760,"10.71872"
1603740885328,1603740884914,93,"Was 10.718725 expected a value between 0 and 1.",5092,5092,1603740883766,1603740883766,"10.71872"
1603740885328,1603740884914,94,"Was 10.564504 expected a value between 0 and 1.",5093,5093,1603740883770,1603740883770,"10.56450"
1603740885328,1603740884915,95,"Was 10.50139 expected a value between 0 and 1.",5094,5094,1603740883775,1603740883775,"10.5013"
1603740885328,1603740884920,96,"Was 10.50139 expected a value between 0 and 1.",5095,5095,1603740883780,1603740883780,"10.5013"
1603740885328,1603740884920,97,"Was 10.562187 expected a value between 0 and 1.",5096,5096,1603740883785,1603740883785,"10.56218"
1603740885328,1603740884921,98,"Was 10.562187 expected a value between 0 and 1.",5097,5097,1603740883790,1603740883790,"10.56218"
1603740885328,1603740884922,99,"Was 10.413979 expected a value between 0 and 1.",5098,5098,1603740883795,1603740883795,"10.41397"
1603740885328,1603740884923,100,"Was 10.333399 expected a value between 0 and 1.",5099,5099,1603740883800,1603740883800,"10.33339"
1603740908607,1603740908575,101,"Was 10.468273 expected a value between 0 and 1.",9999,9999,1603740908300,1603740908300,"10.46827"
1603740908682,1603740908577,102,"Was 10.468273 expected a value between 0 and 1.",10000,10000,1603740908305,1603740908305,"10.46827"
1603740908682,1603740908578,103,"Was 10.468273 expected a value between 0 and 1.",10001,10001,1603740908310,1603740908310,"10.46827"
1603740908682,1603740908579,104,"Was 10.426616 expected a value between 0 and 1.",10002,10002,1603740908315,1603740908315,"10.42661"
1603740908682,1603740908579,105,"Was 10.336693 expected a value between 0 and 1.",10003,10003,1603740908320,1603740908320,"10.33669"
1603740908682,1603740908580,106,"Was 10.336693 expected a value between 0 and 1.",10004,10004,1603740908325,1603740908325,"10.33669"
1603740908682,1603740908580,107,"Was 10.336693 expected a value between 0 and 1.",10005,10005,1603740908331,1603740908331,"10.33669"
1603740908682,1603740908585,108,"Was 10.336693 expected a value between 0 and 1.",10006,10006,1603740908335,1603740908335,"10.33669"
1603740908682,1603740908586,109,"Was 10.336693 expected a value between 0 and 1.",10007,10007,1603740908340,1603740908340,"10.33669"
1603740908682,1603740908587,110,"Was 10.718643 expected a value between 0 and 1.",10008,10008,1603740908345,1603740908345,"10.71864"
1603740908682,1603740908587,111,"Was 10.309859 expected a value between 0 and 1.",10009,10009,1603740908351,1603740908351,"10.30985"
