Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1603740882480,1603740881362,1,"Was 10.522461 expected a value between 0 and 1.",5000,5000,1603740880335,1603740880335,"10.52246"
1603740882480,1603740881369,2,"Was 10.522461 expected a value between 0 and 1.",5001,5001,1603740880339,1603740880339,"10.52246"
1603740882480,1603740881373,3,"Was 10.522461 expected a value between 0 and 1.",5002,5002,1603740880345,1603740880345,"10.52246"
1603740882981,1603740881386,4,"Was 10.295466 expected a value between 0 and 1.",5003,5003,1603740880351,1603740880351,"10.29546"
1603740882981,1603740881390,5,"Was 10.295466 expected a value between 0 and 1.",5004,5004,1603740880355,1603740880355,"10.29546"
1603740882981,1603740881393,6,"Was 10.295466 expected a value between 0 and 1.",5005,5005,1603740880362,1603740880362,"10.29546"
1603740882981,1603740881398,7,"Was 10.325535 expected a value between 0 and 1.",5006,5006,1603740880364,1603740880364,"10.32553"
1603740882981,1603740881401,8,"Was 10.270764 expected a value between 0 and 1.",5007,5007,1603740880378,1603740880378,"10.27076"
1603740882981,1603740881405,9,"Was 10.270764 expected a value between 0 and 1.",5008,5008,1603740880378,1603740880378,"10.27076"
1603740882981,1603740881407,10,"Was 10.325535 expected a value between 0 and 1.",5009,5009,1603740880389,1603740880389,"10.32553"
1603740882981,1603740881411,11,"Was 10.325535 expected a value between 0 and 1.",5010,5010,1603740880389,1603740880389,"10.32553"
1603740882981,1603740881413,12,"Was 10.39166 expected a value between 0 and 1.",5011,5011,1603740880389,1603740880389,"10.3916"
1603740882981,1603740881414,13,"Was 10.460781 expected a value between 0 and 1.",5012,5012,1603740880395,1603740880395,"10.46078"
1603740882981,1603740881417,14,"Was 10.747148 expected a value between 0 and 1.",5013,5013,1603740880399,1603740880399,"10.74714"
1603740882981,1603740881433,15,"Was 10.460781 expected a value between 0 and 1.",5014,5014,1603740880404,1603740880404,"10.46078"
1603740882981,1603740881435,16,"Was 10.473505 expected a value between 0 and 1.",5015,5015,1603740880413,1603740880413,"10.47350"
1603740882981,1603740881436,17,"Was 10.473505 expected a value between 0 and 1.",5016,5016,1603740880414,1603740880414,"10.47350"
1603740882981,1603740881437,18,"Was 10.349433 expected a value between 0 and 1.",5017,5017,1603740880420,1603740880420,"10.34943"
1603740882981,1603740881444,19,"Was 10.341389 expected a value between 0 and 1.",5018,5018,1603740880428,1603740880428,"10.34138"
1603740882981,1603740881447,20,"Was 10.349433 expected a value between 0 and 1.",5019,5019,1603740880429,1603740880429,"10.34943"
1603740882981,1603740881461,21,"Was 10.349433 expected a value between 0 and 1.",5020,5020,1603740880434,1603740880434,"10.34943"
1603740882981,1603740881462,22,"Was 10.341389 expected a value between 0 and 1.",5021,5021,1603740880444,1603740880444,"10.34138"
1603740882981,1603740881463,23,"Was 10.477799 expected a value between 0 and 1.",5022,5022,1603740880444,1603740880444,"10.47779"
1603740882981,1603740881468,24,"Was 10.82776 expected a value between 0 and 1.",5023,5023,1603740880467,1603740880467,"10.8277"
1603740882981,1603740881472,25,"Was 10.711281 expected a value between 0 and 1.",5024,5024,1603740880467,1603740880467,"10.71128"
1603740882981,1603740881475,26,"Was 10.711281 expected a value between 0 and 1.",5025,5025,1603740880467,1603740880467,"10.71128"
1603740882981,1603740881479,27,"Was 10.82776 expected a value between 0 and 1.",5026,5026,1603740880467,1603740880467,"10.8277"
1603740882981,1603740881483,28,"Was 10.711281 expected a value between 0 and 1.",5027,5027,1603740880470,1603740880470,"10.71128"
1603740882981,1603740881483,29,"Was 10.711281 expected a value between 0 and 1.",5028,5028,1603740880474,1603740880474,"10.71128"
1603740882981,1603740881487,30,"Was 10.720638 expected a value between 0 and 1.",5029,5029,1603740880482,1603740880482,"10.72063"
1603740882981,1603740881491,31,"Was 10.720638 expected a value between 0 and 1.",5030,5030,1603740880487,1603740880487,"10.72063"
1603740882981,1603740881493,32,"Was 10.661985 expected a value between 0 and 1.",5031,5031,1603740880489,1603740880489,"10.66198"
1603740882981,1603740881494,33,"Was 10.400134 expected a value between 0 and 1.",5032,5032,1603740880495,1603740880495,"10.40013"
1603740882981,1603740881494,34,"Was 10.400134 expected a value between 0 and 1.",5033,5033,1603740880499,1603740880499,"10.40013"
1603740882981,1603740881495,35,"Was 10.22643 expected a value between 0 and 1.",5034,5034,1603740880504,1603740880504,"10.2264"
1603740882981,1603740881496,36,"Was 10.286398 expected a value between 0 and 1.",5035,5035,1603740880510,1603740880510,"10.28639"
1603740882981,1603740881497,37,"Was 10.286398 expected a value between 0 and 1.",5036,5036,1603740880514,1603740880514,"10.28639"
1603740882981,1603740881498,38,"Was 10.31102 expected a value between 0 and 1.",5037,5037,1603740880519,1603740880519,"10.3110"
1603740882981,1603740881499,39,"Was 10.31102 expected a value between 0 and 1.",5038,5038,1603740880524,1603740880524,"10.3110"
1603740882981,1603740881499,40,"Was 10.463954 expected a value between 0 and 1.",5039,5039,1603740880530,1603740880530,"10.46395"
1603740882981,1603740881500,41,"Was 10.672571 expected a value between 0 and 1.",5040,5040,1603740880537,1603740880537,"10.67257"
1603740882981,1603740881501,42,"Was 10.672571 expected a value between 0 and 1.",5041,5041,1603740880539,1603740880539,"10.67257"
1603740882981,1603740881502,43,"Was 10.672571 expected a value between 0 and 1.",5042,5042,1603740880544,1603740880544,"10.67257"
1603740882981,1603740881503,44,"Was 10.812631 expected a value between 0 and 1.",5043,5043,1603740880549,1603740880549,"10.81263"
1603740882981,1603740881504,45,"Was 10.812631 expected a value between 0 and 1.",5044,5044,1603740880554,1603740880554,"10.81263"
1603740882981,1603740881507,46,"Was 10.777463 expected a value between 0 and 1.",5045,5045,1603740880559,1603740880559,"10.77746"
1603740882981,1603740881509,47,"Was 10.777463 expected a value between 0 and 1.",5046,5046,1603740880564,1603740880564,"10.77746"
1603740882981,1603740881510,48,"Was 10.777463 expected a value between 0 and 1.",5047,5047,1603740880569,1603740880569,"10.77746"
1603740882981,1603740881511,49,"Was 10.777463 expected a value between 0 and 1.",5048,5048,1603740880574,1603740880574,"10.77746"
1603740882981,1603740881512,50,"Was 10.6694 expected a value between 0 and 1.",5049,5049,1603740880579,1603740880579,"10.669"
1603740882981,1603740881518,51,"Was 10.6694 expected a value between 0 and 1.",5050,5050,1603740880587,1603740880587,"10.669"
1603740882981,1603740881519,52,"Was 10.808807 expected a value between 0 and 1.",5051,5051,1603740880591,1603740880591,"10.80880"
1603740882981,1603740881520,53,"Was 10.808807 expected a value between 0 and 1.",5052,5052,1603740880595,1603740880595,"10.80880"
1603740882981,1603740881525,54,"Was 10.808807 expected a value between 0 and 1.",5053,5053,1603740880599,1603740880599,"10.80880"
1603740882981,1603740881526,55,"Was 10.808807 expected a value between 0 and 1.",5054,5054,1603740880605,1603740880605,"10.80880"
1603740882981,1603740881526,56,"Was 10.558847 expected a value between 0 and 1.",5055,5055,1603740880611,1603740880611,"10.55884"
1603740882981,1603740881527,57,"Was 10.558847 expected a value between 0 and 1.",5056,5056,1603740880614,1603740880614,"10.55884"
1603740882981,1603740881528,58,"Was 10.558847 expected a value between 0 and 1.",5057,5057,1603740880620,1603740880620,"10.55884"
1603740882981,1603740881529,59,"Was 10.347713 expected a value between 0 and 1.",5058,5058,1603740880627,1603740880627,"10.34771"
1603740882981,1603740881530,60,"Was 10.3701515 expected a value between 0 and 1.",5059,5059,1603740880630,1603740880630,"10.370151"
1603740882981,1603740881531,61,"Was 10.347713 expected a value between 0 and 1.",5060,5060,1603740880635,1603740880635,"10.34771"
1603740882981,1603740881532,62,"Was 10.32505 expected a value between 0 and 1.",5061,5061,1603740880643,1603740880643,"10.3250"
1603740882981,1603740881533,63,"Was 10.32505 expected a value between 0 and 1.",5062,5062,1603740880644,1603740880644,"10.3250"
1603740882981,1603740881535,64,"Was 10.32505 expected a value between 0 and 1.",5063,5063,1603740880651,1603740880651,"10.3250"
1603740882981,1603740881536,65,"Was 10.32505 expected a value between 0 and 1.",5064,5064,1603740880656,1603740880656,"10.3250"
1603740882981,1603740881537,66,"Was 10.5919 expected a value between 0 and 1.",5065,5065,1603740880659,1603740880659,"10.591"
1603740882981,1603740881537,67,"Was 10.5919 expected a value between 0 and 1.",5066,5066,1603740880664,1603740880664,"10.591"
1603740882981,1603740881538,68,"Was 10.688072 expected a value between 0 and 1.",5067,5067,1603740880670,1603740880670,"10.68807"
1603740882981,1603740881539,69,"Was 10.688072 expected a value between 0 and 1.",5068,5068,1603740880679,1603740880679,"10.68807"
1603740882981,1603740881540,70,"Was 10.5919 expected a value between 0 and 1.",5069,5069,1603740880679,1603740880679,"10.591"
1603740882981,1603740881540,71,"Was 10.473496 expected a value between 0 and 1.",5070,5070,1603740880685,1603740880685,"10.47349"
1603740882981,1603740881541,72,"Was 10.688072 expected a value between 0 and 1.",5071,5071,1603740880691,1603740880691,"10.68807"
1603740882981,1603740881542,73,"Was 10.742215 expected a value between 0 and 1.",5072,5072,1603740880694,1603740880694,"10.74221"
1603740882981,1603740881549,74,"Was 10.473496 expected a value between 0 and 1.",5073,5073,1603740880699,1603740880699,"10.47349"
1603740882981,1603740881550,75,"Was 10.742215 expected a value between 0 and 1.",5074,5074,1603740880705,1603740880705,"10.74221"
1603740882981,1603740881550,76,"Was 10.742215 expected a value between 0 and 1.",5075,5075,1603740880711,1603740880711,"10.74221"
1603740882981,1603740881551,77,"Was 10.742215 expected a value between 0 and 1.",5076,5076,1603740880715,1603740880715,"10.74221"
1603740882981,1603740881552,78,"Was 10.149249 expected a value between 0 and 1.",5077,5077,1603740880719,1603740880719,"10.14924"
1603740882981,1603740881553,79,"Was 10.18425 expected a value between 0 and 1.",5078,5078,1603740880724,1603740880724,"10.1842"
1603740882981,1603740881553,80,"Was 10.18425 expected a value between 0 and 1.",5079,5079,1603740880729,1603740880729,"10.1842"
1603740882981,1603740881554,81,"Was 10.756009 expected a value between 0 and 1.",5080,5080,1603740880734,1603740880734,"10.75600"
1603740882981,1603740881555,82,"Was 10.756009 expected a value between 0 and 1.",5081,5081,1603740880739,1603740880739,"10.75600"
1603740882981,1603740881555,83,"Was 10.77573 expected a value between 0 and 1.",5082,5082,1603740880744,1603740880744,"10.7757"
1603740882981,1603740881556,84,"Was 10.77573 expected a value between 0 and 1.",5083,5083,1603740880750,1603740880750,"10.7757"
1603740882981,1603740881560,85,"Was 10.799709 expected a value between 0 and 1.",5084,5084,1603740880754,1603740880754,"10.79970"
1603740882981,1603740881566,86,"Was 10.77573 expected a value between 0 and 1.",5085,5085,1603740880759,1603740880759,"10.7757"
1603740882981,1603740881568,87,"Was 10.713605 expected a value between 0 and 1.",5086,5086,1603740880792,1603740880792,"10.71360"
1603740882981,1603740881570,88,"Was 10.494759 expected a value between 0 and 1.",5087,5087,1603740880792,1603740880792,"10.49475"
1603740882981,1603740881606,89,"Was 10.494759 expected a value between 0 and 1.",5088,5088,1603740880792,1603740880792,"10.49475"
1603740882981,1603740881607,90,"Was 10.494759 expected a value between 0 and 1.",5089,5089,1603740880792,1603740880792,"10.49475"
1603740882981,1603740881607,91,"Was 10.648793 expected a value between 0 and 1.",5090,5090,1603740880792,1603740880792,"10.64879"
1603740882981,1603740881610,92,"Was 10.711791 expected a value between 0 and 1.",5091,5091,1603740880792,1603740880792,"10.71179"
1603740882981,1603740881612,93,"Was 10.711791 expected a value between 0 and 1.",5092,5092,1603740880795,1603740880795,"10.71179"
1603740882981,1603740881613,94,"Was 10.648793 expected a value between 0 and 1.",5093,5093,1603740880800,1603740880800,"10.64879"
