timestamp,value,producedElements
1603744580042,10.000000,5000
1603744580547,0.000000,5101
1603744605041,10.000000,10000
1603744605546,0.000000,10101
1603744630042,10.000000,15000
1603744630546,0.000000,15101
1603744655044,10.000000,20000
1603744655546,0.000000,20101
1603744680044,10.000000,25000
1603744680547,0.000000,25101
1603744705041,10.000000,30000
1603744705546,0.000000,30101
1603744730046,10.000000,35000
1603744730546,0.000000,35101
1603744755041,10.000000,40000
1603744755546,0.000000,40101
1603744780041,10.000000,45000
1603744780546,0.000000,45101
1603744805041,10.000000,50000
1603744805546,0.000000,50101
1603744830041,10.000000,55000
1603744830548,0.000000,55101
1603744855045,10.000000,60000
1603744855546,0.000000,60101
1603744880042,10.000000,65000
1603744880547,0.000000,65101
1603744905042,10.000000,70000
1603744905546,0.000000,70101
1603744930042,10.000000,75000
1603744930547,0.000000,75101
1603744955042,10.000000,80000
1603744955546,0.000000,80101
1603744980041,10.000000,85000
1603744980546,0.000000,85101
1603745005042,10.000000,90000
1603745005546,0.000000,90101
1603745030041,10.000000,95000
1603745030546,0.000000,95101
1603745055041,10.000000,100000
1603745055547,0.000000,100101
1603745080042,10.000000,105000
1603745080547,0.000000,105101
1603745105041,10.000000,110000
1603745105546,0.000000,110101
1603745130041,10.000000,115000
1603745130546,0.000000,115101
1603745155041,10.000000,120000
1603745155550,0.000000,120101
1603745180041,10.000000,125000
1603745180548,0.000000,125101
1603745205041,10.000000,130000
1603745205546,0.000000,130101
1603745230041,10.000000,135000
1603745230546,0.000000,135101
1603745255042,10.000000,140000
1603745255549,0.000000,140101
1603745280043,10.000000,145000
1603745280546,0.000000,145101
1603745305041,10.000000,150000
1603745305547,0.000000,150101
1603745330041,10.000000,155000
1603745330546,0.000000,155101
1603745355041,10.000000,160000
1603745355547,0.000000,160101
1603745380041,10.000000,165000
1603745380546,0.000000,165101
1603745405041,10.000000,170000
1603745405546,0.000000,170101
1603745430042,10.000000,175000
1603745430546,0.000000,175101
1603745455041,10.000000,180000
1603745455546,0.000000,180101
1603745480041,10.000000,185000
1603745480546,0.000000,185101
1603745505041,10.000000,190000
1603745505546,0.000000,190101
1603745530041,10.000000,195000
1603745530546,0.000000,195101
1603745555041,10.000000,200000
1603745555547,0.000000,200101
1603745580041,10.000000,205000
1603745580546,0.000000,205101
1603745605041,10.000000,210000
1603745605546,0.000000,210101
1603745630042,10.000000,215000
1603745630546,0.000000,215101
1603745655041,10.000000,220000
1603745655547,0.000000,220101
1603745680041,10.000000,225000
1603745680546,0.000000,225101
1603745705041,10.000000,230000
1603745705546,0.000000,230101
1603745730041,10.000000,235000
1603745730546,0.000000,235101
1603745755041,10.000000,240000
