Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1603744581142,1603744580731,1,"Was 10.538962 expected a value between 0 and 1.",5000,5000,1603744580003,1603744580003,"10.53896"
1603744581142,1603744580732,2,"Was 10.596738 expected a value between 0 and 1.",5001,5001,1603744580008,1603744580008,"10.59673"
1603744581142,1603744580734,3,"Was 10.596738 expected a value between 0 and 1.",5002,5002,1603744580014,1603744580014,"10.59673"
1603744581142,1603744580735,4,"Was 10.406059 expected a value between 0 and 1.",5003,5003,1603744580025,1603744580025,"10.40605"
1603744581142,1603744580736,5,"Was 10.406059 expected a value between 0 and 1.",5004,5004,1603744580030,1603744580030,"10.40605"
1603744581142,1603744580737,6,"Was 10.406059 expected a value between 0 and 1.",5005,5005,1603744580030,1603744580030,"10.40605"
1603744581142,1603744580738,7,"Was 10.149561 expected a value between 0 and 1.",5006,5006,1603744580033,1603744580033,"10.14956"
1603744581142,1603744580747,8,"Was 10.149561 expected a value between 0 and 1.",5007,5007,1603744580038,1603744580038,"10.14956"
1603744581142,1603744580749,9,"Was 10.164633 expected a value between 0 and 1.",5008,5008,1603744580043,1603744580043,"10.16463"
1603744581142,1603744580750,10,"Was 10.744028 expected a value between 0 and 1.",5009,5009,1603744580049,1603744580049,"10.74402"
1603744581142,1603744580778,11,"Was 10.164633 expected a value between 0 and 1.",5010,5010,1603744580053,1603744580053,"10.16463"
1603744581142,1603744580807,12,"Was 10.589242 expected a value between 0 and 1.",5011,5011,1603744580058,1603744580058,"10.58924"
1603744581142,1603744580809,13,"Was 10.744028 expected a value between 0 and 1.",5012,5012,1603744580063,1603744580063,"10.74402"
1603744581142,1603744580810,14,"Was 10.589242 expected a value between 0 and 1.",5013,5013,1603744580069,1603744580069,"10.58924"
1603744581142,1603744580869,15,"Was 10.589242 expected a value between 0 and 1.",5014,5014,1603744580074,1603744580074,"10.58924"
1603744581142,1603744580954,16,"Was 10.589242 expected a value between 0 and 1.",5015,5015,1603744580078,1603744580078,"10.58924"
1603744581142,1603744580959,17,"Was 10.6842785 expected a value between 0 and 1.",5016,5016,1603744580083,1603744580083,"10.684278"
1603744581142,1603744580960,18,"Was 10.312019 expected a value between 0 and 1.",5017,5017,1603744580088,1603744580088,"10.31201"
1603744581142,1603744580961,19,"Was 10.6842785 expected a value between 0 and 1.",5018,5018,1603744580095,1603744580095,"10.684278"
1603744581142,1603744580962,20,"Was 10.6842785 expected a value between 0 and 1.",5019,5019,1603744580098,1603744580098,"10.684278"
1603744581184,1603744580988,21,"Was 10.6842785 expected a value between 0 and 1.",5020,5020,1603744580103,1603744580103,"10.684278"
1603744581184,1603744581059,22,"Was 10.526597 expected a value between 0 and 1.",5021,5021,1603744580109,1603744580109,"10.52659"
1603744581184,1603744581080,23,"Was 10.526597 expected a value between 0 and 1.",5022,5022,1603744580113,1603744580113,"10.52659"
1603744581184,1603744581087,24,"Was 10.526597 expected a value between 0 and 1.",5023,5023,1603744580118,1603744580118,"10.52659"
1603744581184,1603744581091,25,"Was 10.526597 expected a value between 0 and 1.",5024,5024,1603744580123,1603744580123,"10.52659"
1603744581184,1603744581094,26,"Was 10.480353 expected a value between 0 and 1.",5025,5025,1603744580128,1603744580128,"10.48035"
1603744581184,1603744581097,27,"Was 10.576862 expected a value between 0 and 1.",5026,5026,1603744580133,1603744580133,"10.57686"
