Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1603744582204,1603744581765,1,"Was 10.426897 expected a value between 0 and 1.",5000,5000,1603744580945,1603744580945,"10.42689"
1603744582204,1603744581767,2,"Was 10.4429 expected a value between 0 and 1.",5001,5001,1603744580945,1603744580945,"10.442"
1603744582204,1603744581768,3,"Was 10.4429 expected a value between 0 and 1.",5002,5002,1603744580949,1603744580949,"10.442"
1603744582204,1603744581769,4,"Was 10.755989 expected a value between 0 and 1.",5003,5003,1603744580953,1603744580953,"10.75598"
1603744582204,1603744581770,5,"Was 10.755989 expected a value between 0 and 1.",5004,5004,1603744580965,1603744580965,"10.75598"
1603744582204,1603744581772,6,"Was 10.845579 expected a value between 0 and 1.",5005,5005,1603744580965,1603744580965,"10.84557"
1603744582204,1603744581773,7,"Was 10.755989 expected a value between 0 and 1.",5006,5006,1603744580973,1603744580973,"10.75598"
1603744582204,1603744581774,8,"Was 10.714256 expected a value between 0 and 1.",5007,5007,1603744580973,1603744580973,"10.71425"
1603744582204,1603744581775,9,"Was 10.713828 expected a value between 0 and 1.",5008,5008,1603744580985,1603744580985,"10.71382"
1603744582204,1603744581776,10,"Was 10.5945 expected a value between 0 and 1.",5009,5009,1603744580985,1603744580985,"10.594"
1603744582204,1603744581778,11,"Was 10.325232 expected a value between 0 and 1.",5010,5010,1603744580993,1603744580993,"10.32523"
1603744582204,1603744581779,12,"Was 10.207854 expected a value between 0 and 1.",5011,5011,1603744580996,1603744580996,"10.20785"
1603744582204,1603744581780,13,"Was 10.207854 expected a value between 0 and 1.",5012,5012,1603744580998,1603744580998,"10.20785"
1603744582204,1603744581781,14,"Was 10.430974 expected a value between 0 and 1.",5013,5013,1603744581003,1603744581003,"10.43097"
1603744582204,1603744581796,15,"Was 10.430974 expected a value between 0 and 1.",5014,5014,1603744581008,1603744581008,"10.43097"
1603744582204,1603744581798,16,"Was 10.472831 expected a value between 0 and 1.",5015,5015,1603744581014,1603744581014,"10.47283"
1603744582204,1603744581799,17,"Was 10.472831 expected a value between 0 and 1.",5016,5016,1603744581018,1603744581018,"10.47283"
1603744582204,1603744581800,18,"Was 10.490925 expected a value between 0 and 1.",5017,5017,1603744581023,1603744581023,"10.49092"
1603744582311,1603744581805,19,"Was 10.490925 expected a value between 0 and 1.",5018,5018,1603744581028,1603744581028,"10.49092"
1603744582311,1603744581807,20,"Was 10.490925 expected a value between 0 and 1.",5019,5019,1603744581033,1603744581033,"10.49092"
1603744582311,1603744581808,21,"Was 10.431232 expected a value between 0 and 1.",5020,5020,1603744581038,1603744581038,"10.43123"
1603744582311,1603744581810,22,"Was 10.431232 expected a value between 0 and 1.",5021,5021,1603744581044,1603744581044,"10.43123"
1603744582311,1603744581811,23,"Was 10.431232 expected a value between 0 and 1.",5022,5022,1603744581048,1603744581048,"10.43123"
1603744582311,1603744581819,24,"Was 10.431232 expected a value between 0 and 1.",5023,5023,1603744581053,1603744581053,"10.43123"
1603744582311,1603744581841,25,"Was 10.431232 expected a value between 0 and 1.",5024,5024,1603744581061,1603744581061,"10.43123"
1603744582311,1603744581843,26,"Was 10.630284 expected a value between 0 and 1.",5025,5025,1603744581063,1603744581063,"10.63028"
1603744582311,1603744581844,27,"Was 10.822122 expected a value between 0 and 1.",5026,5026,1603744581069,1603744581069,"10.82212"
1603744582311,1603744581845,28,"Was 10.630284 expected a value between 0 and 1.",5027,5027,1603744581073,1603744581073,"10.63028"
1603744582311,1603744581846,29,"Was 10.630284 expected a value between 0 and 1.",5028,5028,1603744581078,1603744581078,"10.63028"
1603744582311,1603744581847,30,"Was 10.50982 expected a value between 0 and 1.",5029,5029,1603744581085,1603744581085,"10.5098"
1603744582311,1603744581848,31,"Was 10.467009 expected a value between 0 and 1.",5030,5030,1603744581088,1603744581088,"10.46700"
1603744582311,1603744581849,32,"Was 10.467009 expected a value between 0 and 1.",5031,5031,1603744581093,1603744581093,"10.46700"
1603744582311,1603744581850,33,"Was 10.467009 expected a value between 0 and 1.",5032,5032,1603744581098,1603744581098,"10.46700"
1603744582311,1603744581851,34,"Was 10.645575 expected a value between 0 and 1.",5033,5033,1603744581103,1603744581103,"10.64557"
1603744582311,1603744581852,35,"Was 10.784509 expected a value between 0 and 1.",5034,5034,1603744581109,1603744581109,"10.78450"
1603744582311,1603744581853,36,"Was 10.784509 expected a value between 0 and 1.",5035,5035,1603744581113,1603744581113,"10.78450"
1603744582311,1603744581854,37,"Was 10.645575 expected a value between 0 and 1.",5036,5036,1603744581118,1603744581118,"10.64557"
1603744582311,1603744581855,38,"Was 10.585638 expected a value between 0 and 1.",5037,5037,1603744581123,1603744581123,"10.58563"
1603744582311,1603744581856,39,"Was 10.556142 expected a value between 0 and 1.",5038,5038,1603744581128,1603744581128,"10.55614"
1603744582311,1603744581859,40,"Was 10.556142 expected a value between 0 and 1.",5039,5039,1603744581134,1603744581134,"10.55614"
1603744582311,1603744581860,41,"Was 10.556142 expected a value between 0 and 1.",5040,5040,1603744581138,1603744581138,"10.55614"
1603744582311,1603744581861,42,"Was 10.556142 expected a value between 0 and 1.",5041,5041,1603744581143,1603744581143,"10.55614"
1603744582311,1603744581862,43,"Was 10.556142 expected a value between 0 and 1.",5042,5042,1603744581148,1603744581148,"10.55614"
1603744582311,1603744581863,44,"Was 10.770133 expected a value between 0 and 1.",5043,5043,1603744581157,1603744581157,"10.77013"
1603744582311,1603744581864,45,"Was 10.6295805 expected a value between 0 and 1.",5044,5044,1603744581158,1603744581158,"10.629580"
1603744582311,1603744581865,46,"Was 10.6295805 expected a value between 0 and 1.",5045,5045,1603744581163,1603744581163,"10.629580"
1603744582311,1603744581866,47,"Was 10.6295805 expected a value between 0 and 1.",5046,5046,1603744581168,1603744581168,"10.629580"
1603744582311,1603744581866,48,"Was 10.81009 expected a value between 0 and 1.",5047,5047,1603744581174,1603744581174,"10.8100"
1603744582311,1603744581867,49,"Was 10.728577 expected a value between 0 and 1.",5048,5048,1603744581178,1603744581178,"10.72857"
1603744582311,1603744581868,50,"Was 10.728577 expected a value between 0 and 1.",5049,5049,1603744581183,1603744581183,"10.72857"
1603744582311,1603744581869,51,"Was 10.670066 expected a value between 0 and 1.",5050,5050,1603744581188,1603744581188,"10.67006"
1603744582311,1603744581872,52,"Was 10.670066 expected a value between 0 and 1.",5051,5051,1603744581193,1603744581193,"10.67006"
1603744582311,1603744581873,53,"Was 10.579529 expected a value between 0 and 1.",5052,5052,1603744581198,1603744581198,"10.57952"
1603744582311,1603744581880,54,"Was 10.579529 expected a value between 0 and 1.",5053,5053,1603744581203,1603744581203,"10.57952"
1603744582311,1603744581881,55,"Was 10.579529 expected a value between 0 and 1.",5054,5054,1603744581208,1603744581208,"10.57952"
1603744582311,1603744581882,56,"Was 10.579529 expected a value between 0 and 1.",5055,5055,1603744581214,1603744581214,"10.57952"
1603744582311,1603744581885,57,"Was 10.579529 expected a value between 0 and 1.",5056,5056,1603744581219,1603744581219,"10.57952"
1603744582311,1603744581886,58,"Was 10.6266165 expected a value between 0 and 1.",5057,5057,1603744581223,1603744581223,"10.626616"
1603744582311,1603744581887,59,"Was 10.6266165 expected a value between 0 and 1.",5058,5058,1603744581228,1603744581228,"10.626616"
1603744582311,1603744581888,60,"Was 10.6266165 expected a value between 0 and 1.",5059,5059,1603744581233,1603744581233,"10.626616"
1603744582311,1603744581892,61,"Was 10.637794 expected a value between 0 and 1.",5060,5060,1603744581238,1603744581238,"10.63779"
1603744582311,1603744581895,62,"Was 10.637794 expected a value between 0 and 1.",5061,5061,1603744581243,1603744581243,"10.63779"
1603744582311,1603744581896,63,"Was 10.637794 expected a value between 0 and 1.",5062,5062,1603744581248,1603744581248,"10.63779"
1603744582311,1603744581899,64,"Was 10.720407 expected a value between 0 and 1.",5063,5063,1603744581254,1603744581254,"10.72040"
1603744582311,1603744581912,65,"Was 10.785649 expected a value between 0 and 1.",5064,5064,1603744581258,1603744581258,"10.78564"
1603744582311,1603744581917,66,"Was 10.785649 expected a value between 0 and 1.",5065,5065,1603744581264,1603744581264,"10.78564"
1603744582311,1603744581929,67,"Was 10.785649 expected a value between 0 and 1.",5066,5066,1603744581268,1603744581268,"10.78564"
1603744582311,1603744581930,68,"Was 10.70301 expected a value between 0 and 1.",5067,5067,1603744581273,1603744581273,"10.7030"
1603744582311,1603744581936,69,"Was 10.70301 expected a value between 0 and 1.",5068,5068,1603744581278,1603744581278,"10.7030"
1603744582311,1603744581941,70,"Was 10.655698 expected a value between 0 and 1.",5069,5069,1603744581283,1603744581283,"10.65569"
1603744582311,1603744581943,71,"Was 10.258639 expected a value between 0 and 1.",5070,5070,1603744581288,1603744581288,"10.25863"
1603744582311,1603744581945,72,"Was 10.200395 expected a value between 0 and 1.",5071,5071,1603744581293,1603744581293,"10.20039"
1603744582311,1603744581946,73,"Was 10.200395 expected a value between 0 and 1.",5072,5072,1603744581298,1603744581298,"10.20039"
1603744582311,1603744581951,74,"Was 10.200395 expected a value between 0 and 1.",5073,5073,1603744581303,1603744581303,"10.20039"
1603744582311,1603744581954,75,"Was 10.200395 expected a value between 0 and 1.",5074,5074,1603744581309,1603744581309,"10.20039"
1603744582311,1603744581957,76,"Was 10.244986 expected a value between 0 and 1.",5075,5075,1603744581313,1603744581313,"10.24498"
1603744582311,1603744581960,77,"Was 10.244986 expected a value between 0 and 1.",5076,5076,1603744581322,1603744581322,"10.24498"
1603744582311,1603744581963,78,"Was 10.560481 expected a value between 0 and 1.",5077,5077,1603744581323,1603744581323,"10.56048"
1603744582330,1603744582116,79,"Was 10.2725315 expected a value between 0 and 1.",5078,5078,1603744581329,1603744581329,"10.272531"
1603744582507,1603744582172,80,"Was 10.2725315 expected a value between 0 and 1.",5079,5079,1603744581333,1603744581333,"10.272531"
1603744582507,1603744582198,81,"Was 10.45115 expected a value between 0 and 1.",5080,5080,1603744581339,1603744581339,"10.4511"
1603744582507,1603744582219,82,"Was 10.465676 expected a value between 0 and 1.",5081,5081,1603744581343,1603744581343,"10.46567"
1603744582548,1603744582231,83,"Was 10.465676 expected a value between 0 and 1.",5082,5082,1603744581349,1603744581349,"10.46567"
