Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1603744581264,1603744580538,1,"Was 10.20982 expected a value between 0 and 1.",5000,5000,1603744579741,1603744579741,"10.2098"
1603744581264,1603744580540,2,"Was 10.239107 expected a value between 0 and 1.",5001,5001,1603744579746,1603744579746,"10.23910"
1603744581264,1603744580541,3,"Was 10.6131115 expected a value between 0 and 1.",5002,5002,1603744579751,1603744579751,"10.613111"
1603744581264,1603744580541,4,"Was 10.6131115 expected a value between 0 and 1.",5003,5003,1603744579757,1603744579757,"10.613111"
1603744581264,1603744580543,5,"Was 10.6131115 expected a value between 0 and 1.",5004,5004,1603744579761,1603744579761,"10.613111"
1603744581264,1603744580544,6,"Was 10.6131115 expected a value between 0 and 1.",5005,5005,1603744579766,1603744579766,"10.613111"
1603744581264,1603744580545,7,"Was 10.531627 expected a value between 0 and 1.",5006,5006,1603744579771,1603744579771,"10.53162"
1603744581264,1603744580546,8,"Was 10.451649 expected a value between 0 and 1.",5007,5007,1603744579776,1603744579776,"10.45164"
1603744581264,1603744580547,9,"Was 10.404465 expected a value between 0 and 1.",5008,5008,1603744579781,1603744579781,"10.40446"
1603744581264,1603744580548,10,"Was 10.404465 expected a value between 0 and 1.",5009,5009,1603744579787,1603744579787,"10.40446"
1603744581264,1603744580549,11,"Was 10.404465 expected a value between 0 and 1.",5010,5010,1603744579791,1603744579791,"10.40446"
1603744581264,1603744580550,12,"Was 10.404465 expected a value between 0 and 1.",5011,5011,1603744579796,1603744579796,"10.40446"
1603744581264,1603744580551,13,"Was 10.380893 expected a value between 0 and 1.",5012,5012,1603744579801,1603744579801,"10.38089"
1603744581264,1603744580553,14,"Was 10.643297 expected a value between 0 and 1.",5013,5013,1603744579806,1603744579806,"10.64329"
1603744581264,1603744580562,15,"Was 10.709109 expected a value between 0 and 1.",5014,5014,1603744579811,1603744579811,"10.70910"
1603744581264,1603744580563,16,"Was 10.380893 expected a value between 0 and 1.",5015,5015,1603744579816,1603744579816,"10.38089"
1603744581264,1603744580564,17,"Was 10.258681 expected a value between 0 and 1.",5016,5016,1603744579821,1603744579821,"10.25868"
1603744581264,1603744580567,18,"Was 10.301851 expected a value between 0 and 1.",5017,5017,1603744579826,1603744579826,"10.30185"
