Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1603710346796,1603710346195,1,"Was 10.366117 expected a value between 0 and 1.",5000,5000,1603710345430,1603710345430,"10.36611"
1603710346796,1603710346196,2,"Was 10.366117 expected a value between 0 and 1.",5001,5001,1603710345435,1603710345435,"10.36611"
1603710346796,1603710346197,3,"Was 10.358321 expected a value between 0 and 1.",5002,5002,1603710345441,1603710345441,"10.35832"
1603710346796,1603710346198,4,"Was 10.358321 expected a value between 0 and 1.",5003,5003,1603710345445,1603710345445,"10.35832"
1603710346796,1603710346200,5,"Was 10.297296 expected a value between 0 and 1.",5004,5004,1603710345450,1603710345450,"10.29729"
1603710346796,1603710346201,6,"Was 10.358321 expected a value between 0 and 1.",5005,5005,1603710345455,1603710345455,"10.35832"
1603710346796,1603710346202,7,"Was 10.574222 expected a value between 0 and 1.",5006,5006,1603710345460,1603710345460,"10.57422"
1603710346796,1603710346203,8,"Was 10.574222 expected a value between 0 and 1.",5007,5007,1603710345465,1603710345465,"10.57422"
1603710346796,1603710346205,9,"Was 10.355476 expected a value between 0 and 1.",5008,5008,1603710345471,1603710345471,"10.35547"
1603710346796,1603710346206,10,"Was 10.569657 expected a value between 0 and 1.",5009,5009,1603710345475,1603710345475,"10.56965"
1603710346796,1603710346208,11,"Was 10.569657 expected a value between 0 and 1.",5010,5010,1603710345480,1603710345480,"10.56965"
1603710346796,1603710346209,12,"Was 10.4297905 expected a value between 0 and 1.",5011,5011,1603710345485,1603710345485,"10.429790"
1603710346796,1603710346210,13,"Was 10.569657 expected a value between 0 and 1.",5012,5012,1603710345490,1603710345490,"10.56965"
1603710346796,1603710346212,14,"Was 10.569657 expected a value between 0 and 1.",5013,5013,1603710345495,1603710345495,"10.56965"
1603710347027,1603710346249,15,"Was 10.4297905 expected a value between 0 and 1.",5014,5014,1603710345500,1603710345500,"10.429790"
1603710347027,1603710346256,16,"Was 10.4297905 expected a value between 0 and 1.",5015,5015,1603710345505,1603710345505,"10.429790"
1603710347027,1603710346257,17,"Was 10.527774 expected a value between 0 and 1.",5016,5016,1603710345510,1603710345510,"10.52777"
1603710347027,1603710346258,18,"Was 10.235275 expected a value between 0 and 1.",5017,5017,1603710345515,1603710345515,"10.23527"
1603710347027,1603710346259,19,"Was 10.334336 expected a value between 0 and 1.",5018,5018,1603710345521,1603710345521,"10.33433"
1603710347027,1603710346260,20,"Was 10.334336 expected a value between 0 and 1.",5019,5019,1603710345525,1603710345525,"10.33433"
1603710347027,1603710346272,21,"Was 10.334336 expected a value between 0 and 1.",5020,5020,1603710345530,1603710345530,"10.33433"
1603710347027,1603710346273,22,"Was 10.303101 expected a value between 0 and 1.",5021,5021,1603710345535,1603710345535,"10.30310"
1603710347027,1603710346274,23,"Was 10.334336 expected a value between 0 and 1.",5022,5022,1603710345540,1603710345540,"10.33433"
1603710347027,1603710346277,24,"Was 10.353461 expected a value between 0 and 1.",5023,5023,1603710345545,1603710345545,"10.35346"
1603710347027,1603710346280,25,"Was 10.353461 expected a value between 0 and 1.",5024,5024,1603710345552,1603710345552,"10.35346"
1603710347027,1603710346281,26,"Was 10.303101 expected a value between 0 and 1.",5025,5025,1603710345555,1603710345555,"10.30310"
1603710347027,1603710346286,27,"Was 10.29447 expected a value between 0 and 1.",5026,5026,1603710345560,1603710345560,"10.2944"
1603710347027,1603710346289,28,"Was 10.29447 expected a value between 0 and 1.",5027,5027,1603710345565,1603710345565,"10.2944"
1603710347027,1603710346292,29,"Was 10.185898 expected a value between 0 and 1.",5028,5028,1603710345570,1603710345570,"10.18589"
1603710347027,1603710346296,30,"Was 10.29447 expected a value between 0 and 1.",5029,5029,1603710345575,1603710345575,"10.2944"
1603710347027,1603710346300,31,"Was 10.29447 expected a value between 0 and 1.",5030,5030,1603710345580,1603710345580,"10.2944"
1603710347027,1603710346302,32,"Was 10.377191 expected a value between 0 and 1.",5031,5031,1603710345585,1603710345585,"10.37719"
1603710347027,1603710346303,33,"Was 10.275453 expected a value between 0 and 1.",5032,5032,1603710345590,1603710345590,"10.27545"
1603710347027,1603710346304,34,"Was 10.377191 expected a value between 0 and 1.",5033,5033,1603710345595,1603710345595,"10.37719"
1603710347027,1603710346315,35,"Was 10.377191 expected a value between 0 and 1.",5034,5034,1603710345600,1603710345600,"10.37719"
1603710347027,1603710346321,36,"Was 10.614639 expected a value between 0 and 1.",5035,5035,1603710345605,1603710345605,"10.61463"
1603710347027,1603710346322,37,"Was 10.710417 expected a value between 0 and 1.",5036,5036,1603710345610,1603710345610,"10.71041"
1603710347027,1603710346323,38,"Was 10.710417 expected a value between 0 and 1.",5037,5037,1603710345615,1603710345615,"10.71041"
1603710347027,1603710346324,39,"Was 10.614639 expected a value between 0 and 1.",5038,5038,1603710345620,1603710345620,"10.61463"
1603710347027,1603710346325,40,"Was 10.547163 expected a value between 0 and 1.",5039,5039,1603710345625,1603710345625,"10.54716"
1603710347027,1603710346325,41,"Was 10.538555 expected a value between 0 and 1.",5040,5040,1603710345630,1603710345630,"10.53855"
1603710347027,1603710346326,42,"Was 10.538555 expected a value between 0 and 1.",5041,5041,1603710345635,1603710345635,"10.53855"
1603710347027,1603710346327,43,"Was 10.547163 expected a value between 0 and 1.",5042,5042,1603710345640,1603710345640,"10.54716"
1603710347027,1603710346328,44,"Was 10.547163 expected a value between 0 and 1.",5043,5043,1603710345645,1603710345645,"10.54716"
1603710347027,1603710346353,45,"Was 10.518882 expected a value between 0 and 1.",5044,5044,1603710345650,1603710345650,"10.51888"
1603710347027,1603710346359,46,"Was 10.646024 expected a value between 0 and 1.",5045,5045,1603710345656,1603710345656,"10.64602"
1603710347027,1603710346361,47,"Was 10.518882 expected a value between 0 and 1.",5046,5046,1603710345660,1603710345660,"10.51888"
1603710347027,1603710346362,48,"Was 10.518882 expected a value between 0 and 1.",5047,5047,1603710345665,1603710345665,"10.51888"
1603710347027,1603710346363,49,"Was 10.518882 expected a value between 0 and 1.",5048,5048,1603710345670,1603710345670,"10.51888"
1603710347027,1603710346367,50,"Was 10.627274 expected a value between 0 and 1.",5049,5049,1603710345675,1603710345675,"10.62727"
1603710347027,1603710346368,51,"Was 10.456991 expected a value between 0 and 1.",5050,5050,1603710345681,1603710345681,"10.45699"
1603710347027,1603710346369,52,"Was 10.456991 expected a value between 0 and 1.",5051,5051,1603710345685,1603710345685,"10.45699"
1603710347027,1603710346370,53,"Was 10.456991 expected a value between 0 and 1.",5052,5052,1603710345690,1603710345690,"10.45699"
