Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1603710345391,1603710345048,1,"Was 10.766965 expected a value between 0 and 1.",5000,5000,1603710344618,1603710344618,"10.76696"
1603710345391,1603710345049,2,"Was 10.766965 expected a value between 0 and 1.",5001,5001,1603710344623,1603710344623,"10.76696"
1603710345391,1603710345050,3,"Was 10.766965 expected a value between 0 and 1.",5002,5002,1603710344628,1603710344628,"10.76696"
1603710345391,1603710345053,4,"Was 10.4766655 expected a value between 0 and 1.",5003,5003,1603710344633,1603710344633,"10.476665"
1603710345391,1603710345054,5,"Was 10.219109 expected a value between 0 and 1.",5004,5004,1603710344638,1603710344638,"10.21910"
1603710345391,1603710345054,6,"Was 10.068526 expected a value between 0 and 1.",5005,5005,1603710344643,1603710344643,"10.06852"
1603710345391,1603710345056,7,"Was 10.18963 expected a value between 0 and 1.",5006,5006,1603710344648,1603710344648,"10.1896"
1603710345391,1603710345057,8,"Was 10.18963 expected a value between 0 and 1.",5007,5007,1603710344654,1603710344654,"10.1896"
1603710345391,1603710345058,9,"Was 10.18963 expected a value between 0 and 1.",5008,5008,1603710344658,1603710344658,"10.1896"
1603710345564,1603710345061,10,"Was 10.363253 expected a value between 0 and 1.",5009,5009,1603710344663,1603710344663,"10.36325"
1603710345564,1603710345062,11,"Was 10.363253 expected a value between 0 and 1.",5010,5010,1603710344668,1603710344668,"10.36325"
1603710345564,1603710345063,12,"Was 10.43212 expected a value between 0 and 1.",5011,5011,1603710344673,1603710344673,"10.4321"
1603710345564,1603710345069,13,"Was 10.363253 expected a value between 0 and 1.",5012,5012,1603710344678,1603710344678,"10.36325"
1603710345564,1603710345070,14,"Was 10.43212 expected a value between 0 and 1.",5013,5013,1603710344683,1603710344683,"10.4321"
1603710345564,1603710345105,15,"Was 10.43212 expected a value between 0 and 1.",5014,5014,1603710344688,1603710344688,"10.4321"
1603710345564,1603710345106,16,"Was 10.498348 expected a value between 0 and 1.",5015,5015,1603710344693,1603710344693,"10.49834"
1603710345564,1603710345107,17,"Was 10.498348 expected a value between 0 and 1.",5016,5016,1603710344698,1603710344698,"10.49834"
1603710345564,1603710345108,18,"Was 10.498348 expected a value between 0 and 1.",5017,5017,1603710344703,1603710344703,"10.49834"
1603710345564,1603710345126,19,"Was 10.498348 expected a value between 0 and 1.",5018,5018,1603710344708,1603710344708,"10.49834"
1603710345564,1603710345128,20,"Was 10.453439 expected a value between 0 and 1.",5019,5019,1603710344713,1603710344713,"10.45343"
1603710345564,1603710345141,21,"Was 10.453439 expected a value between 0 and 1.",5020,5020,1603710344718,1603710344718,"10.45343"
1603710345564,1603710345142,22,"Was 10.453439 expected a value between 0 and 1.",5021,5021,1603710344723,1603710344723,"10.45343"
1603710345564,1603710345143,23,"Was 10.453439 expected a value between 0 and 1.",5022,5022,1603710344728,1603710344728,"10.45343"
1603710345564,1603710345144,24,"Was 10.453439 expected a value between 0 and 1.",5023,5023,1603710344733,1603710344733,"10.45343"
1603710345564,1603710345146,25,"Was 10.231481 expected a value between 0 and 1.",5024,5024,1603710344738,1603710344738,"10.23148"
1603710345564,1603710345149,26,"Was 10.167016 expected a value between 0 and 1.",5025,5025,1603710344743,1603710344743,"10.16701"
1603710345564,1603710345149,27,"Was 10.179563 expected a value between 0 and 1.",5026,5026,1603710344748,1603710344748,"10.17956"
1603710345564,1603710345152,28,"Was 10.179563 expected a value between 0 and 1.",5027,5027,1603710344753,1603710344753,"10.17956"
1603710345564,1603710345153,29,"Was 10.179563 expected a value between 0 and 1.",5028,5028,1603710344758,1603710344758,"10.17956"
1603710345564,1603710345154,30,"Was 10.205355 expected a value between 0 and 1.",5029,5029,1603710344764,1603710344764,"10.20535"
1603710345564,1603710345155,31,"Was 10.205355 expected a value between 0 and 1.",5030,5030,1603710344768,1603710344768,"10.20535"
1603710345564,1603710345156,32,"Was 10.22481 expected a value between 0 and 1.",5031,5031,1603710344773,1603710344773,"10.2248"
1603710345564,1603710345159,33,"Was 10.22481 expected a value between 0 and 1.",5032,5032,1603710344778,1603710344778,"10.2248"
1603710345564,1603710345160,34,"Was 10.228977 expected a value between 0 and 1.",5033,5033,1603710344783,1603710344783,"10.22897"
1603710345564,1603710345163,35,"Was 10.299958 expected a value between 0 and 1.",5034,5034,1603710344788,1603710344788,"10.29995"
1603710345564,1603710345164,36,"Was 10.65128 expected a value between 0 and 1.",5035,5035,1603710344793,1603710344793,"10.6512"
1603710345564,1603710345165,37,"Was 10.65128 expected a value between 0 and 1.",5036,5036,1603710344798,1603710344798,"10.6512"
1603710345564,1603710345166,38,"Was 10.580367 expected a value between 0 and 1.",5037,5037,1603710344804,1603710344804,"10.58036"
1603710345564,1603710345176,39,"Was 10.580367 expected a value between 0 and 1.",5038,5038,1603710344808,1603710344808,"10.58036"
1603710345564,1603710345184,40,"Was 10.223172 expected a value between 0 and 1.",5039,5039,1603710344813,1603710344813,"10.22317"
1603710345564,1603710345185,41,"Was 10.223172 expected a value between 0 and 1.",5040,5040,1603710344818,1603710344818,"10.22317"
1603710345564,1603710345186,42,"Was 10.223172 expected a value between 0 and 1.",5041,5041,1603710344823,1603710344823,"10.22317"
1603710345564,1603710345188,43,"Was 10.29099 expected a value between 0 and 1.",5042,5042,1603710344828,1603710344828,"10.2909"
1603710345564,1603710345195,44,"Was 10.29099 expected a value between 0 and 1.",5043,5043,1603710344833,1603710344833,"10.2909"
1603710345564,1603710345196,45,"Was 10.29099 expected a value between 0 and 1.",5044,5044,1603710344838,1603710344838,"10.2909"
1603710345564,1603710345200,46,"Was 10.29099 expected a value between 0 and 1.",5045,5045,1603710344843,1603710344843,"10.2909"
1603710345564,1603710345201,47,"Was 10.263915 expected a value between 0 and 1.",5046,5046,1603710344848,1603710344848,"10.26391"
1603710345564,1603710345202,48,"Was 10.263915 expected a value between 0 and 1.",5047,5047,1603710344853,1603710344853,"10.26391"
1603710345564,1603710345203,49,"Was 10.467245 expected a value between 0 and 1.",5048,5048,1603710344859,1603710344859,"10.46724"
1603710345564,1603710345206,50,"Was 10.685427 expected a value between 0 and 1.",5049,5049,1603710344863,1603710344863,"10.68542"
1603710345564,1603710345208,51,"Was 10.685427 expected a value between 0 and 1.",5050,5050,1603710344868,1603710344868,"10.68542"
1603710345564,1603710345209,52,"Was 10.875249 expected a value between 0 and 1.",5051,5051,1603710344873,1603710344873,"10.87524"
1603710345564,1603710345212,53,"Was 10.875249 expected a value between 0 and 1.",5052,5052,1603710344881,1603710344881,"10.87524"
1603710345564,1603710345213,54,"Was 10.875249 expected a value between 0 and 1.",5053,5053,1603710344884,1603710344884,"10.87524"
1603710345564,1603710345214,55,"Was 10.487333 expected a value between 0 and 1.",5054,5054,1603710344890,1603710344890,"10.48733"
1603710345564,1603710345214,56,"Was 10.432796 expected a value between 0 and 1.",5055,5055,1603710344893,1603710344893,"10.43279"
1603710345564,1603710345221,57,"Was 10.357947 expected a value between 0 and 1.",5056,5056,1603710344898,1603710344898,"10.35794"
1603710345564,1603710345222,58,"Was 10.251927 expected a value between 0 and 1.",5057,5057,1603710344903,1603710344903,"10.25192"
1603710345564,1603710345222,59,"Was 10.357947 expected a value between 0 and 1.",5058,5058,1603710344908,1603710344908,"10.35794"
1603710345564,1603710345234,60,"Was 10.251927 expected a value between 0 and 1.",5059,5059,1603710344913,1603710344913,"10.25192"
1603710345564,1603710345235,61,"Was 10.251927 expected a value between 0 and 1.",5060,5060,1603710344918,1603710344918,"10.25192"
1603710345564,1603710345236,62,"Was 10.251927 expected a value between 0 and 1.",5061,5061,1603710344923,1603710344923,"10.25192"
1603710345564,1603710345237,63,"Was 10.243821 expected a value between 0 and 1.",5062,5062,1603710344928,1603710344928,"10.24382"
1603710345564,1603710345263,64,"Was 10.243821 expected a value between 0 and 1.",5063,5063,1603710344933,1603710344933,"10.24382"
1603710345564,1603710345277,65,"Was 10.800424 expected a value between 0 and 1.",5064,5064,1603710344938,1603710344938,"10.80042"
1603710345564,1603710345278,66,"Was 10.72718 expected a value between 0 and 1.",5065,5065,1603710344943,1603710344943,"10.7271"
1603710345564,1603710345279,67,"Was 10.7351265 expected a value between 0 and 1.",5066,5066,1603710344948,1603710344948,"10.735126"
1603710345564,1603710345281,68,"Was 10.873533 expected a value between 0 and 1.",5067,5067,1603710344953,1603710344953,"10.87353"
1603710345564,1603710345282,69,"Was 10.878901 expected a value between 0 and 1.",5068,5068,1603710344958,1603710344958,"10.87890"
1603710345564,1603710345282,70,"Was 10.7351265 expected a value between 0 and 1.",5069,5069,1603710344964,1603710344964,"10.735126"
1603710345564,1603710345283,71,"Was 10.7351265 expected a value between 0 and 1.",5070,5070,1603710344968,1603710344968,"10.735126"
1603710345564,1603710345354,72,"Was 10.665386 expected a value between 0 and 1.",5071,5071,1603710344973,1603710344973,"10.66538"
1603710345584,1603710345443,73,"Was 10.665386 expected a value between 0 and 1.",5072,5072,1603710344978,1603710344978,"10.66538"
1603710345584,1603710345446,74,"Was 10.523495 expected a value between 0 and 1.",5073,5073,1603710344983,1603710344983,"10.52349"
1603710345584,1603710345448,75,"Was 10.523495 expected a value between 0 and 1.",5074,5074,1603710344988,1603710344988,"10.52349"
1603710345584,1603710345450,76,"Was 10.523495 expected a value between 0 and 1.",5075,5075,1603710344993,1603710344993,"10.52349"
1603710345584,1603710345452,77,"Was 10.523495 expected a value between 0 and 1.",5076,5076,1603710344999,1603710344999,"10.52349"
1603710345584,1603710345454,78,"Was 10.341955 expected a value between 0 and 1.",5077,5077,1603710345003,1603710345003,"10.34195"
