Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1603754297918,1603754297234,1,"Was 10.367655 expected a value between 0 and 1.",5000,5000,1603754295975,1603754295975,"10.36765"
1603754297918,1603754297236,2,"Was 10.424396 expected a value between 0 and 1.",5001,5001,1603754295980,1603754295980,"10.42439"
1603754297918,1603754297250,3,"Was 10.424396 expected a value between 0 and 1.",5002,5002,1603754295985,1603754295985,"10.42439"
1603754297918,1603754297251,4,"Was 10.424396 expected a value between 0 and 1.",5003,5003,1603754295990,1603754295990,"10.42439"
1603754298178,1603754297313,5,"Was 10.424396 expected a value between 0 and 1.",5004,5004,1603754295995,1603754295995,"10.42439"
1603754298178,1603754297316,6,"Was 10.424396 expected a value between 0 and 1.",5005,5005,1603754296001,1603754296001,"10.42439"
1603754298178,1603754297317,7,"Was 10.62798 expected a value between 0 and 1.",5006,5006,1603754296005,1603754296005,"10.6279"
1603754298178,1603754297318,8,"Was 10.403492 expected a value between 0 and 1.",5007,5007,1603754296010,1603754296010,"10.40349"
1603754298178,1603754297319,9,"Was 10.634144 expected a value between 0 and 1.",5008,5008,1603754296015,1603754296015,"10.63414"
1603754298178,1603754297360,10,"Was 10.708339 expected a value between 0 and 1.",5009,5009,1603754296020,1603754296020,"10.70833"
1603754298178,1603754297361,11,"Was 10.708339 expected a value between 0 and 1.",5010,5010,1603754296025,1603754296025,"10.70833"
1603754298178,1603754297363,12,"Was 10.899213 expected a value between 0 and 1.",5011,5011,1603754296030,1603754296030,"10.89921"
1603754298178,1603754297364,13,"Was 10.899213 expected a value between 0 and 1.",5012,5012,1603754296036,1603754296036,"10.89921"
1603754298178,1603754297369,14,"Was 10.796597 expected a value between 0 and 1.",5013,5013,1603754296040,1603754296040,"10.79659"
1603754298178,1603754297383,15,"Was 10.899213 expected a value between 0 and 1.",5014,5014,1603754296045,1603754296045,"10.89921"
1603754298178,1603754297386,16,"Was 10.796597 expected a value between 0 and 1.",5015,5015,1603754296050,1603754296050,"10.79659"
1603754298178,1603754297389,17,"Was 10.478143 expected a value between 0 and 1.",5016,5016,1603754296055,1603754296055,"10.47814"
1603754298178,1603754297390,18,"Was 10.737462 expected a value between 0 and 1.",5017,5017,1603754296060,1603754296060,"10.73746"
1603754298178,1603754297391,19,"Was 10.4004545 expected a value between 0 and 1.",5018,5018,1603754296065,1603754296065,"10.400454"
1603754298178,1603754297399,20,"Was 10.4004545 expected a value between 0 and 1.",5019,5019,1603754296070,1603754296070,"10.400454"
1603754298178,1603754297412,21,"Was 10.4004545 expected a value between 0 and 1.",5020,5020,1603754296075,1603754296075,"10.400454"
1603754298178,1603754297418,22,"Was 10.254684 expected a value between 0 and 1.",5021,5021,1603754296080,1603754296080,"10.25468"
1603754298178,1603754297433,23,"Was 10.11832 expected a value between 0 and 1.",5022,5022,1603754296085,1603754296085,"10.1183"
1603754298178,1603754297435,24,"Was 10.254684 expected a value between 0 and 1.",5023,5023,1603754296090,1603754296090,"10.25468"
1603754298178,1603754297442,25,"Was 10.254684 expected a value between 0 and 1.",5024,5024,1603754296096,1603754296096,"10.25468"
1603754298178,1603754297443,26,"Was 10.561326 expected a value between 0 and 1.",5025,5025,1603754296100,1603754296100,"10.56132"
1603754298178,1603754297444,27,"Was 10.561326 expected a value between 0 and 1.",5026,5026,1603754296106,1603754296106,"10.56132"
1603754298178,1603754297445,28,"Was 10.567363 expected a value between 0 and 1.",5027,5027,1603754296110,1603754296110,"10.56736"
1603754298178,1603754297446,29,"Was 10.621824 expected a value between 0 and 1.",5028,5028,1603754296115,1603754296115,"10.62182"
1603754298178,1603754297447,30,"Was 10.621824 expected a value between 0 and 1.",5029,5029,1603754296120,1603754296120,"10.62182"
1603754298178,1603754297449,31,"Was 10.626476 expected a value between 0 and 1.",5030,5030,1603754296125,1603754296125,"10.62647"
1603754298178,1603754297450,32,"Was 10.626476 expected a value between 0 and 1.",5031,5031,1603754296130,1603754296130,"10.62647"
1603754298178,1603754297451,33,"Was 10.621824 expected a value between 0 and 1.",5032,5032,1603754296135,1603754296135,"10.62182"
1603754298178,1603754297452,34,"Was 10.530762 expected a value between 0 and 1.",5033,5033,1603754296140,1603754296140,"10.53076"
1603754298178,1603754297455,35,"Was 10.420611 expected a value between 0 and 1.",5034,5034,1603754296145,1603754296145,"10.42061"
1603754298178,1603754297458,36,"Was 10.382429 expected a value between 0 and 1.",5035,5035,1603754296150,1603754296150,"10.38242"
1603754298178,1603754297460,37,"Was 10.377016 expected a value between 0 and 1.",5036,5036,1603754296155,1603754296155,"10.37701"
1603754298178,1603754297464,38,"Was 10.382429 expected a value between 0 and 1.",5037,5037,1603754296160,1603754296160,"10.38242"
1603754298178,1603754297469,39,"Was 10.377016 expected a value between 0 and 1.",5038,5038,1603754296165,1603754296165,"10.37701"
1603754298178,1603754297469,40,"Was 10.33088 expected a value between 0 and 1.",5039,5039,1603754296170,1603754296170,"10.3308"
1603754298178,1603754297470,41,"Was 10.33088 expected a value between 0 and 1.",5040,5040,1603754296175,1603754296175,"10.3308"
1603754298178,1603754297477,42,"Was 10.33088 expected a value between 0 and 1.",5041,5041,1603754296180,1603754296180,"10.3308"
1603754298178,1603754297481,43,"Was 10.33088 expected a value between 0 and 1.",5042,5042,1603754296185,1603754296185,"10.3308"
1603754298178,1603754297482,44,"Was 10.609452 expected a value between 0 and 1.",5043,5043,1603754296190,1603754296190,"10.60945"
1603754298178,1603754297486,45,"Was 10.7633295 expected a value between 0 and 1.",5044,5044,1603754296196,1603754296196,"10.763329"
1603754298178,1603754297487,46,"Was 10.609452 expected a value between 0 and 1.",5045,5045,1603754296200,1603754296200,"10.60945"
1603754298178,1603754297487,47,"Was 10.761075 expected a value between 0 and 1.",5046,5046,1603754296205,1603754296205,"10.76107"
1603754298178,1603754297491,48,"Was 10.7633295 expected a value between 0 and 1.",5047,5047,1603754296211,1603754296211,"10.763329"
1603754298178,1603754297491,49,"Was 10.761075 expected a value between 0 and 1.",5048,5048,1603754296215,1603754296215,"10.76107"
1603754298178,1603754297492,50,"Was 10.691526 expected a value between 0 and 1.",5049,5049,1603754296220,1603754296220,"10.69152"
1603754298178,1603754297493,51,"Was 10.691526 expected a value between 0 and 1.",5050,5050,1603754296225,1603754296225,"10.69152"
1603754298178,1603754297494,52,"Was 10.34982 expected a value between 0 and 1.",5051,5051,1603754296230,1603754296230,"10.3498"
1603754298178,1603754297495,53,"Was 10.304169 expected a value between 0 and 1.",5052,5052,1603754296235,1603754296235,"10.30416"
1603754298178,1603754297496,54,"Was 10.292545 expected a value between 0 and 1.",5053,5053,1603754296240,1603754296240,"10.29254"
1603754298178,1603754297496,55,"Was 10.292545 expected a value between 0 and 1.",5054,5054,1603754296245,1603754296245,"10.29254"
1603754298178,1603754297497,56,"Was 10.292545 expected a value between 0 and 1.",5055,5055,1603754296250,1603754296250,"10.29254"
1603754298178,1603754297498,57,"Was 10.304169 expected a value between 0 and 1.",5056,5056,1603754296255,1603754296255,"10.30416"
1603754298178,1603754297499,58,"Was 10.665567 expected a value between 0 and 1.",5057,5057,1603754296260,1603754296260,"10.66556"
1603754298178,1603754297500,59,"Was 10.665567 expected a value between 0 and 1.",5058,5058,1603754296265,1603754296265,"10.66556"
1603754298178,1603754297501,60,"Was 10.783941 expected a value between 0 and 1.",5059,5059,1603754296274,1603754296274,"10.78394"
1603754298178,1603754297504,61,"Was 10.665567 expected a value between 0 and 1.",5060,5060,1603754296275,1603754296275,"10.66556"
1603754298178,1603754297505,62,"Was 10.574997 expected a value between 0 and 1.",5061,5061,1603754296290,1603754296290,"10.57499"
1603754298178,1603754297507,63,"Was 10.521636 expected a value between 0 and 1.",5062,5062,1603754296290,1603754296290,"10.52163"
1603754298178,1603754297508,64,"Was 10.521636 expected a value between 0 and 1.",5063,5063,1603754296290,1603754296290,"10.52163"
1603754298178,1603754297509,65,"Was 10.513067 expected a value between 0 and 1.",5064,5064,1603754296296,1603754296296,"10.51306"
1603754298178,1603754297511,66,"Was 10.513067 expected a value between 0 and 1.",5065,5065,1603754296300,1603754296300,"10.51306"
1603754298178,1603754297512,67,"Was 10.513067 expected a value between 0 and 1.",5066,5066,1603754296305,1603754296305,"10.51306"
1603754298178,1603754297512,68,"Was 10.423517 expected a value between 0 and 1.",5067,5067,1603754296310,1603754296310,"10.42351"
1603754298178,1603754297513,69,"Was 10.482563 expected a value between 0 and 1.",5068,5068,1603754296315,1603754296315,"10.48256"
1603754298178,1603754297513,70,"Was 10.482563 expected a value between 0 and 1.",5069,5069,1603754296322,1603754296322,"10.48256"
1603754298178,1603754297515,71,"Was 10.482563 expected a value between 0 and 1.",5070,5070,1603754296325,1603754296325,"10.48256"
1603754298178,1603754297517,72,"Was 10.250087 expected a value between 0 and 1.",5071,5071,1603754296330,1603754296330,"10.25008"
1603754298178,1603754297517,73,"Was 10.482563 expected a value between 0 and 1.",5072,5072,1603754296335,1603754296335,"10.48256"
1603754298178,1603754297518,74,"Was 10.390566 expected a value between 0 and 1.",5073,5073,1603754296340,1603754296340,"10.39056"
1603754298178,1603754297519,75,"Was 10.390566 expected a value between 0 and 1.",5074,5074,1603754296345,1603754296345,"10.39056"
1603754298178,1603754297520,76,"Was 10.457302 expected a value between 0 and 1.",5075,5075,1603754296350,1603754296350,"10.45730"
1603754298178,1603754297521,77,"Was 10.457302 expected a value between 0 and 1.",5076,5076,1603754296355,1603754296355,"10.45730"
1603754298178,1603754297522,78,"Was 10.390566 expected a value between 0 and 1.",5077,5077,1603754296362,1603754296362,"10.39056"
1603754298178,1603754297523,79,"Was 10.457302 expected a value between 0 and 1.",5078,5078,1603754296366,1603754296366,"10.45730"
1603754298178,1603754297523,80,"Was 10.457302 expected a value between 0 and 1.",5079,5079,1603754296370,1603754296370,"10.45730"
1603754298178,1603754297524,81,"Was 10.536555 expected a value between 0 and 1.",5080,5080,1603754296375,1603754296375,"10.53655"
1603754298178,1603754297525,82,"Was 10.536555 expected a value between 0 and 1.",5081,5081,1603754296380,1603754296380,"10.53655"
1603754298178,1603754297525,83,"Was 10.560948 expected a value between 0 and 1.",5082,5082,1603754296385,1603754296385,"10.56094"
1603754298178,1603754297531,84,"Was 10.536555 expected a value between 0 and 1.",5083,5083,1603754296390,1603754296390,"10.53655"
1603754298178,1603754297537,85,"Was 10.375028 expected a value between 0 and 1.",5084,5084,1603754296395,1603754296395,"10.37502"
1603754298178,1603754297538,86,"Was 10.375028 expected a value between 0 and 1.",5085,5085,1603754296401,1603754296401,"10.37502"
1603754298178,1603754297538,87,"Was 10.43193 expected a value between 0 and 1.",5086,5086,1603754296405,1603754296405,"10.4319"
1603754298178,1603754297538,88,"Was 10.142158 expected a value between 0 and 1.",5087,5087,1603754296410,1603754296410,"10.14215"
1603754298178,1603754297539,89,"Was 10.43193 expected a value between 0 and 1.",5088,5088,1603754296415,1603754296415,"10.4319"
1603754298178,1603754297539,90,"Was 10.43193 expected a value between 0 and 1.",5089,5089,1603754296421,1603754296421,"10.4319"
1603754298178,1603754297540,91,"Was 10.43193 expected a value between 0 and 1.",5090,5090,1603754296425,1603754296425,"10.4319"
1603754298178,1603754297541,92,"Was 10.210968 expected a value between 0 and 1.",5091,5091,1603754296430,1603754296430,"10.21096"
1603754298178,1603754297541,93,"Was 10.415101 expected a value between 0 and 1.",5092,5092,1603754296436,1603754296436,"10.41510"
1603754298178,1603754297542,94,"Was 10.210968 expected a value between 0 and 1.",5093,5093,1603754296440,1603754296440,"10.21096"
1603754298178,1603754297543,95,"Was 10.415101 expected a value between 0 and 1.",5094,5094,1603754296445,1603754296445,"10.41510"
1603754298178,1603754297544,96,"Was 10.415101 expected a value between 0 and 1.",5095,5095,1603754296450,1603754296450,"10.41510"
1603754298178,1603754297545,97,"Was 10.633452 expected a value between 0 and 1.",5096,5096,1603754296456,1603754296456,"10.63345"
1603754298178,1603754297546,98,"Was 10.633452 expected a value between 0 and 1.",5097,5097,1603754296460,1603754296460,"10.63345"
1603754298178,1603754297546,99,"Was 10.633452 expected a value between 0 and 1.",5098,5098,1603754296465,1603754296465,"10.63345"
1603754298178,1603754297547,100,"Was 10.278648 expected a value between 0 and 1.",5099,5099,1603754296470,1603754296470,"10.27864"
1603754321670,1603754321628,101,"Was 10.025023 expected a value between 0 and 1.",9999,9999,1603754320970,1603754320970,"10.02502"
1603754321670,1603754321630,102,"Was 10.542892 expected a value between 0 and 1.",10000,10000,1603754320975,1603754320975,"10.54289"
1603754321670,1603754321631,103,"Was 10.6242695 expected a value between 0 and 1.",10001,10001,1603754320980,1603754320980,"10.624269"
1603754321750,1603754321717,104,"Was 10.6242695 expected a value between 0 and 1.",10002,10002,1603754320985,1603754320985,"10.624269"
1603754321750,1603754321718,105,"Was 10.638942 expected a value between 0 and 1.",10003,10003,1603754320990,1603754320990,"10.63894"
1603754321750,1603754321719,106,"Was 10.542892 expected a value between 0 and 1.",10004,10004,1603754320995,1603754320995,"10.54289"
1603754321750,1603754321719,107,"Was 10.262334 expected a value between 0 and 1.",10005,10005,1603754321000,1603754321000,"10.26233"
1603754322031,1603754321722,108,"Was 10.122462 expected a value between 0 and 1.",10006,10006,1603754321006,1603754321006,"10.12246"
1603754322031,1603754321723,109,"Was 10.262334 expected a value between 0 and 1.",10007,10007,1603754321011,1603754321011,"10.26233"
1603754322031,1603754321723,110,"Was 10.140271 expected a value between 0 and 1.",10008,10008,1603754321018,1603754321018,"10.14027"
1603754322031,1603754321728,111,"Was 10.262334 expected a value between 0 and 1.",10009,10009,1603754321023,1603754321023,"10.26233"
1603754322031,1603754321729,112,"Was 10.605705 expected a value between 0 and 1.",10010,10010,1603754321026,1603754321026,"10.60570"
1603754322031,1603754321729,113,"Was 10.675734 expected a value between 0 and 1.",10011,10011,1603754321030,1603754321030,"10.67573"
