Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1603762284607,1603762283919,1,"Was 10.512687 expected a value between 0 and 1.",5000,5000,1603762283189,1603762283189,"10.51268"
1603762284607,1603762283920,2,"Was 10.685983 expected a value between 0 and 1.",5001,5001,1603762283194,1603762283194,"10.68598"
1603762284607,1603762283921,3,"Was 10.678163 expected a value between 0 and 1.",5002,5002,1603762283199,1603762283199,"10.67816"
1603762284607,1603762283922,4,"Was 10.512687 expected a value between 0 and 1.",5003,5003,1603762283204,1603762283204,"10.51268"
1603762284607,1603762283923,5,"Was 10.520051 expected a value between 0 and 1.",5004,5004,1603762283211,1603762283211,"10.52005"
1603762284607,1603762283925,6,"Was 10.678163 expected a value between 0 and 1.",5005,5005,1603762283214,1603762283214,"10.67816"
1603762284607,1603762283925,7,"Was 10.678163 expected a value between 0 and 1.",5006,5006,1603762283219,1603762283219,"10.67816"
1603762284607,1603762283926,8,"Was 10.672516 expected a value between 0 and 1.",5007,5007,1603762283225,1603762283225,"10.67251"
1603762284607,1603762283928,9,"Was 10.672516 expected a value between 0 and 1.",5008,5008,1603762283229,1603762283229,"10.67251"
1603762284607,1603762283929,10,"Was 10.672516 expected a value between 0 and 1.",5009,5009,1603762283234,1603762283234,"10.67251"
1603762284607,1603762283930,11,"Was 10.627877 expected a value between 0 and 1.",5010,5010,1603762283239,1603762283239,"10.62787"
1603762284607,1603762283931,12,"Was 10.627877 expected a value between 0 and 1.",5011,5011,1603762283245,1603762283245,"10.62787"
1603762284607,1603762283932,13,"Was 10.581883 expected a value between 0 and 1.",5012,5012,1603762283249,1603762283249,"10.58188"
1603762284607,1603762283933,14,"Was 10.581883 expected a value between 0 and 1.",5013,5013,1603762283254,1603762283254,"10.58188"
1603762284984,1603762283945,15,"Was 10.313527 expected a value between 0 and 1.",5014,5014,1603762283259,1603762283259,"10.31352"
1603762284984,1603762283947,16,"Was 10.313527 expected a value between 0 and 1.",5015,5015,1603762283264,1603762283264,"10.31352"
1603762284984,1603762283948,17,"Was 10.313527 expected a value between 0 and 1.",5016,5016,1603762283270,1603762283270,"10.31352"
1603762284984,1603762283949,18,"Was 10.557425 expected a value between 0 and 1.",5017,5017,1603762283274,1603762283274,"10.55742"
1603762284984,1603762283950,19,"Was 10.676884 expected a value between 0 and 1.",5018,5018,1603762283279,1603762283279,"10.67688"
1603762284984,1603762283951,20,"Was 10.676884 expected a value between 0 and 1.",5019,5019,1603762283284,1603762283284,"10.67688"
1603762284984,1603762283952,21,"Was 10.701806 expected a value between 0 and 1.",5020,5020,1603762283291,1603762283291,"10.70180"
1603762284984,1603762283953,22,"Was 10.676884 expected a value between 0 and 1.",5021,5021,1603762283294,1603762283294,"10.67688"
1603762284984,1603762283954,23,"Was 10.676884 expected a value between 0 and 1.",5022,5022,1603762283299,1603762283299,"10.67688"
1603762284984,1603762283954,24,"Was 10.422144 expected a value between 0 and 1.",5023,5023,1603762283304,1603762283304,"10.42214"
1603762284984,1603762283955,25,"Was 10.422144 expected a value between 0 and 1.",5024,5024,1603762283309,1603762283309,"10.42214"
1603762284984,1603762283957,26,"Was 10.422144 expected a value between 0 and 1.",5025,5025,1603762283314,1603762283314,"10.42214"
1603762284984,1603762283959,27,"Was 10.74572 expected a value between 0 and 1.",5026,5026,1603762283320,1603762283320,"10.7457"
1603762284984,1603762283961,28,"Was 10.65242 expected a value between 0 and 1.",5027,5027,1603762283324,1603762283324,"10.6524"
1603762284984,1603762283963,29,"Was 10.74572 expected a value between 0 and 1.",5028,5028,1603762283331,1603762283331,"10.7457"
1603762284984,1603762283964,30,"Was 10.74572 expected a value between 0 and 1.",5029,5029,1603762283334,1603762283334,"10.7457"
1603762284984,1603762283965,31,"Was 10.664407 expected a value between 0 and 1.",5030,5030,1603762283339,1603762283339,"10.66440"
1603762284984,1603762283966,32,"Was 10.664407 expected a value between 0 and 1.",5031,5031,1603762283344,1603762283344,"10.66440"
1603762284984,1603762283968,33,"Was 10.664407 expected a value between 0 and 1.",5032,5032,1603762283349,1603762283349,"10.66440"
1603762284984,1603762283969,34,"Was 10.355946 expected a value between 0 and 1.",5033,5033,1603762283354,1603762283354,"10.35594"
1603762284984,1603762283970,35,"Was 10.591851 expected a value between 0 and 1.",5034,5034,1603762283359,1603762283359,"10.59185"
1603762284984,1603762283971,36,"Was 10.565529 expected a value between 0 and 1.",5035,5035,1603762283365,1603762283365,"10.56552"
1603762284984,1603762283971,37,"Was 10.565529 expected a value between 0 and 1.",5036,5036,1603762283369,1603762283369,"10.56552"
1603762284984,1603762283972,38,"Was 10.565529 expected a value between 0 and 1.",5037,5037,1603762283374,1603762283374,"10.56552"
1603762284984,1603762283973,39,"Was 10.565529 expected a value between 0 and 1.",5038,5038,1603762283379,1603762283379,"10.56552"
1603762284984,1603762283974,40,"Was 10.565529 expected a value between 0 and 1.",5039,5039,1603762283384,1603762283384,"10.56552"
1603762284984,1603762283976,41,"Was 10.599495 expected a value between 0 and 1.",5040,5040,1603762283389,1603762283389,"10.59949"
1603762284984,1603762283977,42,"Was 10.214803 expected a value between 0 and 1.",5041,5041,1603762283394,1603762283394,"10.21480"
1603762284984,1603762283978,43,"Was 10.214803 expected a value between 0 and 1.",5042,5042,1603762283399,1603762283399,"10.21480"
1603762284984,1603762283979,44,"Was 10.599495 expected a value between 0 and 1.",5043,5043,1603762283404,1603762283404,"10.59949"
1603762284984,1603762283980,45,"Was 10.214803 expected a value between 0 and 1.",5044,5044,1603762283409,1603762283409,"10.21480"
1603762284984,1603762283981,46,"Was 10.171833 expected a value between 0 and 1.",5045,5045,1603762283414,1603762283414,"10.17183"
1603762284984,1603762283982,47,"Was 10.171833 expected a value between 0 and 1.",5046,5046,1603762283419,1603762283419,"10.17183"
1603762284984,1603762283983,48,"Was 10.627915 expected a value between 0 and 1.",5047,5047,1603762283424,1603762283424,"10.62791"
1603762284984,1603762283984,49,"Was 10.664004 expected a value between 0 and 1.",5048,5048,1603762283429,1603762283429,"10.66400"
1603762284984,1603762283985,50,"Was 10.664004 expected a value between 0 and 1.",5049,5049,1603762283434,1603762283434,"10.66400"
1603762284984,1603762283986,51,"Was 10.69452 expected a value between 0 and 1.",5050,5050,1603762283439,1603762283439,"10.6945"
1603762284984,1603762283986,52,"Was 10.69452 expected a value between 0 and 1.",5051,5051,1603762283445,1603762283445,"10.6945"
