Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1603762285240,1603762284640,1,"Was 10.296034 expected a value between 0 and 1.",5000,5000,1603762283881,1603762283881,"10.29603"
1603762285240,1603762284641,2,"Was 10.296034 expected a value between 0 and 1.",5001,5001,1603762283890,1603762283890,"10.29603"
1603762285240,1603762284642,3,"Was 10.618175 expected a value between 0 and 1.",5002,5002,1603762283890,1603762283890,"10.61817"
1603762285240,1603762284643,4,"Was 10.610811 expected a value between 0 and 1.",5003,5003,1603762283894,1603762283894,"10.61081"
1603762285240,1603762284645,5,"Was 10.297649 expected a value between 0 and 1.",5004,5004,1603762283900,1603762283900,"10.29764"
1603762285240,1603762284647,6,"Was 10.610811 expected a value between 0 and 1.",5005,5005,1603762283904,1603762283904,"10.61081"
1603762285240,1603762284651,7,"Was 10.610811 expected a value between 0 and 1.",5006,5006,1603762283909,1603762283909,"10.61081"
1603762285240,1603762284652,8,"Was 10.509715 expected a value between 0 and 1.",5007,5007,1603762283915,1603762283915,"10.50971"
1603762285240,1603762284653,9,"Was 10.509715 expected a value between 0 and 1.",5008,5008,1603762283922,1603762283922,"10.50971"
1603762285453,1603762284656,10,"Was 10.585218 expected a value between 0 and 1.",5009,5009,1603762283924,1603762283924,"10.58521"
1603762285453,1603762284657,11,"Was 10.509715 expected a value between 0 and 1.",5010,5010,1603762283929,1603762283929,"10.50971"
1603762285453,1603762284659,12,"Was 10.585218 expected a value between 0 and 1.",5011,5011,1603762283935,1603762283935,"10.58521"
1603762285453,1603762284660,13,"Was 10.585218 expected a value between 0 and 1.",5012,5012,1603762283944,1603762283944,"10.58521"
1603762285453,1603762284661,14,"Was 10.451795 expected a value between 0 and 1.",5013,5013,1603762283950,1603762283950,"10.45179"
1603762285453,1603762284682,15,"Was 10.451795 expected a value between 0 and 1.",5014,5014,1603762283950,1603762283950,"10.45179"
1603762285453,1603762284683,16,"Was 10.743315 expected a value between 0 and 1.",5015,5015,1603762283955,1603762283955,"10.74331"
1603762285453,1603762284691,17,"Was 10.8388605 expected a value between 0 and 1.",5016,5016,1603762283960,1603762283960,"10.838860"
1603762285453,1603762284697,18,"Was 10.955989 expected a value between 0 and 1.",5017,5017,1603762283965,1603762283965,"10.95598"
1603762285453,1603762284699,19,"Was 10.955989 expected a value between 0 and 1.",5018,5018,1603762283969,1603762283969,"10.95598"
1603762285453,1603762284700,20,"Was 10.8388605 expected a value between 0 and 1.",5019,5019,1603762283974,1603762283974,"10.838860"
1603762285453,1603762284701,21,"Was 10.734197 expected a value between 0 and 1.",5020,5020,1603762283979,1603762283979,"10.73419"
1603762285453,1603762284702,22,"Was 10.734197 expected a value between 0 and 1.",5021,5021,1603762283984,1603762283984,"10.73419"
1603762285453,1603762284703,23,"Was 10.428359 expected a value between 0 and 1.",5022,5022,1603762283989,1603762283989,"10.42835"
1603762285453,1603762284704,24,"Was 10.497084 expected a value between 0 and 1.",5023,5023,1603762283994,1603762283994,"10.49708"
1603762285453,1603762284705,25,"Was 10.497084 expected a value between 0 and 1.",5024,5024,1603762283999,1603762283999,"10.49708"
1603762285453,1603762284706,26,"Was 10.497084 expected a value between 0 and 1.",5025,5025,1603762284005,1603762284005,"10.49708"
1603762285453,1603762284707,27,"Was 10.497084 expected a value between 0 and 1.",5026,5026,1603762284009,1603762284009,"10.49708"
1603762285453,1603762284708,28,"Was 10.692114 expected a value between 0 and 1.",5027,5027,1603762284014,1603762284014,"10.69211"
1603762285453,1603762284709,29,"Was 10.692114 expected a value between 0 and 1.",5028,5028,1603762284019,1603762284019,"10.69211"
1603762285453,1603762284710,30,"Was 10.692114 expected a value between 0 and 1.",5029,5029,1603762284025,1603762284025,"10.69211"
1603762285453,1603762284711,31,"Was 10.67768 expected a value between 0 and 1.",5030,5030,1603762284029,1603762284029,"10.6776"
1603762285453,1603762284712,32,"Was 10.67768 expected a value between 0 and 1.",5031,5031,1603762284034,1603762284034,"10.6776"
1603762285453,1603762284713,33,"Was 10.529595 expected a value between 0 and 1.",5032,5032,1603762284044,1603762284044,"10.52959"
1603762285453,1603762284714,34,"Was 10.529595 expected a value between 0 and 1.",5033,5033,1603762284044,1603762284044,"10.52959"
1603762285453,1603762284717,35,"Was 10.529595 expected a value between 0 and 1.",5034,5034,1603762284062,1603762284062,"10.52959"
1603762285453,1603762284718,36,"Was 10.766899 expected a value between 0 and 1.",5035,5035,1603762284062,1603762284062,"10.76689"
1603762285453,1603762284719,37,"Was 10.305641 expected a value between 0 and 1.",5036,5036,1603762284062,1603762284062,"10.30564"
1603762285453,1603762284720,38,"Was 10.27963 expected a value between 0 and 1.",5037,5037,1603762284077,1603762284077,"10.2796"
1603762285453,1603762284721,39,"Was 10.557944 expected a value between 0 and 1.",5038,5038,1603762284077,1603762284077,"10.55794"
1603762285453,1603762284722,40,"Was 10.557944 expected a value between 0 and 1.",5039,5039,1603762284077,1603762284077,"10.55794"
1603762285453,1603762284723,41,"Was 10.455905 expected a value between 0 and 1.",5040,5040,1603762284080,1603762284080,"10.45590"
1603762285453,1603762284726,42,"Was 10.557944 expected a value between 0 and 1.",5041,5041,1603762284084,1603762284084,"10.55794"
1603762285453,1603762284730,43,"Was 10.685387 expected a value between 0 and 1.",5042,5042,1603762284089,1603762284089,"10.68538"
1603762285453,1603762284731,44,"Was 10.685387 expected a value between 0 and 1.",5043,5043,1603762284094,1603762284094,"10.68538"
1603762285453,1603762284732,45,"Was 10.619082 expected a value between 0 and 1.",5044,5044,1603762284099,1603762284099,"10.61908"
1603762285453,1603762284736,46,"Was 10.619082 expected a value between 0 and 1.",5045,5045,1603762284104,1603762284104,"10.61908"
1603762285453,1603762284740,47,"Was 10.414015 expected a value between 0 and 1.",5046,5046,1603762284113,1603762284113,"10.41401"
1603762285453,1603762284742,48,"Was 10.414015 expected a value between 0 and 1.",5047,5047,1603762284114,1603762284114,"10.41401"
