timestamp,value,producedElements
1603762283898,10.000000,5000
1603762284403,0.000000,5101
1603762308897,10.000000,10000
1603762309402,0.000000,10101
1603762333897,10.000000,15000
1603762334402,0.000000,15101
1603762358897,10.000000,20000
1603762359402,0.000000,20101
1603762383897,10.000000,25000
1603762384403,0.000000,25101
1603762408897,10.000000,30000
1603762409402,0.000000,30101
1603762433903,10.000000,35000
1603762434404,0.000000,35101
1603762458897,10.000000,40000
1603762459402,0.000000,40101
1603762483897,10.000000,45000
1603762484404,0.000000,45101
1603762508897,10.000000,50000
1603762509402,0.000000,50101
1603762533898,10.000000,55000
1603762534403,0.000000,55101
1603762558897,10.000000,60000
1603762559402,0.000000,60101
1603762583897,10.000000,65000
1603762584402,0.000000,65101
1603762608898,10.000000,70000
1603762609402,0.000000,70101
1603762633897,10.000000,75000
1603762634402,0.000000,75101
1603762658898,10.000000,80000
1603762659402,0.000000,80101
1603762683897,10.000000,85000
1603762684402,0.000000,85101
1603762708897,10.000000,90000
1603762709402,0.000000,90101
1603762733897,10.000000,95000
1603762734402,0.000000,95101
1603762758898,10.000000,100000
1603762759402,0.000000,100101
1603762783897,10.000000,105000
1603762784402,0.000000,105101
1603762808897,10.000000,110000
1603762809402,0.000000,110101
1603762833897,10.000000,115000
1603762834402,0.000000,115101
1603762858897,10.000000,120000
1603762859402,0.000000,120101
1603762883897,10.000000,125000
1603762884405,0.000000,125101
1603762908897,10.000000,130000
1603762909402,0.000000,130101
1603762933897,10.000000,135000
1603762934403,0.000000,135101
1603762958897,10.000000,140000
1603762959403,0.000000,140101
1603762983897,10.000000,145000
1603762984402,0.000000,145101
1603763008897,10.000000,150000
1603763009402,0.000000,150101
1603763033897,10.000000,155000
1603763034402,0.000000,155101
1603763058897,10.000000,160000
1603763059402,0.000000,160101
1603763083897,10.000000,165000
1603763084402,0.000000,165101
1603763108897,10.000000,170000
1603763109402,0.000000,170101
1603763133897,10.000000,175000
1603763134402,0.000000,175101
1603763158897,10.000000,180000
1603763159402,0.000000,180101
1603763183898,10.000000,185000
1603763184403,0.000000,185101
1603763208898,10.000000,190000
1603763209402,0.000000,190101
1603763233898,10.000000,195000
1603763234402,0.000000,195101
1603763258897,10.000000,200000
1603763259402,0.000000,200101
1603763283898,10.000000,205000
1603763284402,0.000000,205101
1603763308897,10.000000,210000
1603763309402,0.000000,210101
1603763333898,10.000000,215000
1603763334402,0.000000,215101
1603763358898,10.000000,220000
1603763359402,0.000000,220101
1603763383898,10.000000,225000
1603763384402,0.000000,225101
1603763408897,10.000000,230000
1603763409402,0.000000,230101
1603763433897,10.000000,235000
1603763434402,0.000000,235101
1603763458898,10.000000,240000
