Consumer.Time,Kafka.Time,Kafka.Offset,Record.Warning,Record.BeginOffset,Record.EndOffset,Record.BeginTimestamp,Record.EndTimestamp,Record.Values
1603762286280,1603762285480,1,"Was 10.322784 expected a value between 0 and 1.",5000,5000,1603762283907,1603762283907,"10.32278"
1603762286325,1603762285549,2,"Was 10.432467 expected a value between 0 and 1.",5001,5001,1603762283914,1603762283914,"10.43246"
1603762286325,1603762285597,3,"Was 10.432467 expected a value between 0 and 1.",5002,5002,1603762283917,1603762283917,"10.43246"
1603762286325,1603762285612,4,"Was 10.322784 expected a value between 0 and 1.",5003,5003,1603762283922,1603762283922,"10.32278"
1603762286325,1603762285865,5,"Was 10.51134 expected a value between 0 and 1.",5004,5004,1603762283927,1603762283927,"10.5113"
1603762286325,1603762285879,6,"Was 10.5617285 expected a value between 0 and 1.",5005,5005,1603762283932,1603762283932,"10.561728"
1603762286325,1603762285880,7,"Was 10.5617285 expected a value between 0 and 1.",5006,5006,1603762283949,1603762283949,"10.561728"
1603762286325,1603762285881,8,"Was 10.5617285 expected a value between 0 and 1.",5007,5007,1603762283949,1603762283949,"10.561728"
1603762286325,1603762285913,9,"Was 10.68764 expected a value between 0 and 1.",5008,5008,1603762283949,1603762283949,"10.6876"
1603762286325,1603762285925,10,"Was 10.68764 expected a value between 0 and 1.",5009,5009,1603762283962,1603762283962,"10.6876"
1603762286325,1603762285926,11,"Was 10.68764 expected a value between 0 and 1.",5010,5010,1603762283962,1603762283962,"10.6876"
1603762286325,1603762285942,12,"Was 10.68764 expected a value between 0 and 1.",5011,5011,1603762283962,1603762283962,"10.6876"
1603762286538,1603762285958,13,"Was 10.54282 expected a value between 0 and 1.",5012,5012,1603762283967,1603762283967,"10.5428"
1603762286538,1603762285962,14,"Was 10.392094 expected a value between 0 and 1.",5013,5013,1603762283972,1603762283972,"10.39209"
1603762286538,1603762285988,15,"Was 10.43275 expected a value between 0 and 1.",5014,5014,1603762283977,1603762283977,"10.4327"
1603762286538,1603762285990,16,"Was 10.392094 expected a value between 0 and 1.",5015,5015,1603762283982,1603762283982,"10.39209"
1603762286538,1603762285992,17,"Was 10.337572 expected a value between 0 and 1.",5016,5016,1603762283987,1603762283987,"10.33757"
1603762286538,1603762285993,18,"Was 10.306193 expected a value between 0 and 1.",5017,5017,1603762283992,1603762283992,"10.30619"
1603762286538,1603762285997,19,"Was 10.306193 expected a value between 0 and 1.",5018,5018,1603762283997,1603762283997,"10.30619"
1603762286538,1603762286006,20,"Was 10.299772 expected a value between 0 and 1.",5019,5019,1603762284002,1603762284002,"10.29977"
1603762286538,1603762286011,21,"Was 10.306193 expected a value between 0 and 1.",5020,5020,1603762284007,1603762284007,"10.30619"
1603762286538,1603762286013,22,"Was 10.306193 expected a value between 0 and 1.",5021,5021,1603762284013,1603762284013,"10.30619"
1603762286538,1603762286020,23,"Was 10.223353 expected a value between 0 and 1.",5022,5022,1603762284017,1603762284017,"10.22335"
1603762286538,1603762286021,24,"Was 10.223353 expected a value between 0 and 1.",5023,5023,1603762284022,1603762284022,"10.22335"
1603762286538,1603762286022,25,"Was 10.223353 expected a value between 0 and 1.",5024,5024,1603762284027,1603762284027,"10.22335"
1603762286538,1603762286023,26,"Was 10.223353 expected a value between 0 and 1.",5025,5025,1603762284033,1603762284033,"10.22335"
1603762286538,1603762286023,27,"Was 10.238472 expected a value between 0 and 1.",5026,5026,1603762284037,1603762284037,"10.23847"
1603762286538,1603762286024,28,"Was 10.339336 expected a value between 0 and 1.",5027,5027,1603762284043,1603762284043,"10.33933"
1603762286538,1603762286025,29,"Was 10.339336 expected a value between 0 and 1.",5028,5028,1603762284047,1603762284047,"10.33933"
1603762286538,1603762286030,30,"Was 10.637168 expected a value between 0 and 1.",5029,5029,1603762284052,1603762284052,"10.63716"
1603762286538,1603762286031,31,"Was 10.637168 expected a value between 0 and 1.",5030,5030,1603762284057,1603762284057,"10.63716"
1603762286538,1603762286031,32,"Was 10.637168 expected a value between 0 and 1.",5031,5031,1603762284062,1603762284062,"10.63716"
1603762286538,1603762286032,33,"Was 10.507757 expected a value between 0 and 1.",5032,5032,1603762284067,1603762284067,"10.50775"
1603762286538,1603762286033,34,"Was 10.507757 expected a value between 0 and 1.",5033,5033,1603762284072,1603762284072,"10.50775"
1603762286538,1603762286033,35,"Was 10.507757 expected a value between 0 and 1.",5034,5034,1603762284078,1603762284078,"10.50775"
1603762286538,1603762286034,36,"Was 10.806515 expected a value between 0 and 1.",5035,5035,1603762284082,1603762284082,"10.80651"
1603762286538,1603762286035,37,"Was 10.806515 expected a value between 0 and 1.",5036,5036,1603762284087,1603762284087,"10.80651"
1603762287005,1603762286038,38,"Was 10.832302 expected a value between 0 and 1.",5037,5037,1603762284092,1603762284092,"10.83230"
1603762287005,1603762286039,39,"Was 10.832302 expected a value between 0 and 1.",5038,5038,1603762284097,1603762284097,"10.83230"
1603762287005,1603762286040,40,"Was 10.774423 expected a value between 0 and 1.",5039,5039,1603762284102,1603762284102,"10.77442"
1603762287005,1603762286047,41,"Was 10.719851 expected a value between 0 and 1.",5040,5040,1603762284107,1603762284107,"10.71985"
1603762287005,1603762286049,42,"Was 10.737668 expected a value between 0 and 1.",5041,5041,1603762284112,1603762284112,"10.73766"
1603762287005,1603762286049,43,"Was 10.719851 expected a value between 0 and 1.",5042,5042,1603762284117,1603762284117,"10.71985"
1603762287005,1603762286058,44,"Was 10.737668 expected a value between 0 and 1.",5043,5043,1603762284122,1603762284122,"10.73766"
1603762287005,1603762286059,45,"Was 10.445968 expected a value between 0 and 1.",5044,5044,1603762284127,1603762284127,"10.44596"
1603762287005,1603762286068,46,"Was 10.650698 expected a value between 0 and 1.",5045,5045,1603762284132,1603762284132,"10.65069"
1603762287005,1603762286069,47,"Was 10.650698 expected a value between 0 and 1.",5046,5046,1603762284137,1603762284137,"10.65069"
1603762287005,1603762286089,48,"Was 10.650698 expected a value between 0 and 1.",5047,5047,1603762284142,1603762284142,"10.65069"
1603762287005,1603762286090,49,"Was 10.376409 expected a value between 0 and 1.",5048,5048,1603762284147,1603762284147,"10.37640"
1603762287005,1603762286098,50,"Was 10.650698 expected a value between 0 and 1.",5049,5049,1603762284153,1603762284153,"10.65069"
1603762287005,1603762286103,51,"Was 10.705239 expected a value between 0 and 1.",5050,5050,1603762284157,1603762284157,"10.70523"
1603762287005,1603762286106,52,"Was 10.376409 expected a value between 0 and 1.",5051,5051,1603762284162,1603762284162,"10.37640"
1603762287005,1603762286118,53,"Was 10.565112 expected a value between 0 and 1.",5052,5052,1603762284167,1603762284167,"10.56511"
1603762287005,1603762286120,54,"Was 10.565112 expected a value between 0 and 1.",5053,5053,1603762284172,1603762284172,"10.56511"
1603762287005,1603762286123,55,"Was 10.475251 expected a value between 0 and 1.",5054,5054,1603762284177,1603762284177,"10.47525"
1603762287005,1603762286125,56,"Was 10.437757 expected a value between 0 and 1.",5055,5055,1603762284182,1603762284182,"10.43775"
1603762287005,1603762286126,57,"Was 10.437757 expected a value between 0 and 1.",5056,5056,1603762284187,1603762284187,"10.43775"
1603762287005,1603762286130,58,"Was 10.437757 expected a value between 0 and 1.",5057,5057,1603762284193,1603762284193,"10.43775"
1603762287005,1603762286131,59,"Was 10.437757 expected a value between 0 and 1.",5058,5058,1603762284197,1603762284197,"10.43775"
1603762287005,1603762286132,60,"Was 10.374252 expected a value between 0 and 1.",5059,5059,1603762284202,1603762284202,"10.37425"
1603762287005,1603762286144,61,"Was 10.524263 expected a value between 0 and 1.",5060,5060,1603762284210,1603762284210,"10.52426"
1603762287005,1603762286148,62,"Was 10.524263 expected a value between 0 and 1.",5061,5061,1603762284212,1603762284212,"10.52426"
1603762287005,1603762286152,63,"Was 10.277107 expected a value between 0 and 1.",5062,5062,1603762284217,1603762284217,"10.27710"
1603762287005,1603762286159,64,"Was 10.277107 expected a value between 0 and 1.",5063,5063,1603762284222,1603762284222,"10.27710"
1603762287005,1603762286161,65,"Was 10.436338 expected a value between 0 and 1.",5064,5064,1603762284228,1603762284228,"10.43633"
1603762287005,1603762286165,66,"Was 10.436338 expected a value between 0 and 1.",5065,5065,1603762284232,1603762284232,"10.43633"
1603762287005,1603762286166,67,"Was 10.592858 expected a value between 0 and 1.",5066,5066,1603762284237,1603762284237,"10.59285"
1603762287005,1603762286167,68,"Was 10.592858 expected a value between 0 and 1.",5067,5067,1603762284242,1603762284242,"10.59285"
1603762287005,1603762286167,69,"Was 10.592858 expected a value between 0 and 1.",5068,5068,1603762284247,1603762284247,"10.59285"
1603762287005,1603762286168,70,"Was 10.776548 expected a value between 0 and 1.",5069,5069,1603762284254,1603762284254,"10.77654"
1603762287005,1603762286169,71,"Was 10.776548 expected a value between 0 and 1.",5070,5070,1603762284257,1603762284257,"10.77654"
1603762287005,1603762286169,72,"Was 10.784484 expected a value between 0 and 1.",5071,5071,1603762284262,1603762284262,"10.78448"
1603762287005,1603762286170,73,"Was 10.784484 expected a value between 0 and 1.",5072,5072,1603762284268,1603762284268,"10.78448"
1603762287005,1603762286171,74,"Was 10.775503 expected a value between 0 and 1.",5073,5073,1603762284273,1603762284273,"10.77550"
1603762287005,1603762286172,75,"Was 10.5862875 expected a value between 0 and 1.",5074,5074,1603762284277,1603762284277,"10.586287"
1603762287005,1603762286176,76,"Was 10.5862875 expected a value between 0 and 1.",5075,5075,1603762284283,1603762284283,"10.586287"
